"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.309119746233148,0.793493635077793,0.993898853278448,1.18779981539946,1948,158,"IL12B, CSF1, BCL3, ABCA1"
"2","HALLMARK_HYPOXIA",0.207521273675542,0.793493635077793,-0.996763515998529,-1.3231520134108,755,167,"PRKCA, SELENBP1, P4HA1"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.293962330575603,0.793493635077793,0.994888645491055,1.51082831676669,1669,67,"CD9, PCYT2, ABCA2"
"4","HALLMARK_MITOTIC_SPINDLE",0.776934984520124,0.872639320681175,0.754671614762047,0.885246761861231,5018,186,"CDC42BPA, ABI1"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.467350746268657,0.795688995974665,0.222452101697385,0.439961085656007,2504,35,"ADAM17, AXIN1, AXIN2, CCND2, CSNK1E, CTNNB1, CUL1, DLL1, DVL2, FRAT1, FZD1, FZD8, GNAI1, HDAC11, HDAC2, HDAC5, HEY1, JAG1, JAG2, KAT2A, LEF1, MAML1, MYC, NCOR2, NCSTN, NKD1, NOTCH1, NUMB"
"6","HALLMARK_TGF_BETA_SIGNALING",0.694133452754142,0.872639320681175,-0.117521434301132,-0.246977944916623,3099,49,"XIAP, WWTR1, UBE2D3, TRIM33, TJP1, TGFBR1, TGFB1, SPTBN1, SMURF2, SMURF1, SMAD7, SMAD6, SMAD3, SMAD1, SLC20A1, SKIL, SKI"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.244792593911341,0.793493635077793,0.995548420054003,1.59422134282122,1374,59,"CSF1, CD9, STAT3, ACVR1B"
"8","HALLMARK_DNA_REPAIR",0.802828175026681,0.872639320681175,-0.136645126548196,-0.18644818814946,3008,144,"ZWINT, ZNRD1, XPC, VPS37D, VPS37B, VPS28, USP11, UPF3B, UMPS, TYMS, TSG101, TP53, TMED2, TK2, TARBP2, TAF6, TAF1C, TAF13, TAF12, TAF10, SURF1, SUPT5H, SUPT4H1, STX3, SSRP1, SRSF6, SNAPC5, SNAPC4, SMAD5, SF3A3, SEC61A1, SDCBP, SAC3D1, RRM2B, RPA3, RPA2, RNMT, RFC5, RFC4, RFC3, RFC2, REV3L, RBX1, RALA, RAE1, RAD52, RAD51, PRIM1, POM121, POLR3C, POLR2K, POLR2J, POLR2I, POLR2H, POLR2G, POLR2F, POLR2E, POLR2D, POLR2C, POLR2A, POLR1D, POLR1C, POLL, POLH, POLE4, POLD4, POLD1, POLB, POLA2, POLA1, PNP, PDE4B, PCNA, NUDT9, NUDT21, NT5C3A, NT5C, NPR2, NME4, NME3, NFX1, NELFE, NELFCD, NELFB"
"9","HALLMARK_G2M_CHECKPOINT",0.444259567387687,0.795688995974665,-0.973053315168602,-1.27735630024043,1601,176,"PTTG1, RASAL2, PRPF4B"
"10","HALLMARK_APOPTOSIS",0.868583495776478,0.874656759812631,0.184734392474271,0.228207516111878,5346,131,"ADD1, AIFM3, ANKH, ANXA1, APP, ATF3, BAX, BCAP31, BCL10, BCL2L1, BCL2L11, BGN, BID, BIK, BIRC3, BMF, BMP2, BNIP3L, BRCA1, BTG2, BTG3, CASP2, CASP3, CASP6, CASP7, CASP9, CAV1, CCND1, CCND2, CD14, CD38, CD44, CDC25B, CDK2, CDKN1A, CDKN1B, CFLAR, CLU, CREBBP, CTH, CTNNB1, CYLD, DAP3, DCN, DDIT3, DFFA, DIABLO, DNAJC3, DNM1L, DPYD, EBP, EGR3, EMP1, ENO2, ERBB3, ETF1, FAS, FEZ1, GADD45A, GADD45B, GCH1, GNA15, GPX1, GPX3, GPX4, GSN, GSR, HGF, HMGB2, HMOX1, HSPB1, IER3, IFITM3, IFNGR1, IGF2R, IGFBP6, IL18"
"11","HALLMARK_NOTCH_SIGNALING",0.225015981248668,0.793493635077793,-0.995266186002476,-2.5568719141598,1055,31,"PRKCA, TCF7L2"
"12","HALLMARK_ADIPOGENESIS",0.0571207430340557,0.657647970793429,0.99786387743076,1.17051675059012,368,186,"APOE, ABCA1"
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0909377960214714,0.657647970793429,0.997352357137604,1.18286539314532,575,165,"MAST4, FKBP5, MAPT, ABAT"
"14","HALLMARK_ESTROGEN_RESPONSE_LATE",0.525154737343279,0.795688995974665,0.973902809523322,1.16445370907626,3308,157,"FKBP5, MAPT, CD9, SERPINA3, ABCA3"
"15","HALLMARK_ANDROGEN_RESPONSE",0.597239040930007,0.85319862990001,-0.53771230428318,-0.8870627304824,2465,86,"SLC38A2, XRCC6"
"16","HALLMARK_MYOGENESIS",0.517157524993245,0.795688995974665,-0.923273172626818,-1.23249055487294,1913,157,"CRYAB"
"17","HALLMARK_PROTEIN_SECRETION",0.777532290958532,0.872639320681175,0.128717160975225,0.175560245455568,4574,91,"ABCA1, ADAM10, ANP32E, AP1G1, AP2B1, AP2M1, AP2S1, AP3B1, AP3S1, ARCN1, ARF1, ARFGAP3, ARFGEF1, ARFGEF2, ARFIP1, ATP1A1, ATP6V1H, ATP7A, BNIP3, CAV2, CD63, CLCN3, CLN5, CLTA, CLTC, COG2, COPB1, COPB2, COPE"
"18","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.09207071591108,0.657647970793429,0.998174249616592,1.49743719733735,525,69,"CSF1, ADAR"
"19","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.233047418676161,0.793493635077793,0.995376825420122,1.21951493259837,1439,135,"STAT3, AUTS2, ADAR"
"20","HALLMARK_APICAL_JUNCTION",0.311773940345369,0.793493635077793,0.993673214154344,1.17696189295371,1985,169,"THY1, CLDN11, CLDN14"
"21","HALLMARK_APICAL_SURFACE",0.250936329588015,0.793493635077793,0.994224961344901,2.04946128198063,1339,32,"THY1, SULF2"
"22","HALLMARK_HEDGEHOG_SIGNALING",0.0586343862303764,0.657647970793429,0.998489671419944,2.10200387586318,309,30,"THY1, UNC5C, ACHE"
"23","HALLMARK_COMPLEMENT",0.408516087722107,0.795688995974665,0.993024451134444,1.20593212486638,2551,143,"CTSS, C1QA, CPQ, ACTN2"
"24","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.79640215198386,0.872639320681175,0.170839732388435,0.223900478964819,4736,101,"ALDH18A1, ARFGAP1, SPCS3, ASNS, ATF3, ATF4, ATF6, ATP6V0D1, BAG3, CALR, CEBPB, CEBPG, CHAC1, CKS1B, CNOT4, CNOT6, CXXC1, DCP1A, DCP2, DCTN1, DDIT4, DDX10, DKC1, DNAJA4, DNAJB9, DNAJC3, EDC4, EDEM1, EEF2, EIF2AK3, EIF2S1, EIF4A1, EIF4A2, EIF4A3, EIF4E, EIF4EBP1, EIF4G1, ERN1, ERO1A, EXOC2, EXOSC1, EXOSC10, EXOSC2, EXOSC4, EXOSC5, EXOSC9"
"25","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.832429684852592,0.874656759812631,0.101426024268985,0.135918730786823,4912,95,"ACACA, ACTR2, ACTR3, ADCY2, AKT1, AKT1S1, AP2M1, ARF1, ARHGDIA, ARPC3, ATF1, CAB39, CAB39L, CALR, CAMK4, CDK1, CDK2, CDK4, CDKN1A, CDKN1B, CFL1, CLTC, CSNK2B, CXCR4, DAPP1, DDIT3, E2F1, ECSIT, EGFR, EIF4E, FGF22, GNA14, GRB2, GRK2, GSK3B, HRAS, HSP90B1, IL4, ITPR2, LCK, MAP2K3, MAP2K6, MAP3K7, MAPK1, MAPK10, MAPK8, MAPK9, MAPKAP1, MKNK1, MKNK2, NCK1, NFKBIB, NGF, NOD1, PAK4, PDK1, PFN1, PIK3R3, PIKFYVE, PIN1, PLA2G12A, PLCB1, PLCG1, PPP1CA, PPP2R1B, PRKAA2, PRKAG1, PRKAR2A, PRKCB, PTEN, PTPN11, RAC1, RAF1, RALB, RIPK1, RIT1, RPS6KA1, RPS6KA3, RPTOR"
"26","HALLMARK_MTORC1_SIGNALING",0.853703991302997,0.874656759812631,0.650422113236651,0.764005168762685,5496,184,"CD9, ACSL3, ABCF2"
"27","HALLMARK_E2F_TARGETS",0.235489220563847,0.793493635077793,-0.99639387695025,-1.31195635698593,851,174,"PTTG1, XRCC6"
"28","HALLMARK_MYC_TARGETS_V1",0.232331663884252,0.793493635077793,-0.996392549510418,-1.29843526030978,834,179,"HSP90AB1, XRCC6"
"29","HALLMARK_MYC_TARGETS_V2",0.475169300225734,0.795688995974665,-0.184262645253015,-0.372799834696184,2104,53,"WDR74, WDR43, UTP20, TMEM97, TFB2M, TCOF1, TBRG4, SUPV3L1, SRM, SORD, SLC29A2, SLC19A1, RRP9, RRP12, RCL1, RABEPK, PUS1, PRMT3, PPRC1, PPAN, PLK4, PLK1, PHB, PES1, PA2G4, NOP56, NOLC1, NOC4L, NIP7, NDUFAF4, MYC, MYBBP1A, MRTO4, MPHOSPH10, MCM5, MCM4, MAP3K6, LAS1L, IPO4, IMP4, HSPD1, HK2, GRWD1, GNL3"
"30","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.520997789706347,0.795688995974665,0.970930563111021,1.15152899978826,3299,165,"THY1, SPOCK1, HTRA1, ABI3BP"
"31","HALLMARK_INFLAMMATORY_RESPONSE",0.070218312153796,0.657647970793429,0.998239436619718,1.23389576810647,430,130,"IL12B, CSF1, ABCA1"
"32","HALLMARK_XENOBIOTIC_METABOLISM",0.269341432225064,0.793493635077793,0.99463866039953,1.20193452417934,1684,146,"APOE, MAN1A1, PROS1, ABCC3"
"33","HALLMARK_FATTY_ACID_METABOLISM",0.874656759812631,0.874656759812631,0.238598977522134,0.29354003703587,5414,134,"AADAT, ACAA2, ACADL, ACADM, ACADS, ACADVL, ACAT2, ACO2, ACOT2, ACOT8, ACOX1, ACSL1, ACSL4, ACSL5, ACSM3, ACSS1, ADIPOR2, ADSL, ALAD, ALDH3A2, ALDH9A1, ALDOA, APEX1, AUH, BCKDHB, BLVRA, BMPR1B, BPHL, CA2, CA4, CBR1, CBR3, CCDC58, CD36, CIDEA, CPOX, CPT1A, CPT2, CRAT, CRYZ, D2HGDH, DECR1, DHCR24, DLD, DLST, ECH1, ECHS1, ECI1, EHHADH, ELOVL5, ENO2, ENO3, EPHX1, ERP29, ETFDH, FASN, FH, G0S2, GABARAPL1, GAD2, GAPDHS, GCDH, GLUL, GPD1, GPD2, GRHPR, GSTZ1, HADH, HADHB, HCCS, HIBCH, HMGCL, HMGCS1, HMGCS2, HPGD, HSD17B10, HSD17B11, HSD17B4, HSD17B7, HSDL2, HSPH1, IDH1, IDH3B, IDH3G, IDI1"
"34","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.317397454031117,0.793493635077793,-0.995358432181537,-1.29326492194216,1121,189,"ATP6V0C"
"35","HALLMARK_GLYCOLYSIS",0.723574681953824,0.872639320681175,0.815107610153876,0.964680064473506,4606,170,"SLC25A13, ADORA2B"
"36","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.464175143741707,0.795688995974665,-0.172321700751501,-0.379487165536344,2098,44,"TXNRD2, TXNRD1, TXN, STK25, SRXN1, SOD2, SOD1, SELENOS, SCAF4, SBNO2, PTPA, PRDX6, PRDX4, PRDX2, PRDX1, PFKP, PDLIM1, NQO1, NDUFS2, NDUFB4, NDUFA6, MSRA, MGST1, MBP, LSP1, LAMTOR5, JUNB, IPCEF1, HMOX2, GSR, GPX4, GPX3, GLRX, GCLM, GCLC, G6PD, FTL, FES, ERCC2, EGLN2"
"37","HALLMARK_P53_PATHWAY",0.491743984903287,0.795688995974665,0.98264936230647,1.16608198187804,3126,167,"ZBTB16, ZNF365, ABAT"
"38","HALLMARK_UV_RESPONSE_UP",0.713616540138911,0.872639320681175,0.81916759733554,1.007793450574,4417,134,"PLCL1, ABCB1"
"39","HALLMARK_UV_RESPONSE_DN",0.651301956978813,0.872639320681175,0.891694515141164,1.09955885649812,4026,133,"CDC42BPA, MAGI2, KCNMA1, ABCC1"
"40","HALLMARK_ANGIOGENESIS",0.544413822344711,0.800608562271633,-0.16713994466288,-0.443019157890282,2567,28,"VTN, VEGFA, VCAN, VAV2, TNFRSF21, TIMP1, THBD, SPP1, SLCO2A1, PTK2, PGLYRP1, PDGFA, NRP1, MSX1, LUM, LRPAP1, LPL, KCNJ8, JAG2, JAG1, ITGAV"
"41","HALLMARK_HEME_METABOLISM",0.195128552097429,0.793493635077793,-0.997059472175255,-1.33394505868363,720,159,"TSPAN5, SELENBP1"
"42","HALLMARK_COAGULATION",0.430486337858739,0.795688995974665,0.993201257401857,1.39190285370737,2504,83,"CD9, C1QA, PROS1, HTRA1, CPQ, ACOX2"
"43","HALLMARK_IL2_STAT5_SIGNALING",0.702960840496657,0.872639320681175,0.84095850767581,1.01000769122967,4415,152,"CSF1, CST7, IKZF2, ABCB1"
"44","HALLMARK_BILE_ACID_METABOLISM",0.0190865712338105,0.477164280845262,0.999561307304233,1.39614014039153,111,85,"TTR, ABCA1"
"45","HALLMARK_PEROXISOME",0.0190865712338105,0.477164280845262,0.999561307304233,1.39614014039153,111,85,"TTR, ABCB1"
"46","HALLMARK_ALLOGRAFT_REJECTION",0.354661791590494,0.795688995974665,0.994067237969677,1.27675370556556,2133,109,"THY1, IL12B, CSF1, CTSS, BCL3"
"47","HALLMARK_SPERMATOGENESIS",0.512118274357731,0.795688995974665,-0.842609156866801,-1.37043910362162,2112,89,"PACRG, HSPA4L"
"48","HALLMARK_KRAS_SIGNALING_UP",0.77590858593874,0.872639320681175,0.749559570009158,0.896216144912837,4888,157,"CTSS, IL33, MAP7, SERPINA3, STRN"
"49","HALLMARK_KRAS_SIGNALING_DN",0.403534852989759,0.795688995974665,0.993480808672722,1.27806249882748,2442,110,"ZBTB16, TENM2, IL12B, GRID2, SLC16A7, PRKN"
"50","HALLMARK_PANCREAS_BETA_CELLS",0.667489555639954,0.872639320681175,0.160940457126219,0.370994080946922,3514,24,"ABCC8, AKT3, CHGA, DCX, DPP4, ELP4, FOXO1, INSM1, LMO2, MAFB, NKX2-2, PAK3, PAX6, PCSK1, PCSK2, SEC11A, SLC2A2, SPCS1, SRP14, SRP9, SRPRB, SST, STXBP1, SYT13"
