"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0389561270801815,0.250051292572835,-0.302282957419428,-1.30186270983206,205,168,"PDE4B, BTG2, ICAM1, KLF2, JUNB, IER2, EIF1, ACKR3, RCAN1, EDN1, JAG1, PTPRE, NFKBIA, NR4A2, RIPK2, FOS, CD80, CEBPB, PNRC1, G0S2, RHOB, DNAJB4, PTGS2, KLF4, CCND1, KLF6, KLF10, CCNL1, IER5, ATF3, GCH1, ZFP36, YRDC, NR4A1, TNFAIP8, SIK1, BTG3, PTGER4, CCN1"
"2","HALLMARK_HYPOXIA",0.879303017424564,0.955764149374526,0.193804164711936,0.844501165705656,4137,178,"ANXA2, EGFR, AMPD3, BGN, HDLBP, F3, BTG1, PGM1, SLC2A1, CP, CAVIN3, TPI1, GPC3, TES, ENO1, WSB1, PAM, KDM3A, LARGE1, PPP1R3C, PLIN2, HMOX1, TGFBI, PDK3, CCN2, ZNF292, FAM162A, NDRG1, CITED2, PYGM, P4HA2, MAFF, JMJD6, PDK1, PRKCA, CDKN1C, NDST1"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0746728252501925,0.359611514568204,-0.355365578182164,-1.32058677600485,387,68,"FDFT1, PLSCR1, JAG1, SREBF2, HMGCR, PNRC1, ECH1, FBXO6, ACSS2, LGMN, IDI1, ABCA2, CBS, ACAT2, FABP5, PMVK, ALDOC, ETHE1, GNAI1, CYP51A1, ATF3, CTNNB1"
"4","HALLMARK_MITOTIC_SPINDLE",0.112123781263247,0.467182421930196,0.271515003800032,1.18449968073218,528,179,"RFC1, SMC3, TAOK2, DYNLL2, AKAP13, ARHGEF2, YWHAE, SUN2, FLNA, PAFAH1B1, KATNA1, ARHGEF7, RABGAP1, LATS1, BCL2L11, DOCK4, FARP1, CDC27, NOTCH2, MID1, RASAL2, TLK1, RAB3GAP1, NUMA1, SASS6, MYO9B, NET1, SMC4, PDLIM5, CSNK1D, ARFGEF1, SHROOM1, STK38L, CEP57, PCM1, MARCKS, GSN, ARHGAP10, TRIO, TBCD, KIFAP3, WASF2, PALLD, ARFIP2, EPB41L2, LMNB1, DYNC1H1, CDC42EP4, FGD4, KIF1B, TUBGCP5, CEP250, LRPPRC, SHROOM2, NF1, FLNB"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.599916995227226,0.789364467404244,0.271770812247369,0.911864048044114,2890,39,"LEF1, JAG2, AXIN2, PTCH1, NKD1, ADAM17, NUMB, WNT5B, HDAC5, FRAT1, SKP2, NOTCH1, NCSTN, CSNK1E, CUL1, AXIN1"
"6","HALLMARK_TGF_BETA_SIGNALING",0.2901373795366,0.677747460557597,0.30960710103997,1.10027742900312,1414,52,"SKIL, SMAD6, PMEPA1, CDH1, CDK9, SMAD7, ID3, FNTA"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.734022750775595,0.888609296012194,0.237390177891619,0.858188711723145,3548,57,"IFNAR1, GRB2, CD9, CNTFR, MAP3K8, LEPR, HMOX1, IL1R1, CD38, PDGFC, IL10RB"
"8","HALLMARK_DNA_REPAIR",0.0791145332050048,0.359611514568204,-0.295839670452791,-1.24109527676956,410,140,"PDE4B, POLR2E, POLR2J, XPC, UPF3B, TAF13, GTF2B, DGCR8, MPC2, REV3L, SEC61A1, POLR2C, NT5C, RAD51, ERCC1, ZWINT, TAF9, NCBP2, EDF1, ERCC2, VPS37D, ARL6IP1, STX3, TAF12, POLD4, RRM2B, TMED2, NELFB, DCTN4, NME4, TAF10, SNAPC5, SSRP1, BOLA2, UMPS, NELFCD, DDB2, CLP1"
"9","HALLMARK_G2M_CHECKPOINT",0.588186182425381,0.789364467404244,0.220236320364237,0.947615487133781,2817,159,"EFNA5, SLC38A1, RAD21, PAFAH1B1, KATNA1, CDC25B, FOXN3, UPF1, SRSF1, PDS5B, CDC27, NOTCH2, RASAL2, CCNT1, NUMA1, ODC1, SMAD3, SQLE, WRN, SLC7A1, SMC4, E2F3, E2F4, MARCKS, CDC7, BUB3, HIRA, FANCC, TMPO, SRSF2, LMNB1, DKC1, CUL3, HMGB3, CCNF, ARID4A, KPNB1, TENT4A, HUS1, TGFB1, SMC1A, CUL4A, ORC5, MCM6, BCL3"
"10","HALLMARK_APOPTOSIS",0.163692946058091,0.523154042011458,0.275134241737766,1.15399772597105,788,135,"TGFBR3, LEF1, BAX, CYLD, TIMP3, BGN, AIFM3, TIMP2, DNAJC3, ANXA1, SMAD7, CDC25B, CLU, EBP, CASP8, SOD1, BCL2L11, IFITM3, DPYD, PPT1, HMOX1, CD38, BIRC3, RARA, GSN, XIAP, WEE1, ADD1, LUM"
"11","HALLMARK_NOTCH_SIGNALING",0.952195121951219,0.984580058987708,-0.204143697881943,-0.653292835126244,4879,32,"JAG1, NOTCH3, SKP1, CCND1"
"12","HALLMARK_ADIPOGENESIS",0.19625578460244,0.57722289588953,0.254341368448954,1.1170764507521,932,186,"ANGPT1, PHLDB1, DRAM2, COX6A1, COX7B, NMT1, IDH3A, NDUFB7, SULT1A1, ATL2, MYLK, TOB1, AGPAT3, PGM1, ATP5PO, AIFM1, SOD1, G3BP2, REEP5, LAMA4, GPAM, ADCY6, NABP1, LIFR, PPM1B, PREB, PLIN2, APOE, ABCA1, ACADL, BCL2L13, APLP2, MGLL, COQ9, DHRS7B, ESRRA, COQ3, MRAP, ACADM, MCCC1, EPHX2, NKIRAS1, BCL6, TANK, GPHN, CYC1, CAT, UCP2, SORBS1"
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.167409293443666,0.523154042011458,0.263053518280053,1.14067831387501,788,171,"SLC24A3, FKBP5, THSD4, MPPED2, SLC7A2, PODXL, B4GALT1, AFF1, SLC26A2, ADD3, TMEM164, TOB1, GAB2, KCNK5, SLC2A1, UGCG, GFRA1, DHRS3, MICB, SNX24, WFS1, OLFM1, MYOF, FARP1, SYNGR1, LRIG1, FKBP4, PTGES, FHL2, DEPTOR, RETREG1, CHPT1, CELSR2, RARA, ABAT, DYNLT3"
"14","HALLMARK_ESTROGEN_RESPONSE_LATE",0.293310463121784,0.677747460557597,-0.249226777090946,-1.06847543664917,1538,163,"FDFT1, PLAAT3, DNAJC1, RBBP8, NCOR2, FRK, PRSS23, XBP1, PRKAR2B, MAPT, FOS, AMFR, ABHD2, NRIP1, ELOVL5, PLXNB1, SNX10, SLC7A5, UGDH, PPIF, KLF4, CCND1, FABP5, DLG5, SLC22A5, CHST8, CAV1, ARL3, PGR, IGFBP4, JAK2, ZFP36, NPY1R, TSTA3, LSR"
"15","HALLMARK_ANDROGEN_RESPONSE",0.0543950361944157,0.302194645524532,0.335726662215074,1.31821601040257,262,88,"SLC38A2, FKBP5, B4GALT1, SLC26A2, PMEPA1, VAPA, ITGAV, UBE2J1, MAF, PLPP1, XRCC5, STK39, UBE2I, PGM3, LIFR, PDLIM5, ZMIZ1, NDRG1, MERTK, APPBP2"
"16","HALLMARK_MYOGENESIS",0.362379555927943,0.677747460557597,0.242360877818326,1.03689709141639,1729,153,"ADAM12, SORBS3, KIFC3, PTGIS, PDLIM7, MYLK, TEAD4, CLU, RB1, MYO1C, COL4A2, KLF5, MEF2A, LAMA2, PLXNB2, MEF2D, ACTN2, LARGE1, PPP1R3C, MRAS, PKIA, FOXO4, AGL, GSN, PVALB, PYGM, ITGB4, NQO1, SMTN, TAGLN, HDAC5, SORBS1, COL6A2, CACNA1H, COL3A1, ABLIM1, NOS1, MYOM1, ADCY9, MYL6B"
"17","HALLMARK_PROTEIN_SECRETION",0.764203994570487,0.888609296012194,-0.219781781555612,-0.859559668537413,3940,92,"GOSR2, ATP7A, RAB2A, STX12, COPB1, M6PR, ARCN1, SGMS1, ARF1, AP3S1, ANP32E, SH3GL2, SEC22B, VAMP7, YKT6, SCRN1, ATP1A1, TMED2, ERGIC3, IGF2R, ZW10, RER1, BNIP3, ARFIP1, VAMP4, CLCN3, DNM1L"
"18","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.324000772349875,0.677747460557597,-0.27954407539845,-1.06936828465327,1677,80,"CNP, PLSCR1, RIPK2, TRIM25, BST2, SLC25A28, OGFR, IL4R, IRF9, CD47, TRIM14, PSME1, PSMB8, MVB12A, PARP14, RTP4, LY6E, ELF1, TDRD7"
"19","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.363810252486611,0.677747460557597,-0.243458741935732,-1.03361614036368,1901,153,"VCAM1, PDE4B, ICAM1, PFKP, XAF1, PLSCR1, NFKBIA, RIPK2, TRIM25, BST2, SLC25A28, OGFR, IL4R, IRF9, TRIM14, TNFSF10, PSME1, PSMB8, PTGS2, IFNAR2, LCP2, GCH1, PARP14, JAK2"
"20","HALLMARK_APICAL_JUNCTION",0.379538577912254,0.677747460557597,-0.239218100695298,-1.0302569733693,2006,168,"VCAM1, ICAM1, CD34, CADM3, PECAM1, CLDN5, GNAI2, RASA1, MYL12B, CNTN1, PFN1, TSC1, ARPC2, ACTN4, AKT2, CX3CL1, HRAS, SDC3, EVL, ITGA3, GAMT, INSIG1, ZYX, SYK, PCDH1, MAPK14, NECTIN1, CRAT, GNAI1, DLG1, LDLRAP1, ATP1A3, FBN1, CLDN11"
"21","HALLMARK_APICAL_SURFACE",0.534567901234568,0.789364467404244,0.29291566813794,0.946409074151989,2597,33,"EFNA5, B4GALT1, GSTM3, ADAM10, FLOT2, THY1, DCBLD2, SHROOM2, CRYBG1, HSPB1, SULF2, GAS1, ATP6V0A4, PKHD1, AFAP1L2"
"22","HALLMARK_HEDGEHOG_SIGNALING",0.58782537405206,0.789364467404244,0.281648605396708,0.917464234030872,2867,34,"UNC5C, NRP1, CNTFR, NRP2, PTCH1, SLIT1, DPYSL2, ETS2, THY1, LDB1, L1CAM, NF1"
"23","HALLMARK_COMPLEMENT",0.561139028475712,0.789364467404244,0.22496906884612,0.956105425370693,2679,148,"PLA2G4A, S100A13, TIMP2, PPP2CB, GRB2, ZFPM2, F3, CD59, SERPING1, RABIF, CLU, CP, GCA, LRP1, COL4A2, ADAM9, DOCK4, DPP4, CD46, CTSS, ACTN2, CPQ, CTSO, DOCK10, RAF1, CTSB, FCER1G, RHOG, MAFF, FDX1, PIK3CG, AKAP10, CBLB, IRF2, ANXA5, C2"
"24","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.344665885111372,0.677747460557597,-0.265738907724843,-1.0537351215805,1763,100,"ATF4, GOSR2, ATF6, DDIT4, SPCS1, XBP1, HSPA9, TSPYL2, HSP90B1, EDEM1, IMP3, CEBPB, POP4, PSAT1, SLC7A5, NOLC1, SEC11A, EIF4A1, XPOT, CEBPG, PAIP1, ATF3"
"25","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.315995872033024,0.677747460557597,0.269519387196575,1.0669601188823,1530,92,"EGFR, ACTR2, SMAD2, MAPKAP1, CAB39L, PLCB1, GRB2, PRKCB, MAP2K3, NOD1, ATF1, SLC2A1"
"26","HALLMARK_MTORC1_SIGNALING",0.010422588592003,0.173709809866717,-0.322351282255782,-1.39965240650366,54,181,"BTG2, SERPINH1, COPS5, ATP6V1D, PGK1, TUBA4A, DDIT4, CORO1A, PSMB5, M6PR, PLOD2, TOMM40, HSPA4, QDPR, XBP1, HSPA9, TCEA1, SYTL2, PSME3, HSP90B1, ACACA, HMGCR, EDEM1, CCNG1, PSMD13, SLC6A6, ELOVL5, ACSL3, ELOVL6, LGMN, PSAT1, SLC7A5, INSIG1, IDI1, SEC11A, YKT6, RAB1A, CYP51A1, IGFBP5, ARPC5L, IFRD1, ABCF2"
