"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0294168541270116,0.113141746642352,0.308200102057562,1.33502691347462,169,163,"TSC22D1, PDE4B, IER3, IER2, MCL1, BTG2, EIF1, NFKBIA, CEBPB, JUN, EDN1, ICAM1, IFIH1, TANK, KLF2, RCAN1, SQSTM1, GCH1, PTPRE, ATF3, MARCKS, KLF4, SGK1, PTGER4, KLF9, YRDC, CD80, NINJ1, JAG1, CEBPD, NFIL3, JUNB, BTG1, BTG3"
"2","HALLMARK_HYPOXIA",0.740708729472774,0.784432403351011,0.205065254881257,0.896120516456004,4284,176,"PGK1, IER3, NDRG1, CSRP2, BNIP3L, TGM2, UGP2, JUN, SLC6A6, ENO1, DDIT4, XPNPEP1, NAGK, TPST2, ATF3, SDC3, PFKL, ETS1, MIF, CHST3, ATP7A, CASP6, TMEM45A, FOXO3, NFIL3, SDC2, BTG1, GLRX, PIM1, EFNA3, KLHL24, MYH9, PNRC1, ENO2, GRHPR, DDIT3, SELENBP1, IGFBP3, GBE1, GPI, PGF, NR3C1, BCAN, GCNT2"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0799565846599132,0.210412064894508,0.34889711241324,1.30867416666103,441,67,"FDFT1, FBXO6, ABCA2, CTNNB1, ACAT2, LGMN, IDI1, ATF3, ECH1, CHKA, ETHE1, JAG1, FABP5, GUSB, NFIL3, SC5D, LPL, GNAI1, CBS, NSDHL, PNRC1, PLSCR1, PMVK, CPEB2, DHCR7"
"4","HALLMARK_MITOTIC_SPINDLE",0.16251298026999,0.323921281016991,0.262320741978041,1.14742238266757,938,177,"ARHGEF3, TUBA4A, ANLN, MYO1E, CLIP1, NIN, RANBP9, ATG4B, CNTRL, EPB41, ACTN4, RASA1, RASAL2, BCAR1, ARAP3, STAU1, SOS1, ABI1, RAPGEF6, MARCKS, VCL, NEDD9, CTTN, FGD6, NET1, HOOK3, SSH2, WASL, RICTOR, TIAM1, BIN1, UXT, CDC42BPA, NCK1, ARHGAP27, FGD4, CLASP1, MYH9, SPTBN1, PCGF5, ARHGEF12, SORBS2, RAPGEF5, CCDC88A, LLGL1, ROCK1"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.173825256975037,0.323921281016991,0.361064331737034,1.21550497339935,946,38,"MAML1, NUMB, PPARD, CTNNB1, NCSTN, NOTCH1, NCOR2, TCF7, JAG1, HDAC2, GNAI1, FZD1"
"6","HALLMARK_TGF_BETA_SIGNALING",0.131814038286235,0.299577359741444,0.349417745971435,1.25101004062164,722,52,"TJP1, ID3, ENG, CTNNB1, HDAC1, RAB31, SMURF2, SMAD1, UBE2D3, MAP3K7, FKBP1A, RHOA, SKI, NCOR2, BMPR2, JUNB, SPTBN1, WWTR1, XIAP, BMP2, ACVR1, LEFTY2"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0226983838750681,0.1031744721594,0.402932856016317,1.47951866470826,124,59,"OSMR, FAS, IFNGR1, STAT3, JUN, IL4R, ACVRL1, IL13RA1, IL17RA, TNFRSF1A, IRF9, ACVR1B"
"8","HALLMARK_DNA_REPAIR",0.75305510721697,0.784432403351011,-0.203095602605323,-0.889021170929866,3265,139,"GTF2H1, CSTF3, ADCY6, GSDME, POLR2F, APRT, POLE4, VPS37B, DUT, RNMT, SUPT5H, LIG1, BCAP31, DDB2, AGO4, NUDT9, POLR1D, POLR2H, SF3A3, MPC2, MRPL40, RPA2, ERCC3, ITPA, NUDT21, SUPT4H1"
"9","HALLMARK_G2M_CHECKPOINT",0.0764275766016713,0.210412064894508,0.285358050918683,1.23168343819793,438,160,"HNRNPD, ODF2, SLC7A5, SNRPD1, NOLC1, GSPT1, XPO1, SLC12A2, LBR, RASAL2, TOP1, NSD2, TFDP1, CTCF, RAD23B, CASP8AP2, ARID4A, HIF1A, MARCKS, MAPK14, SMARCC1, YTHDC1, ILF3, DR1, KMT5A, SLC7A1, ORC5, NUP50, MEIS1, PURA, G3BP1, TMPO"
"10","HALLMARK_APOPTOSIS",0.315604085945756,0.509038848299606,0.252781571302505,1.06424559521397,1791,135,"FAS, IER3, MCL1, BTG2, DAP3, IFNGR1, TXNIP, TNFSF10, BNIP3L, JUN, BCL2L1, PAK1, CTNNB1, PSEN1, SQSTM1, GCH1, ANKH, ATF3, NEDD9, ETF1, CASP6, BCL10, APP, SC5D, BTG3, PMAIP1, CASP2, GPX1, PLAT, IGFBP6, ENO2, TIMP3, XIAP, DDIT3"
