"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","A tetrasaccharide linker sequence is required for GAG synthesis",0.0228543642110382,0.423023402909551,-0.612928694294604,-1.58378584273867,93,23,"GPC6, GPC5, XYLT1, B3GAT3, DCN, VCAN, B3GAT2, SDC2"
"2","ABC transporter disorders",0.217084136159281,0.611479721089584,0.379307688840223,1.15749402266714,1351,71,"UBC, UBB, PSMD1, PSMD6, PSMC6, PSMD12, PSMD11, ABCA1, PSMC5, PSMF1, PSMA1, PSMB5, PSMB3, SEL1L, PSMA7, PSMC3, ABCD1, PSMD2, APOA1, ERLEC1, PSMB1"
"3","ABC transporters in lipid homeostasis",0.813553491572067,0.954569430111226,0.325509320168478,0.743045154847434,4729,16,"ABCA2, ABCA7, ABCD3, ABCD1, APOA1, ABCD2, ABCG1"
"4","ABC-family proteins mediated transport",0.367708001275104,0.700102459898573,0.3293154225261,1.04428793959088,2306,94,"UBC, UBB, ABCA2, PSMD1, PSMD6, PSMC6, ABCC5, PSMD12, PSMD11, PSMC5, ABCA7, PSMF1, PSMA1, PSMB5, PSMB3, SEL1L, ABCB9, PSMA7, EIF2S3, ABCD3, PSMC3, ABCD1, PSMD2, APOA1, ERLEC1, PSMB1"
"5","ADP signalling through P2Y purinoceptor 1",0.943405392275929,0.994997466540134,-0.251293685479494,-0.635081613713139,3883,21,"GNB4, GNB5, MAPK14"
"6","ADP signalling through P2Y purinoceptor 12",0.955570745044429,0.994997466540134,0.249209167485732,0.592382263065842,5591,19,"GNAI1, GNG3, GNAI2, GNG4, GNB1, P2RY12, GNG13, GNG11, GNG7"
"7","APC-Cdc20 mediated degradation of Nek2A",0.010875106202209,0.410769855229333,0.672277233724011,1.63346517781158,63,21,"UBC, UBB, ANAPC16, UBE2D1, ANAPC4, CDC23, UBE2E1, ANAPC1, ANAPC15, BUB3, CDC26, RPS27A"
"8","APC/C-mediated degradation of cell cycle proteins",0.0165275994865212,0.42065160745413,0.481390671655849,1.48260050012897,102,76,"UBC, UBB, ANAPC16, UBE2D1, ANAPC4, PSMD1, PSMD6, PSMC6, PTTG1, PSMD12, PSMD11, PSMC5, CDC23, PSMF1, CUL1, PSMA1, PSMB5, PSMB3, PSMA7, UBE2E1, PSMC3, ANAPC1, FZR1, PSMD2, PSMB1, SKP1, ANAPC15, PSME4, BUB3, CDC26"
"9","APC/C:Cdc20 mediated degradation of Cyclin B",0.0173410404624277,0.42065160745413,0.662269338604187,1.59229767442633,101,20,"UBC, UBB, ANAPC16, UBE2D1, ANAPC4, CDC23, UBE2E1, ANAPC1, ANAPC15, CDC26, RPS27A"
"10","APC/C:Cdc20 mediated degradation of Securin",0.0138308137664844,0.410769855229333,0.51005440225738,1.52450852393825,85,62,"UBC, UBB, ANAPC16, UBE2D1, ANAPC4, PSMD1, PSMD6, PSMC6, PTTG1, PSMD12, PSMD11, PSMC5, CDC23, PSMF1, PSMA1, PSMB5, PSMB3, PSMA7, UBE2E1, PSMC3, ANAPC1, PSMD2, PSMB1, ANAPC15, PSME4, CDC26"
"11","APC/C:Cdc20 mediated degradation of mitotic proteins",0.01232,0.410769855229333,0.504566381946631,1.52683203429643,76,67,"UBC, UBB, ANAPC16, UBE2D1, ANAPC4, PSMD1, PSMD6, PSMC6, PTTG1, PSMD12, PSMD11, PSMC5, CDC23, PSMF1, PSMA1, PSMB5, PSMB3, PSMA7, UBE2E1, PSMC3, ANAPC1, PSMD2, PSMB1, ANAPC15, PSME4, BUB3, CDC26"
"12","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0.0181555269922879,0.42065160745413,0.491936054729247,1.48378894832835,112,66,"UBC, UBB, ANAPC16, UBE2D1, ANAPC4, PSMD1, PSMD6, PSMC6, PTTG1, PSMD12, PSMD11, PSMC5, CDC23, PSMF1, PSMA1, PSMB5, PSMB3, PSMA7, UBE2E1, PSMC3, ANAPC1, FZR1, PSMD2, PSMB1, ANAPC15, PSME4, CDC26"
"13","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0.0144974226804124,0.410769855229333,0.500873050481862,1.50657904567735,89,65,"UBC, UBB, ANAPC16, UBE2D1, ANAPC4, PSMD1, PSMD6, PSMC6, PSMD12, PSMD11, PSMC5, CDC23, PSMF1, PSMA1, PSMB5, PSMB3, PSMA7, UBE2E1, PSMC3, ANAPC1, PSMD2, PSMB1, ANAPC15, PSME4, BUB3, CDC26"
"14","ATF4 activates genes in response to endoplasmic reticulum  stress",0.698516897641624,0.908416063928024,-0.323168072637621,-0.835054751120193,2872,23,"ATF6, EXOSC4, ASNS, EXOSC3, PARN, DIS3, NFYC"
"15","AUF1 (hnRNP D0) binds and destabilizes mRNA",0.121291164003913,0.537314882252974,0.444409310862768,1.28016377429051,743,50,"UBC, UBB, HNRNPD, PSMD1, PSMD6, PSMC6, PSMD12, PSMD11, PSMC5, PSMF1, PSMA1, PSMB5, PSMB3, PSMA7, PSMC3, PSMD2, PSMB1"
