"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","A tetrasaccharide linker sequence is required for GAG synthesis",0.43184584178499,0.8706789896807,0.362162186625321,1.01598994687581,2128,24,"GPC5, GPC6, DCN, B3GAT3, NCAN, GPC3, XYLT1, CSPG4, CSPG5, SDC4"
"2","ABC transporter disorders",0.508750754375377,0.883380811911785,-0.276438934526682,-0.970845190315658,2528,70,"UBB, PSMC3, ABCA3, RNF185, PSMD7, UBC, PSME4, PSMD8, PSMD11, PSMD3, ABCD4, PSMC1, PSMB1, DERL1, ERLEC1, PSMB7, PSMA1, PSMD9, PSMA3, PSMB6"
"3","ABC transporters in lipid homeostasis",0.261151503242287,0.785252483112708,-0.458072540268025,-1.1603668546677,1328,15,"ABCA7, ABCA3, ABCA5"
"4","ABC-family proteins mediated transport",0.394616151545364,0.863025132152462,-0.275982517238786,-1.02158352543024,1978,95,"ABCA7, UBB, PSMC3, ABCA3, RNF185, PSMD7, ABCA5, UBC, PSME4, ABCB9, PSMD8, PSMD11, ABCC5, PSMD3, PSMC1, PSMB1, DERL1, ERLEC1, PSMB7, ABCA8, PSMA1, PSMD9, PSMA3, EIF2S3, PSMB6, ABCB1, ABCA4"
"5","ADP signalling through P2Y purinoceptor 1",0.693215339233038,0.886989799314882,-0.31571775481918,-0.847344041406211,3524,19,"GNB5, MAPK14, GNG7, GNB1, GNA11"
"6","ADP signalling through P2Y purinoceptor 12",0.479285134037368,0.8706789896807,0.38483547732312,0.984008572229996,2359,16,"GNG4, GNG12, GNAI3, GNAI1, GNG3, GNG2, GNAI2"
"7","APC-Cdc20 mediated degradation of Nek2A",0.0260149783208514,0.643867457962413,-0.549082345699348,-1.53984856141465,131,23,"ANAPC5, UBB, CDC16, ANAPC4, UBC, CDC26"
"8","APC/C-mediated degradation of cell cycle proteins",0.159493161705551,0.759552918237998,-0.331843464131988,-1.18277220330544,792,76,"ANAPC5, UBB, PSMC3, CDC16, FZR1, PTTG1, PSMD7, ANAPC4, UBC, PSME4, CDC26, PSMD8, PSMD11, PSMD3, PSMC1, PSMB1, ANAPC16, PSMB7, PSMA1, PSMD9, BTRC, PSMA3, PSMB6"
"9","APC/C:Cdc20 mediated degradation of Cyclin B",0.0243323442136499,0.643867457962413,-0.565081001230752,-1.54439373178827,122,21,"ANAPC5, UBB, CDC16, ANAPC4, UBC, CDC26"
"10","APC/C:Cdc20 mediated degradation of Securin",0.143546441495778,0.732716597361741,-0.350821913169371,-1.20829436831502,713,63,"ANAPC5, UBB, PSMC3, CDC16, PTTG1, PSMD7, ANAPC4, UBC, PSME4, CDC26, PSMD8, PSMD11, PSMD3, PSMC1, PSMB1, ANAPC16, PSMB7, PSMA1, PSMD9, PSMA3, PSMB6"
"11","APC/C:Cdc20 mediated degradation of mitotic proteins",0.163815657073858,0.759575737284166,-0.339733658323682,-1.19036598870513,813,69,"ANAPC5, UBB, PSMC3, CDC16, PTTG1, PSMD7, ANAPC4, UBC, PSME4, CDC26, PSMD8, PSMD11, PSMD3, PSMC1, PSMB1, ANAPC16, PSMB7, PSMA1, PSMD9, PSMA3, PSMB6"
"12","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0.110016090104586,0.723783337362018,-0.359953811356246,-1.24988165140305,546,66,"ANAPC5, UBB, PSMC3, CDC16, FZR1, PTTG1, PSMD7, ANAPC4, UBC, PSME4, CDC26, PSMD8, PSMD11, PSMD3, PSMC1, PSMB1, ANAPC16, PSMB7, PSMA1, PSMD9, PSMA3, PSMB6"
"13","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0.227827827827828,0.785252483112708,-0.32474291237638,-1.13578521397859,1137,68,"ANAPC5, UBB, PSMC3, CDC16, PSMD7, ANAPC4, UBC, PSME4, CDC26, PSMD8, PSMD11, PSMD3, PSMC1, PSMB1, ANAPC16, PSMB7, PSMA1, PSMD9, PSMA3, PSMB6"
"14","ATF4 activates genes in response to endoplasmic reticulum  stress",0.55296442687747,0.883380811911785,-0.33871849616371,-0.938667830749791,2797,22,"HERPUD1, CEBPB, NFYC, EXOSC1, NFYB, EXOSC8"
"15","AUF1 (hnRNP D0) binds and destabilizes mRNA",0.222533520112067,0.785252483112708,-0.350481773177509,-1.15394567447706,1111,50,"UBB, PSMC3, EIF4G1, HSPA8, PSMD7, UBC, PSME4, HNRNPD, PSMD8, PSMD11, PSMD3, PSMC1, PSMB1, PSMB7, PSMA1, PSMD9, PSMA3, PSMB6"
"16","AURKA Activation by TPX2",0.0408163265306122,0.643867457962413,-0.39303731989921,-1.37034620654335,203,67,"CLASP1, CSNK1E, DCTN1, ACTR1A, DCTN2, AKAP9, DYNLL1, ALMS1, PLK4, YWHAE, CEP192, PCM1, CEP131, CEP164, YWHAG, MAPRE1, CEP135, HAUS6, SFI1, CKAP5"
"17","Abortive elongation of HIV-1 transcript in the absence of Tat",0.921266233766234,0.965732041804576,0.244546838212227,0.679844863989055,4539,23,"SUPT5H, POLR2B, NELFA, POLR2F, NELFE, CTDP1"
"18","Acetylcholine Neurotransmitter Release Cycle",0.0407083248524323,0.643867457962413,0.608391064953018,1.5247795457077,199,15,"VAMP2, UNC13B, SNAP25, RIMS1, PPFIA2, STXBP1, SYT1"
"19","Activated NOTCH1 Transmits Signal to the Nucleus",0.223767885532591,0.785252483112708,-0.394191460870544,-1.17022302466406,1125,30,"UBB, DNER, APH1A, UBC, APH1B, ITCH, DTX2, NEURL1B, ADAM10"
"20","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",0.162341581170791,0.759552918237998,-0.337605022896259,-1.18565864561168,806,70,"ANAPC5, UBB, PSMC3, CDC16, PTTG1, PSMD7, ANAPC4, UBC, PSME4, CDC26, PSMD8, PSMD11, PSMD3, PSMC1, PSMB1, ANAPC16, PSMB7, PSMA1, PSMD9, PSMA3, PSMB6"
"21","Activation of ATR in response to replication stress",0.911106671993608,0.961625371736187,0.23985067751426,0.721832011874319,4560,33,"ORC6, RPA2, MCM8, RPA3, ATRIP, ORC2, RFC3, ORC5, CHEK1, CDC45, RFC4, RAD9A, RAD9B, ORC4, RFC5"
"22","Activation of BAD and translocation to mitochondria",0.546305719519642,0.883380811911785,0.373664755483584,0.936496948976783,2683,15,"YWHAQ, PPP3R1, AKT3, BCL2, YWHAB, BAD, YWHAZ"
"23","Activation of BH3-only proteins",0.881878653497279,0.951318498804532,0.25161212262442,0.73304189302203,4374,28,"YWHAQ, PPP3R1, AKT3, BCL2, YWHAB, BAD, YWHAZ"
"24","Activation of G protein gated Potassium channels",0.736048879837067,0.896599189653697,0.311683175526708,0.809370513579005,3613,17,"GNG4, GNG12, KCNJ9, GNG3, GNG2"
"25","Activation of GABAB receptors",0.212414349052801,0.785252483112708,0.404984188665334,1.18885906843126,1053,29,"GNG4, ADCY8, GNG12, GNAI3, ADCY5, KCNJ9, ADCY2, ADCY1, GNAI1, ADCY9, GNG3, GNG2, GNAI2"
"26","Activation of HOX genes during differentiation",0.450980392156863,0.8706789896807,-0.307585140131209,-1.00229966976035,2253,47,"SUZ12, CREBBP, H3-3A, ASH2L, WDR5, POLR2K, KDM6A, CTCF, RBBP5, POLR2A, CNOT6, POLR2C, POLR2L, EED, PKNOX1, KMT2D"
"27","Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon",0.0415517920441119,0.643867457962413,-0.580868488206677,-1.49414417680953,210,16,"IRF3, UBB, UBC"
"28","Activation of Matrix Metalloproteinases",0.258172508861757,0.785252483112708,-0.451954974286227,-1.16254523479951,1310,16,"SPOCK3, MMP17, MMP24, TIMP2"
"29","Activation of NF-kappaB in B cells",0.564736630478488,0.883380811911785,-0.27378539141411,-0.942966599731415,2808,63,"UBB, PSMC3, PSMD7, UBC, NFKB1, PSME4, PSMD8, PSMD11, PSMD3, PSMC1, PSMB1, PSMB7, IKBKB, PSMA1, PSMD9, BTRC, PSMA3, PSMB6, CHUK, MALT1, NFKBIA"
"30","Activation of NMDA receptors and postsynaptic events",0.000593824228028504,0.0880299676485612,0.506200758707779,1.7715600041284,2,71,"GRIA1, ERBB4, PRKAG2, GRIA3, CALM1, KRAS, LIN7A, CAMK4, PRKAR1A, ADCY8, LIN7C, MAPT, NRGN, GRIN2A, PPM1E, NEFL, DLG2, PDPK1, PRKAA1, GRIN2B, ADCY1, PRKAA2, PRKACB, RASGRF2, RAC1, ARHGEF7, PRKAG1, PPM1F, CAMK2A, RASGRF1, LIN7B, DLG3, DLG4"
"31","Activation of SMO",0.878954607977992,0.951318498804532,-0.277048708016946,-0.701806176207966,4472,15,"KIF3A, PTCH1"
"32","Activation of anterior HOX genes in hindbrain development during early embryogenesis",0.450980392156863,0.8706789896807,-0.307585140131209,-1.00229966976035,2253,47,"SUZ12, CREBBP, H3-3A, ASH2L, WDR5, POLR2K, KDM6A, CTCF, RBBP5, POLR2A, CNOT6, POLR2C, POLR2L, EED, PKNOX1, KMT2D"
"33","Activation of gene expression by SREBF (SREBP)",0.844591877764375,0.937978587998604,0.2473683702181,0.782559291179308,4200,42,"ACACA, HMGCR, SC5D, MED1, GPAM, MVD, HMGCS1, TGS1, IDI1, TM7SF2, SCD, SP1"
"34","Activation of kainate receptors upon glutamate binding",0.267017828200972,0.785252483112708,0.401482780290874,1.13601349090779,1317,25,"NCALD, CALM1, GNG4, GNG12, GRIK2, GNG3, GRIK1, GNG2, DLG3, DLG4, GRIK3"
"35","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0.845474613686534,0.937978587998604,-0.241812772926542,-0.789587532312418,4212,48,"EIF4G1, EIF4H, EIF4E, EIF4A1, EIF3I, RPS7, EIF4A2, RPS21, RPS16, RPS15A, RPS3A, EIF2S3, RPSA, EIF3H, RPS14, EIF2S2, EIF3J, EIF4EBP1, RPS24, EIF3B"
"36","Activation of the pre-replicative complex",0.922436024598294,0.965732041804576,-0.238081399003883,-0.695427372763209,4649,28,"PRIM1, PRIM2, CDC7, MCM7, RPA1"
"37","Acyl chain remodelling of PC",0.284662576687117,0.804210667471253,0.43262929726577,1.13620880767054,1391,18,"PLA2G4E, LPCAT3, LPCAT4, LPCAT2, PLAAT3, PLA2G6, MBOAT2, PLA2G4C"
