"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.608158462443616,0.830411065653614,-0.85293369412081,-1.04150997099724,3100,178,"IL12B"
"2","HALLMARK_HYPOXIA",0.89625416748382,0.94530612244898,-0.544487961429942,-0.662446613936022,4569,184,"DCN, NR3C1, LARGE1, GCNT2"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.364689150751727,0.830411065653614,0.994231267824734,1.56495410285246,1794,71,"HMGCR, LDLR, SREBF2, PCYT2, HMGCS1, ABCA2"
"4","HALLMARK_MITOTIC_SPINDLE",0.0504991192014093,0.504991192014093,-0.998366546880105,-1.21343563331338,257,194,"DOCK4"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.487117062284439,0.830411065653614,0.185963664091994,0.387575006161187,2400,38,"ADAM17, AXIN1, AXIN2, CCND2, CSNK1E, CTNNB1, CUL1, DLL1, DVL2, FRAT1, FZD1, FZD8, GNAI1, HDAC11, HDAC2, HDAC5, HEY1, HEY2, JAG1, JAG2, KAT2A, LEF1, MAML1, MYC, NCOR2, NCSTN, NKD1, NOTCH1, NUMB"
"6","HALLMARK_TGF_BETA_SIGNALING",0.711342229199372,0.867490523413868,-0.124595038547774,-0.213348474860885,3624,54,"XIAP, WWTR1, UBE2D3, TRIM33, TJP1, THBS1, TGIF1, TGFBR1, TGFB1, SPTBN1, SMURF2, SMURF1, SMAD7, SMAD6, SMAD3, SMAD1, SLC20A1, SKIL, SKI, SERPINE1"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.631503774739849,0.830411065653614,0.233719433719434,0.369203538458175,3094,70,"A2M, ACVR1B, BAK1, CBL, CD14, CD36, CD38, CD44, CD9, CNTFR, CRLF2, CSF1, CSF2RA, CSF2RB, CSF3R, CXCL10, DNTT, EBI3, FAS, GRB2, HAX1, HMOX1, IFNAR1, IFNGR1, IFNGR2, IL10RB, IL12RB1, IL13RA1, IL15RA, IL17RA, IL17RB, IL18R1, IL1B, IL1R1, IL1R2, IL2RA, IL4R, IL6, IL6ST, IL7, INHBE, IRF1, IRF9, ITGA4, ITGB3, JUN"
"8","HALLMARK_DNA_REPAIR",0.214174150722374,0.830411065653614,-0.995636316269376,-1.24469699548849,1096,145,"POLR2A"
"9","HALLMARK_G2M_CHECKPOINT",0.0352198697068404,0.504991192014093,0.998759143155695,1.22336489813915,172,187,"PTTG1, PRPF4B, ABL1"
"10","HALLMARK_APOPTOSIS",0.41283151326053,0.830411065653614,-0.993291213443627,-1.23994151588874,2116,146,"DCN, PLPPR4, DPYD, PTK2"
"11","HALLMARK_NOTCH_SIGNALING",0.0611459809678072,0.509549841398394,0.998577708818205,2.23680183891958,301,31,"PRKCA, APH1A"
"12","HALLMARK_ADIPOGENESIS",0.851234809878479,0.94530612244898,-0.597513079928004,-0.726808332031076,4342,192,"APOE"
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.321224489795918,0.830411065653614,0.993863829231673,1.21998866255361,1573,180,"SH3BP5, OLFM1, ABAT"
"14","HALLMARK_ESTROGEN_RESPONSE_LATE",0.92458758837392,0.94530612244898,-0.5134538996754,-0.624883785261237,4707,186,"LARGE1"
"15","HALLMARK_ANDROGEN_RESPONSE",0.579683698296837,0.830411065653614,0.871565328663224,1.24113969602233,2858,90,"HMGCR, HMGCS1, HOMER2"
"16","HALLMARK_MYOGENESIS",0.602508820070561,0.830411065653614,-0.857096278765358,-1.04626183250713,3073,180,"KCNH1, LARGE1"
"17","HALLMARK_PROTEIN_SECRETION",0.174300770166194,0.806668218525615,0.997013956507627,1.4052255045749,859,94,"AP2B1, ABCA1"
"18","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.743706640237859,0.885365047902213,-0.138078491117661,-0.197998023186387,3751,82,"USP18, UBE2L6, UBA7, TXNIP, TRIM5, TRIM26, TRIM25, TRIM21, TRIM14, TRAFD1, TMEM140, TENT5A, TDRD7, TAP1, STAT2, SP110, SLC25A28, SAMD9L, RTP4, RNF31, RIPK2, PSME2, PSME1, PSMB9, PSMB8, PSMA3, PROCR, PNPT1, PLSCR1, PARP9, PARP14, PARP12, OGFR, OASL, NUB1, NMI, NCOA7, MX1, MVB12A, MOV10, LY6E, LPAR6, LGALS3BP, LAP3, ISG20, ISG15, IRF9, IRF7, IRF2, IRF1, IL7, IL4R, IL15, IFITM2, IFITM1, IFITM3, IFIT3, IFIT2, IFIH1, IFI35, HERC6, HELZ2"
"19","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.918427230046948,0.94530612244898,-0.120328516783701,-0.147823340923706,4694,164,"ZNFX1, XAF1, VCAM1, VAMP8, VAMP5, USP18, UPP1, UBE2L6, TXNIP, TRIM26, TRIM25, TRIM21, TRIM14, TRAFD1, TOR1B, TNFSF10, TNFAIP6, TNFAIP3, TNFAIP2, TDRD7, TAPBP, TAP1, STAT4, STAT3, STAT2, STAT1, ST8SIA4, ST3GAL5, SSPN, SRI, SPPL2A, SP110, SOD2, SOCS3, SOCS1, SLC25A28, SERPING1, SELP, SAMHD1, SAMD9L, RTP4, RNF31, RIPK2, RIPK1, RBCK1, RAPGEF6, PTPN6, PTPN2, PTPN1, PTGS2, PSME2, PSME1, PSMB9, PSMB8, PSMB2, PSMB10, PSMA3, PNPT1, PNP, PML, PLSCR1, PLA2G4A, PIM1, PFKP, PELI1, PDE4B, PARP14, PARP12, P2RY14, OGFR, OASL, OAS3, OAS2, NUP93, NOD1, NMI, NLRC5, NFKBIA, NFKB1, NCOA3, NAMPT, MX1, MVP, MTHFD2, METTL7B, LYSMD2, LY6E, LGALS3BP, LCP2, LATS2, LAP3, KLRK1, JAK2, ITGB7, ISOC1, ISG20, ISG15, IRF9, IRF7, IRF5, IRF4, IRF2, IRF1, IL7, IL6, IL4R, IL18BP, IL15RA, IL15, IL10RA, IFNAR2, IFITM2, IFITM3, IFIT3, IFIT2, IFIH1, IFI35, ICAM1, HIF1A, HERC6, HELZ2"
"20","HALLMARK_APICAL_JUNCTION",0.653194529495815,0.830411065653614,0.797911180395611,0.979688168482563,3199,181,"CADM2, ARPC2, ACTA1"
"21","HALLMARK_APICAL_SURFACE",0.324281778827233,0.830411065653614,-0.993597206053551,-2.00288708026889,1647,37,"RTN4RL1, SCUBE1"
"22","HALLMARK_HEDGEHOG_SIGNALING",0.933293862245905,0.94530612244898,-0.0973807137777203,-0.207944486042753,4728,32,"VLDLR, VEGFA, UNC5C, TLE3, TLE1, THY1, SLIT1, SCG2, RTN1, RASA1, PTCH1, PML, OPHN1, NRP2, NRP1, NRCAM, NF1, MYH9"
"23","HALLMARK_COMPLEMENT",0.511532447224394,0.830411065653614,-0.948157931152104,-1.16436456448357,2616,166,"DOCK4, DGKG"
"24","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.777418049372724,0.903974476014795,0.163606358479191,0.224366628245447,3841,103,"ALDH18A1, ARFGAP1, SPCS3, ASNS, ATF3, ATF4, ATF6, ATP6V0D1, BAG3, CALR, CEBPB, CEBPG, CHAC1, CKS1B, CNOT4, CNOT6, CXXC1, DCP1A, DCP2, DCTN1, DDIT4, DDX10, DKC1, DNAJA4, DNAJB9, DNAJC3, EDC4, EDEM1, EEF2, EIF2AK3, EIF2S1, EIF4A1, EIF4A2, EIF4A3, EIF4E, EIF4EBP1, EIF4G1, ERN1, ERO1A, EXOC2, EXOSC1, EXOSC10, EXOSC2, EXOSC4, EXOSC5, EXOSC9"
"25","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.177467008075635,0.806668218525615,-0.99688372394988,-1.36456849240551,900,96,"ADCY2"
"26","HALLMARK_MTORC1_SIGNALING",0.28434764909424,0.830411065653614,0.994121105232216,1.21729669041131,1396,190,"ELOVL6, HMGCR, LDLR, HMGCS1, ABCF2"
"27","HALLMARK_E2F_TARGETS",0.000203956761166633,0.0101978380583316,1,1.22553040379032,0,184,"PTTG1, AK2"
"28","HALLMARK_MYC_TARGETS_V1",0.277630234933606,0.830411065653614,0.994386422976501,1.22009148720807,1358,179,"RPL14, ABCE1"
"29","HALLMARK_MYC_TARGETS_V2",0.575156985871272,0.830411065653614,-0.18885291895975,-0.323379507745324,2930,54,"WDR74, WDR43, UTP20, UNG, TMEM97, TFB2M, TCOF1, TBRG4, SUPV3L1, SRM, SORD, SLC29A2, SLC19A1, RRP9, RRP12, RCL1, RABEPK, PUS1, PRMT3, PPRC1, PPAN, PLK4, PLK1, PHB, PES1, PA2G4, NOP56, NOLC1, NOC4L, NIP7, NDUFAF4, MYC, MYBBP1A, MRTO4, MPHOSPH10, MCM5, MCM4, MAP3K6, LAS1L, IPO4, IMP4, HSPD1, HK2, GRWD1, GNL3"
"30","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.572184133202742,0.830411065653614,-0.888280656672713,-1.08104486491544,2920,183,"CADM1, DCN, MGP, SLIT2, SPOCK1"
"31","HALLMARK_INFLAMMATORY_RESPONSE",0.550234558248632,0.830411065653614,-0.916141936446143,-1.12504802395006,2814,166,"IL12B"
"32","HALLMARK_XENOBIOTIC_METABOLISM",0.495696400625978,0.830411065653614,-0.96348515518182,-1.18363957585709,2533,164,"APOE, GCNT2"
"33","HALLMARK_FATTY_ACID_METABOLISM",0.577373974208675,0.830411065653614,-0.914048469625947,-1.14701114372055,2954,140,"PTPRG"
"34","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.94530612244898,0.94530612244898,0.175973751116047,0.214944845073026,4631,192,"ABCB7, ACAA2, ACADM, ACADSB, ACADVL, ACAT1, ACO2, AFG3L2, AIFM1, ALAS1, ALDH6A1, ATP1B1, ATP5F1A, ATP5F1B, ATP5F1C, ATP5F1D, ATP5F1E, ATP5MC3, ATP5PD, ATP5PF, ATP5MF, ATP5ME, ATP5MG, ATP5PO, ATP6AP1, ATP6V0B, ATP6V0C, ATP6V0E1, ATP6V1C1, ATP6V1D, ATP6V1E1, ATP6V1F, ATP6V1G1, ATP6V1H, BAX, BCKDHA, BDH2, CASP7, COX10, COX11, COX17, COX5A, COX5B, COX6A1, COX6B1, COX6C, COX7A2, COX7A2L, COX7B, COX7C, COX8A, CPT1A, CS, CYB5A, CYB5R3, CYC1, DECR1, DLAT, DLD, DLST, ECH1, ECHS1, ECI1, ETFA, ETFB, ETFDH, FDX1, FH, FXN, GLUD1, CYCS, GOT2, GPI, GPX4, GRPEL1, HADHA, HADHB, HCCS, HSD17B10, HSPA9, HTRA2, IDH1, IDH2, IDH3A, IDH3B, IDH3G, IMMT, ISCA1, ISCU, LDHA, LDHB, LRPPRC, MAOB, MDH1, MDH2, MFN2, MGST3, MPC1, MRPL11, MRPL15, MRPL34, MRPL35, MRPS11, MRPS12, MRPS15, MRPS22, MRPS30, MTRF1, MTRR, MTX2, NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFB1, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2"
"35","HALLMARK_GLYCOLYSIS",0.813711487451541,0.924672144831296,0.631219184749129,0.773328978517367,3987,185,"HOMER1, ABCB6"
"36","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.549226854570366,0.830411065653614,-0.177725445178789,-0.325774233696908,2805,46,"TXNRD2, TXNRD1, TXN, STK25, SRXN1, SOD2, SOD1, SELENOS, SCAF4, SBNO2, PTPA, PRNP, PRDX6, PRDX4, PRDX2, PRDX1, PFKP, PDLIM1, NQO1, NDUFS2, NDUFB4, NDUFA6, MSRA, MPO, MGST1, MBP, LSP1, LAMTOR5, JUNB, IPCEF1, HMOX2, GSR, GPX4, GPX3, GLRX, GCLM, GCLC, G6PD, FTL, FES"
"37","HALLMARK_P53_PATHWAY",0.080661629569124,0.576154496922314,0.997584225646383,1.22277165135959,394,183,"ZBTB16, ABAT"
"38","HALLMARK_UV_RESPONSE_UP",0.608731297397008,0.830411065653614,0.86077963387228,1.08447477380412,2969,144,"NR4A1, OLFM1, ABCB1"
"39","HALLMARK_UV_RESPONSE_DN",0.544635544635545,0.830411065653614,0.926768584917662,1.17667551035359,2659,140,"PRKCA, ATP2B1, SYNJ2, CAP2, LDLR, MAP1B, LAMC1"
"40","HALLMARK_ANGIOGENESIS",0.324357157319295,0.830411065653614,0.953019799174113,2.13475267923041,1601,31,"FGFR1, APOH"
"41","HALLMARK_HEME_METABOLISM",0.471344075056088,0.830411065653614,0.953987393336117,1.17326317600359,2310,177,"KDM7A, TSPAN5, ABCB6"
"42","HALLMARK_COAGULATION",0.427809599051945,0.830411065653614,-0.993630573248408,-1.29858220575483,2165,113,"APOA1"
"43","HALLMARK_IL2_STAT5_SIGNALING",0.016734693877551,0.418367346938775,0.999412417575243,1.22566478126185,81,182,"SPRED2, ABCB1"
"44","HALLMARK_BILE_ACID_METABOLISM",0.290271760535644,0.830411065653614,-0.995376451057371,-1.3427753690943,1473,101,"TTR"
"45","HALLMARK_PEROXISOME",0.139861523244313,0.777008462468403,-0.997541909713058,-1.38103149722761,706,92,"TTR, CADM1"
"46","HALLMARK_ALLOGRAFT_REJECTION",0.664328852522891,0.830411065653614,-0.803376562670553,-1.00146999810956,3409,148,"IL12B"
"47","HALLMARK_SPERMATOGENESIS",0.240153504342557,0.830411065653614,0.995906432748538,1.3524699209979,1188,109,"DCC, ACE"
"48","HALLMARK_KRAS_SIGNALING_UP",0.10238629410565,0.63991433816031,0.997128124796032,1.22624039136526,501,178,"HDAC9, ETV5, ABCB1"
"49","HALLMARK_KRAS_SIGNALING_DN",0.662238718499707,0.830411065653614,-0.810436984375931,-1.00441871179793,3389,152,"IL12B"
"50","HALLMARK_PANCREAS_BETA_CELLS",0.0442109436954798,0.504991192014093,-0.998901098901099,-2.21941896362446,222,29,"PAK3"
