"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.790190735694823,0.952608522500996,0.204871295979583,0.866493439011897,4349,139,"B4GALT5, LDLR, BTG1, ATP2B1, SMAD3, TSC22D1, SGK1, VEGFA, LITAF, PDE4B, SLC16A6, IL6ST, G0S2, NFIL3, GPR183, PHLDA1, ID2, REL, KLF6, CD80, CCNL1, MXD1, TANK, PLEK, DNAJB4, BIRC2, TNFAIP6, CEBPD, IRS2, PANX1, BTG2, EGR1, CCL4, RELA, RELB, NR4A1, BHLHE40, NAMPT, RHOB, F3"
"2","HALLMARK_HYPOXIA",0.138793879387939,0.756923652694611,0.271052234929875,1.17153030867497,770,163,"GPC1, AKAP12, PPFIA4, FOXO3, PFKP, BTG1, CHST2, ENO2, VLDLR, EXT1, ERO1A, WSB1, PFKL, VEGFA, LXN, FAM162A, SLC37A4, NOCT, EGFR, ENO1, HK1, NEDD4L, NFIL3, NAGK, RORA, KLHL24, RRAGD, P4HA1, SIAH2, SLC2A1, TPI1, PGM2, ANKZF1"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.616614012265378,0.885830587323125,0.249273171798403,0.919161169821189,3317,62,"ALCAM, LDLR, ATXN2, GNAI1, SCD, ACTG1, CTNNB1, NFIL3, GUSB, ETHE1, LSS, MVD, DHCR7, STARD4, HMGCS1, SREBF2, LGMN, STX5"
"4","HALLMARK_MITOTIC_SPINDLE",0.0100412408104716,0.16735401350786,0.318317151097055,1.39147272234553,55,179,"DYNLL2, BIN1, PKD2, BCAR1, MYO9B, RABGAP1, ARHGEF2, DYNC1H1, HOOK3, SMC3, NUMA1, ALMS1, CEP57, ARHGAP5, CDC42, CNTRL, RHOF, ARFGEF1, EPB41L2, FSCN1, RASA2, SUN2, RICTOR, ARL8A, KIF1B, CDC42BPA, TUBA4A, DOCK4, NEDD9, KIF3B, KIF5B, WASF2, ROCK1, RHOT2, RASA1, FLNB, MID1, KIFAP3, CD2AP, PCM1, PALLD, LLGL1, CLIP2, TSC1, PREX1, CLASP1, TUBGCP6, STK38L, SPTBN1, PCGF5, TRIO, TUBGCP3, RASAL2, ARFIP2"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.00959729017689123,0.16735401350786,0.506109569348976,1.6346789685021,50,32,"AXIN1, HDAC11, KAT2A, JAG2, GNAI1, HDAC5, CTNNB1, AXIN2, NCOR2, PSEN2, HDAC2"
"6","HALLMARK_TGF_BETA_SIGNALING",0.151384730538922,0.756923652694611,0.3545068466063,1.23137062181006,808,45,"SMAD1, SKI, ID3, SMAD3, BMPR1A, CTNNB1, NCOR2, MAP3K7, ID2, SKIL, ACVR1, BMPR2, SPTBN1, TRIM33, HIPK2, SLC20A1, BCAR3, SMAD7, ARID4B"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.17420184272552,0.765370138017566,-0.331778414827091,-1.2004080675306,812,50,"TNFRSF21, CBL, CSF2RA, CNTFR, STAT3"
"8","HALLMARK_DNA_REPAIR",0.228121036419641,0.765370138017566,0.26191659741971,1.11029722467127,1258,141,"ELOA, VPS37B, NFX1, TMED2, NUDT21, DUT, POLR2A, SNAPC4, GTF2B, RBX1, ERCC5, SURF1, PDE4B, TAF6, GMPR2, GTF2H5, AK1, UPF3B, ERCC8, GTF2H1, AAAS, NT5C3A, NUDT9, POLR2E, POLR1D, ERCC1, POM121, APRT, GTF2H3, TSG101, SUPT4H1, POLR2K, NT5C, RPA3, NELFE, RALA, SF3A3, BCAP31, ZWINT, EIF1B, DCTN4, ITPA, AGO4, NME4, POLE4, SSRP1, NELFCD, ZNRD1, TP53, BCAM, SNAPC5, ERCC4, DAD1, SRSF6, ALYREF, STX3, ADRM1, ERCC2, RAD51"
"9","HALLMARK_G2M_CHECKPOINT",0.348791405550582,0.885830587323125,0.241355394815926,1.04221164628424,1947,161,"PDS5B, NSD2, NUMA1, PRPF4B, MAPK14, SFPQ, PURA, TOP1, WRN, PTTG1, SYNCRIP, CTCF, SMAD3, SLC38A1, NASP, STMN1, NUP98, XPO1, KIF5B, LBR, SLC7A5, EGF, LIG3, SMARCC1, HNRNPD"
"10","HALLMARK_APOPTOSIS",0.838921282798834,0.952608522500996,0.203275564112429,0.832631802507064,4603,109,"BCL2L1, PAK1, PPT1, ENO2, BAX, IGF2R, CTNNB1, NEDD9, SOD1, ROCK1, RHOT2, CREBBP, TIMP3, ANKH, PSEN2, APP, SATB1, TGFB2, PSEN1, PLPPR4, BCAP31, PLAT, BTG2, CDC25B, CYLD, RELA, DPYD, DDIT3, SLC20A1, CASP9, VDAC2, RHOB, BRCA1"
"11","HALLMARK_NOTCH_SIGNALING",0.187652926783362,0.765370138017566,0.383223375344554,1.21242364708214,996,29,"KAT2A, DTX2, RBX1, NOTCH3, PSEN2, SKP1, ARRB1, CUL1, DTX1, PSENEN, FZD1, HES1"
"12","HALLMARK_ADIPOGENESIS",0.558923766816144,0.885830587323125,0.220062949048434,0.959686400063958,3115,175,"MAP4K3, CHUK, SLC5A6, GPD2, IMMT, COQ3, IDH3A, TKT, REEP5, AGPAT3, GHITM, MARC2, MGLL, PFKL, ABCB8, FAH, ACOX1, COX8A, SOD1, BCKDHA, CAT, UBQLN1, GPAM, NDUFAB1, RTN3, RAB34, COX7B, MGST3, ADIPOR2, GPHN, CMPK1, DGAT1, DNAJC15, IDH3G, NMT1, DNAJB9, ESRRA, VEGFB, G3BP2, ACAA2, AK2"
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.857347670250896,0.952608522500996,0.195623043001838,0.842010969723686,4783,157,"SLC39A6, MPPED2, MAST4, ADCY1, JAK2, BCL11B, ELOVL5, SVIL, ABCA3, DEPTOR, AR, SLC1A1, IL6ST, SLC7A5, FLNB, RETREG1, ITPK1, DYNLT3, NCOR2, TGIF2, XBP1, ABHD2, IGFBP4, SLC24A3, SIAH2, SLC2A1, ARL3, REEP1, CELSR2, UGCG, CBFA2T3, MED13L, TTC39A, DHRS3, IL17RB, FARP1, SLC1A4, DHCR7, PLAAT3, DLC1, PEX11A"
"14","HALLMARK_ESTROGEN_RESPONSE_LATE",0.604359673024523,0.885830587323125,0.222248512793414,0.939989554148362,3326,139,"CA2, JAK2, UNC13B, ELOVL5, ABCA3, HSPA4L, METTL3, SGK1, DNAJC1, PCP4, IL6ST, SLC7A5, TSTA3, FLNB, ITPK1, DYNLT3, MDK, NCOR2, XBP1, ABHD2, CKB, IGFBP4, ID2, PRKAR2B, SLC24A3, SIAH2, ARL3, CXCL14, ASCL1, CELSR2"
