"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.037852593266606,0.315438277221717,0.301633730205309,1.32557245996027,207,146,"GPR183, CSF1, NFE2L2, IL6ST, CCL4, TNFAIP8, PLEK, NFKBIA, CCNL1, IFIH1, BIRC2, CFLAR, SQSTM1, IRS2, TIPARP, NFKB1, NFKBIE, TANK, SDC4, BHLHE40, TRIP10, DNAJB4, CD83, PLAU, ETS2, IL6, IL12B, FJX1, SAT1, GEM, RNF19B, CCND1, PTPRE, RIPK2, KYNU"
"2","HALLMARK_HYPOXIA",0.000549450549450549,0.0274725274725275,0.382561229690942,1.68192854720152,2,148,"UGP2, RORA, KLHL24, GCNT2, CHST2, EXT1, SCARB1, SULT2B1, LARGE1, NDST1, XPNPEP1, WSB1, ETS1, PGK1, GPI, SLC2A1, MXI1, SIAH2, IRS2, TIPARP, VLDLR, MAP3K1, SDC4, PLIN2, NAGK, KLF7, BHLHE40, NEDD4L, PDK3, PGM1, NR3C1, GYS1, TES, ERRFI1"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.366069745523091,0.590435073424341,0.273300997728513,1.05015494524232,1941,63,"ALCAM, GUSB, LPL, CD9, MAL2, CYP51A1, CPEB2, PMVK, PDK3, ERRFI1, HMGCS1, NSDHL, CTNNB1, ACSS2, HSD17B7, TMEM97, ANTXR2, CXCL16, ATF3, ABCA2, PLSCR1, SC5D, ANXA5, LDLR"
"4","HALLMARK_MITOTIC_SPINDLE",0.302397384671268,0.584079420183933,0.237818042424759,1.06673483365377,1664,171,"MYO1E, FGD4, CLASP1, SMC4, ARHGEF7, KIF5B, ABL1, ABR, ALS2, NCK1, ARHGEF2, RHOF, FLNB, CDC42BPA, DYNC1H1, CD2AP, ARF6, DLG1, CDC27, CKAP5, MAPRE1, CENPJ, EPB41L2, SYNPO, NIN, DOCK2, RAB3GAP1, KIF22, SASS6, TSC1, ARHGAP5, SPTBN1, KPTN, NF1, HDAC6, PCGF5, OPHN1, ARHGEF3, ARHGEF12, CLIP1, ARHGDIA, VCL, CDK5RAP2, TAOK2, DST, ARFGEF1, LATS1, TPX2, SOS1, RFC1"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0196611587533989,0.315438277221717,-0.474210365055116,-1.58329813296641,93,31,"NCOR2, CSNK1E, PSEN2, PPARD, SKP2, NUMB"
"6","HALLMARK_TGF_BETA_SIGNALING",0.34402332361516,0.584079420183933,-0.291187880394608,-1.06715908094609,1651,47,"NCOR2, HDAC1, UBE2D3, XIAP, SMAD3, SMURF2, PPM1A, RAB31, TJP1, PMEPA1"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.7026001138736,0.81697687659721,0.231469601070689,0.872665452019945,3701,57,"CSF1, IFNAR1, IL6ST, CD9, IL6, ITGA4, HAX1, ITGB3, STAT1, PTPN2, CRLF2, IL17RB, HMOX1, CD38, TNFRSF21, MAP3K8, CSF2RA, CNTFR, IL12RB1, TYK2, DNTT, STAT3, CD14"
"8","HALLMARK_DNA_REPAIR",0.664685160722149,0.81697687659721,-0.205625441454698,-0.916756797446354,3018,140,"DGUOK, GSDME, MRPL40, DAD1, ELOA, POLR2E, USP11, ERCC4, POLR1C, TAF1C, EIF1B, TK2, PNP, POLL, EDF1, POLR1D, APRT, POLR2G, SUPT5H, SSRP1, POLR2J, PCNA, GTF2F1, NELFB"
"9","HALLMARK_G2M_CHECKPOINT",0.65416818347288,0.81697687659721,0.209830296629455,0.920339282824076,3593,144,"HIF1A, SMC4, EFNA5, STAG1, SLC38A1, KIF5B, ABL1, CCNT1, SLC12A2, HNRNPU, NOLC1, CDC27, CDK4, KIF22, PML, NUP98, XPO1, HNRNPD, GINS2, WRN, CCND1, ORC5, NUP50, UBE2S, RPS6KA5, TPX2, TENT4A, CBX1, CUL1, G3BP1, MAP3K20, HIRA, ILF3, KIF15, RASAL2, MCM2, BRCA2, ODC1, SLC7A5, BUB3, CASP8AP2, PURA, TMPO, NOTCH2"
"10","HALLMARK_APOPTOSIS",0.987632508833922,0.987632508833922,-0.162471974471802,-0.700096085603693,4471,113,"PSEN2, DNAJC3, ETF1, CLU, DPYD, GNA15, XIAP, PAK1, MADD, DDIT3, RHOB, IRF1, EBP, BIRC3, CASP7, PDCD4, SOD2, GSR, HGF, SLC20A1, CASP6, CDKN1B, IFNGR1"
