"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0456739055498104,0.57092381937263,0.296465781580246,1.31993364381425,264,135,"JUN, CEBPB, PDE4B, JUNB, PTPRE, MCL1, NFKBIA, SAT1, TANK, MARCKS, PTGER4, RCAN1, IER2, SQSTM1, PNRC1, HES1, CCNL1, RELB, SGK1, B4GALT5, IL15RA, CFLAR, TRIB1, NFIL3, BTG2, EIF1, MXD1, YRDC, VEGFA, NFE2L2, KDM6B, ZBTB10, RELA, IL18, FJX1, IFIT2, CD80"
"2","HALLMARK_HYPOXIA",0.671855996108003,0.928946145805103,-0.194084822144423,-0.923973919452299,2761,159,"PRDX5, LDHA, ACKR3, GPC1, EXT1, GPI, P4HA1, ALDOC, HSPA5, PFKP, LARGE1, BGN, CDKN1C, PDK1, HEXA, ADORA2B, SLC2A1, IER3, NDST1, CAVIN1, PRKCA, ANKZF1, STC1, PGM2, GALK1, DCN, KDM3A, VLDLR, ILVBL, PPP1R15A, PPARGC1A, CAVIN3, HMOX1"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.020911528150134,0.348525469168901,0.378025562910304,1.48266569208289,116,63,"FDFT1, STX5, ECH1, HMGCS1, CYP51A1, PNRC1, FABP5, PLSCR1, LGMN, GNAI1, FBXO6, NFIL3, ETHE1, GUSB, TP53INP1, CD9, SC5D, GSTM2, PMVK, LSS, MVK, DHCR7"
"4","HALLMARK_MITOTIC_SPINDLE",0.294717173432988,0.818658815091633,0.234034308512311,1.07364556139974,1734,166,"VCL, MID1, TUBGCP5, STAU1, EPB41, ARHGEF12, WASF1, CNTRL, ROCK1, RASA1, MARCKS, RANBP9, NIN, AKAP13, ABL1, TUBD1, ANLN, PCNT, RASAL2, OPHN1, FLNB, DLG1, NCK1, ARHGAP5"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.854630454140695,0.928946145805103,-0.213783862180452,-0.759020287810539,3838,34,"CUL1, DVL2, HDAC5, PTCH1, AXIN1, HDAC2, HEY2, CCND2, HDAC11, AXIN2"
"6","HALLMARK_TGF_BETA_SIGNALING",0.760151597184624,0.928946145805103,0.224708698879346,0.830795926559393,4211,47,"JUNB, SMURF2, ID3, HDAC1, NCOR2, FKBP1A, ENG, WWTR1, SMAD1, ACVR1, APC, HIPK2, TJP1, PMEPA1, FURIN, UBE2D3, MAP3K7"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.280496581504138,0.818658815091633,0.301655428670938,1.11060815278088,1558,46,"JUN, OSMR, IL4R, IL13RA1, ACVR1B, STAM2, IL15RA, IFNGR1, CD9, PTPN1"
"8","HALLMARK_DNA_REPAIR",0.224713740458015,0.812854658612484,-0.239743684476439,-1.11202111858937,941,133,"DAD1, ADCY6, SUPT5H, DDB1, TMED2, GTF2H1, EIF1B, RAE1, POLA1, POLR2F, VPS37B, RNMT, POLR2A, POLE4, NUDT21, MPC2, POLD4, CSTF3, LIG1, APRT, NELFB, GTF3C5, DUT, DDB2, AK1, RAD52, NCBP2, DCTN4, BRF2"
"9","HALLMARK_G2M_CHECKPOINT",0.432380952380952,0.908609738884968,-0.216347560521027,-1.00471108948765,1815,134,"HSPA8, CCNT1, WRN, NASP, FANCC, UPF1, SMC1A, CUL1, SLC38A1, ATRX, SRSF2, CDC7, NCL, STMN1, MEIS2, NOTCH2, HMGN2, CDC27, BUB3, SMC4, KATNA1, MNAT1, NUSAP1, SRSF1, E2F3, KIF22, CKS1B, UCK2, EXO1, HMGB3, CENPA, ORC6, MTF2, E2F4, HIRA, TENT4A, CENPF, CDKN1B, SYNCRIP, CCNA2, KMT5A, PRPF4B, SAP30, DMD"
"10","HALLMARK_APOPTOSIS",0.353801870952267,0.908609738884968,-0.229768346101005,-1.03873366675412,1474,115,"SOD2, DFFA, BCL2L11, IFITM3, PLPPR4, VDAC2, PTK2, HMGB2, SOD1, BGN, CASP9, MGMT, HSPB1, IER3, ANXA1, NEDD9, CYLD, EBP, DCN, LMNA, RHOB, APP, SLC20A1, RARA, HMOX1, GSR, CLU, CCND2, TNFRSF12A, GSN, CDKN1B, BCL10"
"11","HALLMARK_NOTCH_SIGNALING",0.662439877568867,0.928946145805103,-0.259387984882628,-0.874804068306895,3029,28,"CUL1, DTX2, TCF7L2, HEYL, PRKCA, NOTCH2, FZD7"
"12","HALLMARK_ADIPOGENESIS",0.485735366453517,0.928946145805103,-0.204448474578435,-0.987531667824296,1974,175,"ARAF, G3BP2, ADCY6, COX6A1, NDUFB7, POR, ITGA7, AGPAT3, ATP5PO, NKIRAS1, ESRRA, BCL6, IDH3A, SOD1, MARC2, LIFR, JAGN1, SSPN, CIDEA, CAVIN1, MGST3, APLP2, ME1, MDH2, CHCHD10, SPARCL1, APOE, TOB1, ABCB8, COQ9, LTC4S, COX8A, CYC1, ELMOD3, COQ3, ARL4A, ACADM, ENPP2, IDH3G, AK2"
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.799588547917024,0.928946145805103,0.190620324190943,0.85752111380206,4663,145,"NRIP1, RBBP8, FDFT1, SLC1A1, NAV2, MICB, SYT12, FLNB, HES1, SLC39A6, SLC22A5, FRK, NBL1, PPIF, WWC1, TBC1D30, PLAAT3, RHOBTB3, NCOR2, DEPTOR, ISG20L2, AFF1, NXT1, CANT1, SYNGR1, ELOVL5, MAPT"
