"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","A tetrasaccharide linker sequence is required for GAG synthesis",0.893106119287374,0.941001505308944,0.254755727822465,0.706969900204599,4611,24,"B3GAT3, NCAN, GPC4, B3GAT1, AGRN, B3GALT6, SDC3, XYLT2, SDC4"
"2","ABC transporter disorders",0.157626157626158,0.731633423180593,0.348873765091278,1.20026706662705,833,70,"DERL1, PSMC2, PSMD1, ABCA1, VCP, PSMD2, PSMD13, UBC, PSMD5, PSMC3, ABCA3, PSMB10, PSMB3, PSMA5, PSMA6, PSMF1"
"3","ABC transporters in lipid homeostasis",0.19276175730598,0.731633423180593,0.50498405040601,1.24923819399609,995,15,"ABCA2, ABCD3, ABCA7, ABCA3, PEX19"
"4","ABC-family proteins mediated transport",0.315227570706125,0.751881105780782,0.296019099350584,1.06716729279353,1682,93,"DERL1, ABCA2, PSMC2, PSMD1, VCP, PSMD2, ABCB7, ABCF1, PSMD13, ABCD3, ABCA7, UBC, PSMD5, PSMC3, ABCA3, PSMB10, PSMB3, PSMA5, PSMA6"
"5","ADP signalling through P2Y purinoceptor 1",0.188118811881188,0.731633423180593,0.473638285348158,1.24368503416122,968,19,"GNB4, GNB1, SRC, GNB5, GNG3, PLA2G4A, GNG12, GNA11, GNGT2"
"6","ADP signalling through P2Y purinoceptor 12",0.332552235891427,0.759377092225291,0.431768963257876,1.10299243864549,1702,17,"GNB4, GNB1, GNB5, GNG3"
"7","APC-Cdc20 mediated degradation of Nek2A",0.162381596752368,0.731633423180593,0.473070697817561,1.27113454957816,839,21,"CDC16, UBE2E1, UBE2D1, ANAPC4, CDC26, UBC, CDC27"
"8","APC/C-mediated degradation of cell cycle proteins",0.260113421550095,0.731633423180593,0.31897126105829,1.11015187869549,1375,76,"PSMC2, PSMD1, CDC16, UBE2E1, UBE2D1, PSMD2, ANAPC4, PSMD13, CDC26, UBC, PSMD5, PSMC3, CDC27, CUL1, PSMB10, PSMB3, PSMA5, PSMA6"
"9","APC/C:Cdc20 mediated degradation of Cyclin B",0.133398058252427,0.719875148940579,0.495001177621928,1.31487858461588,686,20,"CDC16, UBE2E1, UBE2D1, ANAPC4, CDC26, UBC, CDC27"
"10","APC/C:Cdc20 mediated degradation of Securin",0.115010490177379,0.719637832440773,0.373518729890166,1.25697065610013,602,62,"PSMC2, PSMD1, CDC16, UBE2E1, UBE2D1, PSMD2, ANAPC4, PSMD13, CDC26, UBC, PSMD5, PSMC3, CDC27, PSMB10, PSMB3, PSMA5, PSMA6, PSMF1"
"11","APC/C:Cdc20 mediated degradation of mitotic proteins",0.135993947418196,0.719875148940579,0.361572687523666,1.23053929293701,718,66,"PSMC2, PSMD1, CDC16, UBE2E1, UBE2D1, PSMD2, ANAPC4, PSMD13, CDC26, UBC, PSMD5, PSMC3, CDC27, PSMB10, PSMB3, PSMA5, PSMA6, PSMF1"
"12","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0.128995649706828,0.719637832440773,0.364380661386469,1.24009566235026,681,66,"PSMC2, PSMD1, CDC16, UBE2E1, UBE2D1, PSMD2, ANAPC4, PSMD13, CDC26, UBC, PSMD5, PSMC3, CDC27, PSMB10, PSMB3, PSMA5, PSMA6, PSMF1"
"13","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0.100948766603416,0.703469737409527,0.378470637796957,1.28231941066778,531,64,"PSMC2, PSMD1, CDC16, UBE2E1, UBE2D1, PSMD2, ANAPC4, PSMD13, CDC26, UBC, PSMD5, PSMC3, CDC27, PSMB10, PSMB3, PSMA5, PSMA6, PSMF1"
"14","ATF4 activates genes in response to endoplasmic reticulum  stress",0.928392202277553,0.954887424893834,0.244504663915605,0.664888659318538,4809,22,"KHSRP, EXOSC1, ASNS, HERPUD1, EXOSC3, EXOSC5, CEBPB"
"15","AUF1 (hnRNP D0) binds and destabilizes mRNA",0.643553008595989,0.85454272178882,0.275215422566332,0.894601743266047,3368,51,"PSMC2, PSMD1, PSMD2, PSMD13, UBC, PSMD5, PSMC3, PSMB10, PSMB3, PSMA5, PSMA6, PSMF1"
"16","AURKA Activation by TPX2",0.6565694812571,0.85454272178882,0.262180453565223,0.89524475905828,3467,67,"CDK5RAP2, ACTR1A, PPP2R1A, DCTN2, CKAP5, DCTN3, YWHAG, CSNK1D, CEP57, HAUS6, CCP110, NEDD1, PCM1, SSNA1, CSNK1E, DYNC1I2, OFD1, CEP72"
"17","Abortive elongation of HIV-1 transcript in the absence of Tat",0.859472049689441,0.933137471220261,0.26656754733006,0.731329899922786,4427,23,"POLR2C, NELFB, POLR2G, NCBP1, NELFA, POLR2I, NELFCD, SUPT5H, POLR2D"
"18","Activated NOTCH1 Transmits Signal to the Nucleus",0.548820257049684,0.817513819493069,0.317464920739718,0.935750787712691,2860,31,"ADAM10, UBC, MIB2, APH1A, ARRB1, ADAM17, PSENEN, DNER"
"19","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",0.136312003029156,0.719875148940579,0.359842970410992,1.22872444899583,719,67,"PSMC2, PSMD1, CDC16, UBE2E1, UBE2D1, PSMD2, ANAPC4, PSMD13, CDC26, UBC, PSMD5, PSMC3, CDC27, PSMB10, PSMB3, PSMA5, PSMA6, PSMF1"
"20","Activation of ATR in response to replication stress",0.952199581032184,0.970219294219048,0.219297098325119,0.66688818305617,4999,36,"RFC2, CDC7, ORC6, RPA1"
"21","Activation of BH3-only proteins",0.385349657605312,0.774291130259356,-0.358048629641122,-1.04161597175426,1856,27,"YWHAQ, MAPK8, TFDP1, YWHAE, BCL2, BCL2L11, DYNLL1, DYNLL2, PPP3R1, TP53, TP53BP2, TP73"
"22","Activation of G protein gated Potassium channels",0.787098103874691,0.916721443490237,-0.288327041261072,-0.781538930737853,3818,20,"KCNJ2, KCNJ10, GNG2"
"23","Activation of GABAB receptors",0.864332185227708,0.933137471220261,0.250177976896881,0.743203993857035,4516,32,"ADCY9, GNB1, ADCY1, KCNJ3, GNG3, KCNJ6"
"24","Activation of HOX genes during differentiation",0.765467351989339,0.906334607737378,0.257511138002425,0.832276718570249,4020,49,"POLR2C, KDM6A, H3-3A, YY1, POLR2G, MEIS1, NCOA6, CTCF, KMT2C, POLR2I"
"25","Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon",0.230307722082446,0.731633423180593,0.488821495833261,1.20925498963827,1189,15,"PTPN11, TBK1, UBC, IRF3"
