"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0435799319727891,0.225015846186351,-0.999640236005181,-1.68252304309009,204,159,"IL12B"
"2","HALLMARK_HYPOXIA",0.464706983710916,0.627982410420156,0.996687072380266,1.46019709344172,2481,172,"P4HA1, DTNA"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.346161359640555,0.558324773613798,0.948344818932063,2.1911187772621,1771,68,"SCD, ABCA2"
"4","HALLMARK_MITOTIC_SPINDLE",0.719553072625698,0.747333132468087,0.122555856073261,0.175426542704865,3863,184,"ABI1, ABL1, ABR, ACTN4, AKAP13, ALMS1, ALS2, ANLN, APC, ARF6, ARFGEF1, ARFIP2, ARHGAP10, ARHGAP27, ARHGAP29, ARHGAP4, ARHGAP5, ARHGDIA, ARHGEF11, ARHGEF12, ARHGEF2, ARHGEF3, ARHGEF7, ARL8A, ATG4B, AURKA, BCAR1, BCL2L11, BCR, BIN1, BRCA2, CAPZB, CCDC88A, CCNB2, CD2AP, CDC27, CDC42, CDC42BPA, CDC42EP1, CDC42EP2, CDC42EP4, CDK5RAP2, CENPE, CENPF, CENPJ, CEP131, CEP192, CEP250, CEP57, CEP72, CKAP5, CLASP1, CLIP1, CLIP2, CNTRL, CNTROB"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.289056304520222,0.558324773613798,0.205253113313028,0.616956815033957,1457,37,"ADAM17, AXIN1, AXIN2, CCND2, CSNK1E, CTNNB1, CUL1, DLL1, DVL2, FRAT1, FZD1, FZD8, GNAI1, HDAC11, HDAC2, HDAC5, HEY1, HEY2, JAG1, JAG2, KAT2A, LEF1, MAML1, MYC, NCOR2, NCSTN, NKD1, NOTCH1, NUMB"
"6","HALLMARK_TGF_BETA_SIGNALING",0.0644527412065239,0.243198569260785,0.999143285500107,2.66126830657114,327,50,"RAB31, ACVR1"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.146484375,0.348772321428571,0.99814272448032,2.48521059296975,749,58,"PTPN11, ACVR1B"
"8","HALLMARK_DNA_REPAIR",0.574242745181106,0.667127187473834,-0.137440682071989,-0.240540122526649,2710,143,"ZWINT, ZNRD1, XPC, VPS37D, VPS37B, VPS28, USP11, UPF3B, UMPS, TYMS, TSG101, TP53, TMED2, TK2, TARBP2, TAF6, TAF1C, TAF13, TAF12, TAF10, SURF1, SUPT5H, SUPT4H1, STX3, SSRP1, SRSF6, SNAPC5, SNAPC4, SMAD5, SF3A3, SEC61A1, SDCBP, SAC3D1, RRM2B, RPA3, RPA2, RNMT, RFC5, RFC4, RFC3, RFC2, REV3L, RBX1, RALA, RAE1, RAD52, RAD51, PRIM1, POM121, POLR3C, POLR2K, POLR2J, POLR2I, POLR2H, POLR2G, POLR2F, POLR2E, POLR2D, POLR2C, POLR2A, POLR1D, POLR1C, POLL, POLH, POLE4, POLD4, POLD1, POLB, POLA2, POLA1, PNP"
"9","HALLMARK_G2M_CHECKPOINT",0.0217391304347826,0.182550084253885,0.999783877242274,1.45133256058572,115,176,"PTTG1, ABL1"
"10","HALLMARK_APOPTOSIS",0.0680955993930197,0.243198569260785,0.999353726841879,1.64386107533446,358,131,"BCL2L1, ADD1"
"11","HALLMARK_NOTCH_SIGNALING",0.833,0.833,-0.111125421452326,-0.392242599029865,4164,31,"WNT5A, WNT2, TCF7L2, ST3GAL6, SKP1, SAP30, RBX1, PSENEN, PSEN2, PRKCA, PPARD, NOTCH3, NOTCH2, NOTCH1, MAML2, LFNG, KAT2A, JAG1, HES1, FZD7, FZD5, FZD1, FBXW11, DTX4, DTX2, DTX1, DLL1, CUL1"
"12","HALLMARK_ADIPOGENESIS",0.00797477744807122,0.11854583772392,0.999927901946647,1.42972687512538,42,187,"ADIPOR2, ABCA1"
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.576133447390932,0.667127187473834,-0.672457619707742,-1.09918606334688,2693,168,"MAST4, SLC24A3"
"14","HALLMARK_ESTROGEN_RESPONSE_LATE",0.5625,0.667127187473834,0.924720492363694,1.39990055986194,2978,158,"RAB31, ABCA3"
"15","HALLMARK_ANDROGEN_RESPONSE",0.405410628019324,0.579158040027605,0.972376150357246,1.95718525732477,2097,86,"ARID5B, SCD, ABCC4"
"16","HALLMARK_MYOGENESIS",0.600414468726451,0.667127187473834,0.842906055105151,1.25864821100512,3186,163,"SCD, DTNA, GNAO1, ABLIM1"
"17","HALLMARK_PROTEIN_SECRETION",0.332819425708229,0.558324773613798,0.996992481203008,1.92703575960333,1726,92,"LAMP2, ABCA1"
"18","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.360106820049302,0.562666906327034,-0.16403122710782,-0.414625207756781,1752,74,"USP18, UBE2L6, TXNIP, TRIM5, TRIM26, TRIM25, TRIM21, TRIM14, TRAFD1, TMEM140, TENT5A, TDRD7, TAP1, STAT2, SP110, SLC25A28, SAMD9L, RTP4, RSAD2, RNF31, RIPK2, PSME2, PSME1, PSMB9, PSMB8, PSMA3, PNPT1, PLSCR1, PARP9, PARP14, PARP12, OGFR, NUB1, NMI, NCOA7, MX1, MVB12A, MOV10, LY6E, LPAR6, LGALS3BP, LAP3, ISG20, ISG15, IRF9, IRF7, IRF2, IRF1, IL4R, IFITM1, IFITM2, IFITM3, IFIT3, IFIT2, IFIH1, IFI35, HERC6, HELZ2"
"19","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.138988827873509,0.348772321428571,0.998778208998131,1.5858164968694,733,143,"ARID5B, ADAR"
"20","HALLMARK_APICAL_JUNCTION",0.373248645619279,0.565528250938301,0.997191011235955,1.46104959908944,1997,173,"JAM3, ACTA1"
"21","HALLMARK_APICAL_SURFACE",0.00457984866587017,0.11854583772392,0.999928693667998,3.14643182898218,22,33,"ADIPOR2, ADAM10"
"22","HALLMARK_HEDGEHOG_SIGNALING",0.126149540183926,0.348772321428571,0.997433338086411,3.1934079630901,630,31,"DPYSL2, ACHE"
"23","HALLMARK_COMPLEMENT",0.39469696969697,0.579158040027605,0.996980806555963,1.56412787401149,2083,146,"LAMP2, ACTN2"
"24","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.520162068300212,0.666874446538734,0.17212654197492,0.317220124128472,2695,101,"ALDH18A1, ARFGAP1, SPCS3, ASNS, ATF3, ATF4, ATF6, ATP6V0D1, BAG3, CALR, CEBPB, CEBPG, CHAC1, CKS1B, CNOT4, CNOT6, CXXC1, DCP1A, DCP2, DCTN1, DDIT4, DDX10, DKC1, DNAJA4, DNAJB9, DNAJC3, EDC4, EDEM1, EEF2, EIF2AK3, EIF2S1, EIF4A1, EIF4A2, EIF4A3, EIF4E, EIF4EBP1, EIF4G1, ERN1, ERO1A, EXOC2, EXOSC1, EXOSC10, EXOSC2, EXOSC4, EXOSC5, EXOSC9"
"25","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.189053767585277,0.429667653602901,0.998138202649481,1.92925026597076,980,92,"PTPN11, ACACA"
"26","HALLMARK_MTORC1_SIGNALING",0.534944237918216,0.667127187473834,0.990587346343285,1.41759882238284,2877,185,"ADIPOR2, P4HA1, SCD, ABCF2"
"27","HALLMARK_E2F_TARGETS",0.0219060101104662,0.182550084253885,0.999783939503061,1.46473416078893,116,172,"PTTG1, AK2"
"28","HALLMARK_MYC_TARGETS_V1",0.0288065843621399,0.205761316872428,0.999711794797896,1.44521257412346,153,178,"HSP90AB1, ABCE1"
