"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","A tetrasaccharide linker sequence is required for GAG synthesis",0.64076729316024,0.869644099742649,0.289214631178037,0.883954547079821,3306,25,"HSPG2, NCAN, GPC4, CSPG5, DCN, SDC4, B3GALT6, B4GALT7, AGRN, XYLT2, B3GAT3"
"2","ABC transporter disorders",0.701103936679858,0.888296356892743,-0.230987341833276,-0.882211753921887,3365,70,"PSMA1, VCP, PSMB2, PSMD12, PSMA3, PSME1, CFTR, DERL2, PSMD7, PSMC2, DERL1, OS9, ERLIN1, PSMB7, PSMB10, ABCC6, PSMB9, PSMA7, PSME4, ABCD1, UBB, RNF5, PSMD9, PSME3, PSMD14"
"3","ABC transporters in lipid homeostasis",0.443543482667748,0.827150372238377,-0.373073986065218,-1.00759761329057,2187,15,"ABCA7, ABCG1, ABCA9, PEX3, ABCD1, PEX19"
"4","ABC-family proteins mediated transport",0.415682967959528,0.812170222293466,-0.254739050179554,-1.0177306698084,1971,93,"PSMA1, VCP, PSMB2, PSMD12, PSMA3, PSME1, ABCA7, ABCG1, CFTR, ABCA9, ABCA4, DERL2, PSMD7, PSMC2, DERL1, OS9, ERLIN1, PSMB7, PSMB10, ABCF1, ABCC6, PSMB9, PEX3, PSMA7, PSME4, ABCD1, PEX19, UBB, RNF5, PSMD9, PSME3, ABCC5, PSMD14"
"5","ADP signalling through P2Y purinoceptor 1",0.00961727183513248,0.484211439075995,0.603674978769458,1.72158266531395,48,19,"PLA2G4A, GNB4, P2RY1, GNA11, GNG3, GNG12, GNG7"
"6","ADP signalling through P2Y purinoceptor 12",0.109859711519463,0.683732704370546,0.493028934928148,1.35933274998982,555,17,"GNB4, P2RY12, GNG3, GNG12, GNG7"
"7","APC-Cdc20 mediated degradation of Nek2A",0.745873242306909,0.901773759067635,-0.281959512687785,-0.810042909961377,3659,19,"CDC26, ANAPC16, ANAPC5"
"8","APC/C-mediated degradation of cell cycle proteins",0.890769230769231,0.950000098842944,0.206335665807237,0.77740020559627,4631,71,"PTTG1, PSMD8, PSMC4, UBC, UBE2E1, ANAPC10, PSMD1, PSMC1, PSMB3, PSMC6, PSMB1, PSMA5, RPS27A, CDC23, SKP1, ANAPC15"
"9","APC/C:Cdc20 mediated degradation of Cyclin B",0.723132969034608,0.89142295626291,-0.292805202189341,-0.819897358316937,3572,17,"CDC26, ANAPC16, ANAPC5"
"10","APC/C:Cdc20 mediated degradation of Securin",0.775835574337303,0.911842038377333,0.229568070084606,0.840044294316139,4038,61,"PTTG1, PSMD8, PSMC4, UBC, UBE2E1, ANAPC10, PSMD1, PSMC1, PSMB3, PSMC6, PSMB1, PSMA5, RPS27A, CDC23"
