"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","A tetrasaccharide linker sequence is required for GAG synthesis",0.109094419772157,0.589601339427123,0.526468587896745,1.34167845190754,564,24,"GPC5, B3GAT1, DCN, CSPG5, SDC3, GPC3, SDC2, B3GALT6, NCAN, B4GALT7"
"2","ABC transporter disorders",0.132283165686088,0.612289526864729,0.386872435415376,1.22300489165105,696,75,"PSMA1, PSMD13, PSMD1, PSMD14, PSMC4, PSMA3, ABCC8, VCP, PSME4, PSMD6, PSME1, PSMB2, PSMB6, PSMD9, DERL2, PSMD7, PSME3, PSMD5, PSMA6, PSMD12, PSMD2, PSMD11, PSMB5"
"3","ABC transporters in lipid homeostasis",0.498032718989439,0.879201281045471,-0.407581405926661,-0.970914595877037,2404,17,"ABCA5, PEX3, ABCD2, ABCA3"
"4","ABC-family proteins mediated transport",0.300188679245283,0.741002090800478,0.325364297850528,1.07571846877548,1590,99,"PSMA1, PSMD13, PSMD1, PSMD14, PSMC4, PSMA3, VCP, PSME4, PSMD6, PSME1, PSMB2, PSMB6, PSMD9, DERL2, ABCB1, PSMD7, EIF2S1, ABCC1, PSME3, PSMD5, PSMA6, PSMD12, ABCA2, ABCG1, PSMD2, PSMD11, ABCA6, PSMB5, EIF2S2, PSMB3, ABCA7, ABCG4"
"5","ADP signalling through P2Y purinoceptor 1",0.55451518934665,0.91824113604021,-0.379729079480363,-0.935175504141535,2664,20,"GNG7, GNG11, GNB1, GNG2"
"6","ADP signalling through P2Y purinoceptor 12",0.101231475683573,0.587582695815524,-0.555593622795962,-1.35047636523376,484,19,"GNG7, GNAI1, P2RY12, GNG11, GNB1, GNG2, GNAI3"
"7","APC-Cdc20 mediated degradation of Nek2A",0.5196017423771,0.899605534530746,-0.377478231002716,-0.958449590416245,2504,23,"UBB, UBE2D1, BUB3, CDC16, UBC, ANAPC5, ANAPC16, ANAPC7, ANAPC2"
"8","APC/C-mediated degradation of cell cycle proteins",0.155400302114804,0.637664090295669,0.371660586717509,1.19230240748837,822,81,"PSMA1, PSMD13, PSMD1, UBE2E1, PSMD14, PSMC4, PSMA3, PSME4, PSMD6, SKP2, PSME1, ANAPC1, PSMB2, PSMB6, ANAPC15, PSMD9, PSMD7, CDC23, PSME3, PSMD5, PSMA6, ANAPC4, PSMD12"
"9","APC/C:Cdc20 mediated degradation of Cyclin B",0.6875,0.971981048521185,-0.341043327177134,-0.849904769030755,3332,21,"UBB, UBE2D1, CDC16, UBC, ANAPC5, ANAPC16, ANAPC7, ANAPC2"
"10","APC/C:Cdc20 mediated degradation of Securin",0.127611090011394,0.60306287766004,0.401485020842286,1.23417108114038,671,64,"PSMA1, PSMD13, PSMD1, UBE2E1, PSMD14, PSMC4, PSMA3, PSME4, PSMD6, PSME1, ANAPC1, PSMB2, PSMB6, ANAPC15, PSMD9, PSMD7, CDC23, PSME3, PSMD5, PSMA6, ANAPC4, PSMD12, PSMD2, PSMD11, PSMB5"
"11","APC/C:Cdc20 mediated degradation of mitotic proteins",0.153421002477606,0.637664090295669,0.386455197821435,1.20466993493059,804,70,"PSMA1, PSMD13, PSMD1, UBE2E1, PSMD14, PSMC4, PSMA3, PSME4, PSMD6, PSME1, ANAPC1, PSMB2, PSMB6, ANAPC15, PSMD9, PSMD7, CDC23, PSME3, PSMD5, PSMA6, ANAPC4, PSMD12, PSMD2, PSMD11, PSMB5"
"12","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0.0988948170731707,0.587582695815524,0.406014560164954,1.26301538450369,518,69,"PSMA1, PSMD13, PSMD1, UBE2E1, PSMD14, PSMC4, PSMA3, PSME4, PSMD6, SKP2, PSME1, ANAPC1, PSMB2, PSMB6, ANAPC15, PSMD9, PSMD7, CDC23, PSME3, PSMD5, PSMA6, ANAPC4, PSMD12, PSMD2, PSMD11, PSMB5"
"13","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0.0631058734080973,0.529587265882327,0.427315692340092,1.32656683094645,331,68,"PSMA1, PSMD13, PSMD1, UBE2E1, PSMD14, PSMC4, PSMA3, PSME4, PSMD6, PSME1, ANAPC1, PSMB2, PSMB6, ANAPC15, PSMD9, PSMD7, CDC23, PSME3, PSMD5, PSMA6, ANAPC4, PSMD12, PSMD2, PSMD11, PSMB5"
