"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","A tetrasaccharide linker sequence is required for GAG synthesis",0.864214046822742,0.951434282318621,-0.249897245537272,-0.73315863628656,3875,24,"CSPG5, AGRN, B3GAT2, SDC4, GPC5, GPC3"
"2","ABC transporter disorders",0.495051194539249,0.859868635028087,0.280880006952569,0.975533134019729,2900,68,"ABCA1, VCP, ABCB4, RNF185, DERL2, PSMD5, PSMD14, SEL1L, PSMB9, PSMC2, RNF5, PSME2, PSMC4, PSMB5"
"3","ABC-family proteins mediated transport",0.576492225380371,0.888758847461406,0.259711454712449,0.943505223600198,3447,91,"ABCD2, VCP, ABCB1, ABCB4, RNF185, DERL2, PSMD5, PSMD14, EIF2S2, ABCC10, SEL1L, PSMB9, PEX3, PSMC2, ABCB10, RNF5, PSME2, PSMC4, PSMB5, ABCA9"
"4","ADP signalling through P2Y purinoceptor 1",0.767411010391333,0.934134044780253,-0.280470904736818,-0.805533668573182,3470,22,"PLA2G4A, GNG3, GNG13, GNB1, GNGT2"
"5","ADP signalling through P2Y purinoceptor 12",0.721952296819788,0.924262299644705,-0.298283275311741,-0.823927210887236,3268,19,"P2RY12, GNG3, GNG13, GNB1, GNGT2"
"6","APC-Cdc20 mediated degradation of Nek2A",0.756746900072939,0.930473372781065,0.294581341832838,0.803775904439765,4149,21,"ANAPC15, ANAPC10, BUB3, UBE2E1"
"7","APC/C-mediated degradation of cell cycle proteins",0.581721470019342,0.891353793207378,-0.252478773057799,-0.939745304954328,2405,77,"PSMC6, ANAPC16, UBB, PSMB4, CDC27, PSMB2, PSMD13, PSMD6, PSMB3, PSME1, PSMD4, CDC16, PSMD9, PSMD2, UBC, PSMD11, PSME3, PSMA3, CDC26, PSMD7, PSMD10, PSMA5, CDC23, PSMA1"
"8","APC/C:Cdc20 mediated degradation of Cyclin B",0.634572819831784,0.909291066868227,-0.310954607449752,-0.883752819389938,2866,21,"ANAPC16, UBB, CDC27, CDC16, UBC, CDC26, CDC23"
"9","APC/C:Cdc20 mediated degradation of Securin",0.132616487455197,0.676132500961475,-0.341087352743398,-1.22193954424672,554,62,"PSMC6, ANAPC16, UBB, PSMB4, CDC27, PSMB2, PSMD13, PSMD6, PSMB3, PSME1, PSMD4, CDC16, PSMD9, PSMD2, UBC, PSMD11, PSME3, PSMA3, CDC26, PSMD7, PSMD10, PSMA5, CDC23, PSMA1"
"10","APC/C:Cdc20 mediated degradation of mitotic proteins",0.193370165745856,0.70367773770795,-0.318015723873293,-1.15340341689757,804,67,"PSMC6, ANAPC16, UBB, PSMB4, CDC27, PSMB2, PSMD13, PSMD6, PSMB3, PSME1, PSMD4, CDC16, PSMD9, PSMD2, UBC, PSMD11, PSME3, PSMA3, CDC26, PSMD7, PSMD10, PSMA5, CDC23, PSMA1"
"11","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0.15718418514947,0.682933081860048,-0.32956484824868,-1.19179069721618,651,66,"PSMC6, ANAPC16, UBB, PSMB4, CDC27, PSMB2, PSMD13, PSMD6, PSMB3, PSME1, PSMD4, CDC16, PSMD9, PSMD2, UBC, PSMD11, PSME3, PSMA3, CDC26, PSMD7, PSMD10, PSMA5, CDC23, PSMA1"
"12","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0.175030012004802,0.700735036751838,-0.325878624448339,-1.17644188258563,728,65,"PSMC6, ANAPC16, UBB, PSMB4, CDC27, PSMB2, PSMD13, PSMD6, PSMB3, PSME1, PSMD4, CDC16, PSMD9, PSMD2, UBC, PSMD11, PSME3, PSMA3, CDC26, PSMD7, PSMD10, PSMA5, CDC23, PSMA1"
"13","ATF4 activates genes in response to endoplasmic reticulum  stress",0.207540329889433,0.719293649130161,0.428454143152064,1.20532263792175,1144,24,"NFYB, ATF4, CEBPB, DDIT3, HERPUD1, ATF6, ASNS, NFYC, EXOSC8, EXOSC4, ATF3, EXOSC1, DIS3"
"14","AUF1 (hnRNP D0) binds and destabilizes mRNA",0.0865361942937986,0.621127645443286,-0.378762053543911,-1.3019771050441,366,51,"PSMC6, UBB, PSMB4, PSMB2, PSMD13, HSPA8, PSMD6, PSMB3, PSME1, PSMD4, PSMD9, PSMD2, UBC, PSMD11, PSME3, PSMA3, PSMD7, PSMD10, PSMA5, PSMA1"
"15","AURKA Activation by TPX2",0.241670690487687,0.746155350671524,-0.30708590782346,-1.11677297117506,1000,68,"YWHAG, PRKACA, DYNLL1, CEP164, DCTN3, CEP250, TUBB4B, HAUS1, MAPRE1, SSNA1, SFI1, PCNT, TUBB, PLK4, CLASP1, FGFR1OP, CEP131, TUBA4A, CNTRL, PCM1"
"16","Abortive elongation of HIV-1 transcript in the absence of Tat",0.58281665190434,0.891353793207378,-0.314519710980019,-0.911530018314556,2631,23,"GTF2F1, SUPT4H1, POLR2J, POLR2H, POLR2C, NELFCD, NELFB, POLR2I"
"17","Activated NOTCH1 Transmits Signal to the Nucleus",0.778511511690166,0.937206350626001,0.271456721736849,0.803128202428579,4361,30,"NCSTN, ADAM17, DTX2, ADAM10, CNTN1, ITCH, NEURL1B, PSEN1, RPS27A, NEURL1, APH1A"
"18","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",0.198454852728151,0.708901392001232,-0.316425020710191,-1.15073632989958,821,68,"PSMC6, ANAPC16, UBB, PSMB4, CDC27, PSMB2, PSMD13, PSMD6, PSMB3, PSME1, PSMD4, CDC16, PSMD9, PSMD2, UBC, PSMD11, PSME3, PSMA3, CDC26, PSMD7, PSMD10, PSMA5, CDC23, PSMA1"
