"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","ABC transporter disorders",0.000197667523225934,0.000563289850527545,-0.478562405655232,-3.46418187127415,0,37,"UBC, UBB, SEL1L, RNF5, RNF185, PSMF1, PSME4, PSME1, PSMD9, PSMD8, PSMD7, PSMD4, PSMD2, PSMD14, PSMD12, PSMD11, PSMD1, PSMC6, PSMC5, PSMC4, PSMC3, PSMC1, PSMB8, PSMB7, PSMB4, PSMB2, PSMA7, PSMA6, PSMA3, PSMA1"
"2","ABC-family proteins mediated transport",0.000203252032520325,0.000563289850527545,0.344573018117602,3.13256562134715,0,59,"ABCA2, ABCA3, ABCA5, ABCA8, ABCA9, ABCB10, ABCB1, ABCB4, ABCB7, ABCB8, ABCB9, ABCC1, ABCC10, ABCC2, ABCC3, ABCC4, ABCC5, ABCD2, ABCD3, ABCF1, ABCG1"
"3","APC-Cdc20 mediated degradation of Nek2A",0.000198176773682124,0.000563289850527545,0.604063879511815,2.91514297225605,0,16,"ANAPC1, ANAPC10, ANAPC15, ANAPC16, ANAPC2, ANAPC4, ANAPC5, ANAPC7, BUB3, CDC16, CDC23, CDC27"
"4","APC/C-mediated degradation of cell cycle proteins",0.000196850393700787,0.000563289850527545,-0.341405222831754,-2.73454994663783,0,46,"UBE2E1, UBE2D1, UBC, UBB, SKP1, PTTG1, PSMF1, PSME4, PSME1, PSMD9, PSMD8, PSMD7, PSMD4, PSMD2, PSMD14, PSMD12, PSMD11, PSMD1, PSMC6, PSMC5, PSMC4, PSMC3, PSMC1, PSMB8, PSMB7, PSMB4, PSMB2, PSMA7, PSMA6, PSMA3, PSMA1"
"5","APC/C:Cdc20 mediated degradation of Cyclin B",0.000199640646835696,0.000563289850527545,0.587286338655935,2.74261619782109,0,15,"ANAPC1, ANAPC10, ANAPC15, ANAPC16, ANAPC2, ANAPC4, ANAPC5, ANAPC7, CDC16, CDC23, CDC27"
"6","APC/C:Cdc20 mediated degradation of Securin",0.000195733020160501,0.000563289850527545,-0.399285798250714,-3.03748673980648,0,41,"UBE2E1, UBE2D1, UBC, UBB, PTTG1, PSMF1, PSME4, PSME1, PSMD9, PSMD8, PSMD7, PSMD4, PSMD2, PSMD14, PSMD12, PSMD11, PSMD1, PSMC6, PSMC5, PSMC4, PSMC3, PSMC1, PSMB8, PSMB7, PSMB4, PSMB2, PSMA7, PSMA6, PSMA3, PSMA1"
"7","APC/C:Cdc20 mediated degradation of mitotic proteins",0.000196309383588536,0.000563289850527545,-0.381820888855803,-2.93007630421941,0,42,"UBE2E1, UBE2D1, UBC, UBB, PTTG1, PSMF1, PSME4, PSME1, PSMD9, PSMD8, PSMD7, PSMD4, PSMD2, PSMD14, PSMD12, PSMD11, PSMD1, PSMC6, PSMC5, PSMC4, PSMC3, PSMC1, PSMB8, PSMB7, PSMB4, PSMB2, PSMA7, PSMA6, PSMA3, PSMA1"
"8","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0.000195733020160501,0.000563289850527545,-0.399285798250714,-3.03748673980648,0,41,"UBE2E1, UBE2D1, UBC, UBB, PTTG1, PSMF1, PSME4, PSME1, PSMD9, PSMD8, PSMD7, PSMD4, PSMD2, PSMD14, PSMD12, PSMD11, PSMD1, PSMC6, PSMC5, PSMC4, PSMC3, PSMC1, PSMB8, PSMB7, PSMB4, PSMB2, PSMA7, PSMA6, PSMA3, PSMA1"
"9","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0.000195733020160501,0.000563289850527545,-0.374765295132436,-2.85095192338813,0,41,"UBE2E1, UBE2D1, UBC, UBB, PSMF1, PSME4, PSME1, PSMD9, PSMD8, PSMD7, PSMD4, PSMD2, PSMD14, PSMD12, PSMD11, PSMD1, PSMC6, PSMC5, PSMC4, PSMC3, PSMC1, PSMB8, PSMB7, PSMB4, PSMB2, PSMA7, PSMA6, PSMA3, PSMA1"
"10","ATF4 activates genes in response to endoplasmic reticulum  stress",0.00138586418530984,0.00309877596597303,0.436897546897547,2.23463969247736,6,18,"ATF6, CEBPB, CEBPG, DCP2, DDIT3, DIS3, EXOSC1, EXOSC2, EXOSC3, EXOSC4, EXOSC5, EXOSC7, EXOSC8"
"11","AUF1 (hnRNP D0) binds and destabilizes mRNA",0.000197745699031046,0.000563289850527545,-0.567663891779396,-3.6998074234285,0,30,"UBC, UBB, PSMF1, PSME4, PSME1, PSMD9, PSMD8, PSMD7, PSMD4, PSMD2, PSMD14, PSMD12, PSMD11, PSMD1, PSMC6, PSMC5, PSMC4, PSMC3, PSMC1, PSMB8, PSMB7, PSMB4, PSMB2, PSMA7, PSMA6, PSMA3, PSMA1"
