"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.355692530819434,0.816468709112844,0.220512374044985,1.05226211635853,1961,106,"TNC, FJX1, IL18, RHOB, RIPK2, JUN, BHLHE40, CSF1, IL15RA, PDE4B, PTPRE, ICOSLG, NFKB1, PMEPA1, SOD2, IL6ST, CEBPB, NFE2L2, ATP2B1, ID2, GPR183, PLEK, CD83, PLAUR, BIRC3, DENND5A, TNIP2, BTG2, GEM, BCL6, BTG3, IRF1, TRIB1, KLF4, MARCKS, IFNGR2"
"2","HALLMARK_HYPOXIA",0.0856675154601673,0.773003786963178,0.265555237265724,1.27172512711665,470,109,"WSB1, PAM, P4HA1, KDM3A, TPI1, ENO1, ALDOA, PPARGC1A, PGK1, JUN, BHLHE40, AMPD3, GCNT2, CHST2, TPD52, RBPJ, PRDX5, TPST2, HMOX1, PPFIA4"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.210955961331901,0.773003786963178,-0.283999675621966,-1.17111449783609,981,46,"STX5, FADS2, CYP51A1, SCD, CTNNB1, HMGCR, ABCA2, CBS, TMEM97, FDFT1, ATF5, ALDOC, LDLR, HMGCS1, LGMN, CD9"
"4","HALLMARK_MITOTIC_SPINDLE",0.705575539568345,0.855977425109184,0.179603704990046,0.896357483083459,3922,139,"RAB3GAP1, RABGAP1, PALLD, ARHGEF7, LATS1, NUMA1, RALBP1, EPB41L2, CLASP1, ARHGEF3, SORBS2, TSC1, ARHGEF2, SUN2, KIFAP3, TBCD, CLIP1, LRPPRC, RASAL2, TIAM1, CCDC88A, CAPZB, SSH2, SOS1, CEP250, ABL1, ARHGAP27, ARHGAP29, PCM1, RASA1, PCGF5, SASS6, WASF1, SPTAN1, MAP1S, ARHGAP5, PCNT, FGD6, MARCKS, NIN, ARFGEF1, MID1IP1, MARK4, PAFAH1B1, APC, RHOF, KPTN, MYO9B, ANLN"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.355673022465547,0.816468709112844,0.310306303304881,1.07490825636209,1883,25,"AXIN1, HDAC2, NOTCH1, RBPJ, LEF1"
"6","HALLMARK_TGF_BETA_SIGNALING",0.701117318435754,0.855977425109184,0.214783984099172,0.856695369561111,3764,44,"SMAD1, ID3, SMAD7, PMEPA1, MAP3K7, TJP1, HIPK2, ID2, RHOA, PPP1CA, UBE2D3, SKIL, TGFBR1, IFNGR2, WWTR1, BCAR3, PPM1A, APC, CDKN1C, KLF10"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.634450651769088,0.855977425109184,0.223798250152184,0.892650005657447,3406,44,"JUN, CSF1, IFNGR1, IL15RA, PTPN11, HMOX1, IL6ST, CD38, ITGB3, CSF2RA, STAT2, IRF1, IFNGR2, PDGFC, CBL, SOCS1, EBI3, GRB2, A2M, HAX1, CRLF2"
"8","HALLMARK_DNA_REPAIR",0.983724801183651,0.983724801183651,0.142612679264107,0.66615917599149,5318,95,"SDCBP, DDB1, UPF3B, POLR2E, PDE4B, RBX1, POLR1D, ARL6IP1, ZWINT, DCTN4, POLR2F, NUDT9, POLL, POLR2G, SUPT4H1, POLR2A"
"9","HALLMARK_G2M_CHECKPOINT",0.33378287255563,0.816468709112844,-0.215777315968367,-1.0582048886353,1484,111,"RAD23B, TNPO2, TMPO, LBR, PRPF4B, CTCF, SMAD3, MEIS2, DTYMK, BUB3, SLC38A1, E2F3, CDC27, KPNB1, E2F4, PTTG1, PDS5B, KATNA1, ESPL1, RPS6KA5, MAP3K20, SUV39H1, LIG3, ATF5, HNRNPU, PURA"
"10","HALLMARK_APOPTOSIS",0.412756598240469,0.816468709112844,0.222106679225675,1.01815908374906,2251,85,"ANKH, IL18, RHOB, APP, JUN, DAP3, SMAD7, CASP7, IFNGR1, HMOX1, TIMP2, ETF1, SOD2, PPP2R5B, LEF1, CD38, MGMT, BCL2L1, IGFBP6, BIRC3, SPTAN1, BTG2, TXNIP, BTG3, IRF1, MADD, CDC25B, BNIP3L, MCL1"
"11","HALLMARK_NOTCH_SIGNALING",0.0527699530516432,0.773003786963178,0.440539380596874,1.47492552663416,280,22,"FBXW11, NOTCH1, RBX1, DTX1, SKP1, MAML2, DTX4, PRKCA, PSEN2, CCND1, ARRB1, APH1A, CUL1, DTX2, JAG1"
