"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.553349378259126,0.947473006194882,-0.191918561391805,-0.95310300210571,2758,76,"KLF9, PHLDA1, PTPRE, FJX1, IRS2, IL12B, CEBPB, F3, DDX58, CSF1, BTG1, SPSB1, PLK2, HES1, GADD45B, BHLHE40, TSC22D1, PFKFB3, BCL6, SQSTM1"
"2","HALLMARK_HYPOXIA",0.816265659176775,0.947473006194882,-0.158384626574546,-0.820639997850594,4104,93,"GBE1, FOXO3, MXI1, CHST2, ALDOA, NEDD4L, IRS2, RBPJ, F3, PHKG1, CAV1, XPNPEP1, EGFR, ILVBL, WSB1, BTG1, TPBG, BHLHE40, ZNF292, PFKFB3"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0537173202614379,0.658037173202614,0.350008858215596,1.45523830865595,262,36,"FDFT1, SCD, HMGCR, CLU, CXCL16, LSS, LDLR, CTNNB1"
"4","HALLMARK_MITOTIC_SPINDLE",0.648621453008654,0.947473006194882,0.166280974431739,0.911349052437249,3222,128,"MID1, ARHGEF3, RABGAP1, CDC42EP1, LATS1, LRPPRC, ATG4B, ARFGEF1, EPB41L2, SMC1A, CDC42, KIF3B, RALBP1, CCNB2, CEP250, DYNLL2, FLNB"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.59996005592171,0.947473006194882,0.256662287231061,0.893438533109417,3003,19,"LEF1, SKP2, CTNNB1, GNAI1, NCOR2, HDAC5"
"6","HALLMARK_TGF_BETA_SIGNALING",0.773919905306767,0.947473006194882,-0.192664991876647,-0.793220294287462,3922,34,"ID3, ACVR1, BCAR3, SPTBN1, TJP1, FURIN, SKI, SMURF2, HDAC1, BMPR1A, SLC20A1, HIPK2"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.132532532532533,0.947473006194882,-0.381815342029783,-1.33172550464933,661,19,"CD38, PTPN1, STAM2, CD9, CSF1, CSF2RA, OSMR"
"8","HALLMARK_DNA_REPAIR",0.335393818544367,0.947473006194882,0.218269812732914,1.06842141358086,1681,70,"GTF2F1, GUK1, SURF1, USP11, VPS37D, DGUOK, GSDME, POLB, AGO4, GMPR2, POLR1C, RAD52, DAD1, GTF2H5, PRIM1, RFC2"
"9","HALLMARK_G2M_CHECKPOINT",0.757196744093707,0.947473006194882,-0.165388578562727,-0.853780936656541,3813,91,"SYNCRIP, ILF3, ODF2, PURA, HNRNPD, CTCF, SMARCC1, NASP, ORC6, G3BP1, RPS6KA5, SLC7A5, RAD23B, MEIS2, PDS5B, SMC2, RAD21, CASP8AP2, SMC4, CHMP1A, RBL1, POLE, NUSAP1, MCM5, EWSR1, LBR, CUL1, NUMA1"
"10","HALLMARK_APOPTOSIS",0.581899169872444,0.947473006194882,0.195653576320009,0.930561590684574,2873,62,"LEF1, SATB1, IGF2R, CLU, DFFA, HGF, SOD2, CTNNB1, PEA15, BNIP3L"
"11","HALLMARK_NOTCH_SIGNALING",0.908800638595091,0.947473006194882,-0.187840057749039,-0.64452947118394,4553,18,"ARRB1, TCF7L2, HES1, LFNG, CUL1, ST3GAL6"
"12","HALLMARK_ADIPOGENESIS",0.426311573888666,0.947473006194882,0.189539888371411,1.01025084644533,2128,108,"RTN3, UQCRQ, DLAT, PLIN2, COX8A, RAB34, ACADL, CCNG2, RNF11, DBT, RIOK3, AGPAT3, LAMA4, MIGA2, AK2, DGAT1, GPAT4, IDH3G, JAGN1, MCCC1, ME1"
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.292388240032219,0.947473006194882,0.213994187905019,1.09261770631576,1451,86,"KAZN, FDFT1, MED13L, MPPED2, AFF1, LRIG1, PLAAT3, ISG20L2, NADSYN1, B4GALT1, FAM102A, FLNB, PEX11A, RASGRP1, RBBP8, TIAM1, AR, DYNLT3, OLFML3, TMEM164, IL6ST, SNX24, NRIP1, SEC14L2, NCOR2, GAB2, BAG1, JAK2, PAPSS2, SLC22A5, SLC9A3R1, TUBB2B"
"14","HALLMARK_ESTROGEN_RESPONSE_LATE",0.0401364639775236,0.658037173202614,-0.287453569786221,-1.41491518502196,199,73,"DNAJC1, OLFM1, UGDH, CA2, ADD3, FGFR3, CKB, SNX10, ABHD2, ELOVL5, CAV1, CPE, TOB1, CD9, SLC7A5, TPD52L1, TPBG, SOX3, SLC2A8, ASS1, HPRT1, CXCL14, SLC24A3, HSPA4L"
"15","HALLMARK_ANDROGEN_RESPONSE",0.765944523182831,0.947473006194882,0.175126645131371,0.832932024703477,3782,62,"PIAS1, HOMER2, PLPP1, SCD, HMGCR, ITGAV, B4GALT1, IQGAP2, PA2G4, LIFR, MERTK, INPP4B, SAT1, B2M, CCND3, DHCR24, GNAI3"
