"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Kcnip4",0,2.43252261591612,0.95,0.236,0,"Excitatory Neurons","Kcnip4"
"Slit3",0,2.2859917564841,0.9,0.072,0,"Excitatory Neurons","Slit3"
"Grin2a",0,2.08491136745975,0.964,0.175,0,"Excitatory Neurons","Grin2a"
"Celf2",0,2.05459073699098,0.994,0.475,0,"Excitatory Neurons","Celf2"
"Tafa1",0,2.00067992875254,0.748,0.092,0,"Excitatory Neurons","Tafa1"
"Hs6st3",0,1.93086197647877,0.688,0.116,0,"Excitatory Neurons","Hs6st3"
"Kalrn",0,1.90065117256557,0.974,0.24,0,"Excitatory Neurons","Kalrn"
"B230303A05Rik",0,1.87393175739475,0.828,0.086,0,"Excitatory Neurons","B230303A05Rik"
"Dab1",0,1.8729401849217,0.957,0.255,0,"Excitatory Neurons","Dab1"
"Lingo2",0,1.82949091846567,0.83,0.174,0,"Excitatory Neurons","Lingo2"
"Galnt17",0,1.82001249846753,0.837,0.113,0,"Excitatory Neurons","Galnt17"
"Ryr2",0,1.79357045123132,0.922,0.154,0,"Excitatory Neurons","Ryr2"
"Lrrc7",0,1.77376587673077,0.968,0.214,0,"Excitatory Neurons","Lrrc7"
"Hs3st4",0,1.7699806027637,0.519,0.037,0,"Excitatory Neurons","Hs3st4"
"Cacna1e",0,1.76185564620717,0.875,0.092,0,"Excitatory Neurons","Cacna1e"
"Epha6",0,1.74349047468063,0.894,0.195,0,"Excitatory Neurons","Epha6"
"Erc2",0,1.73230488329582,0.952,0.226,0,"Excitatory Neurons","Erc2"
"Ryr3",0,1.68334649919176,0.748,0.07,0,"Excitatory Neurons","Ryr3"
"Camk2a",0,1.63920229470345,0.909,0.159,0,"Excitatory Neurons","Camk2a"
"Kcnd2",0,1.63765596771256,0.974,0.263,0,"Excitatory Neurons","Kcnd2"
"Arpp21",0,1.63711784973809,0.868,0.12,0,"Excitatory Neurons","Arpp21"
"Nrg1",0,1.63479732728812,0.673,0.119,0,"Excitatory Neurons","Nrg1"
"Gabrb3",0,1.59751428248059,0.938,0.204,0,"Excitatory Neurons","Gabrb3"
"5730522E02Rik",0,1.58306997725481,0.812,0.104,0,"Excitatory Neurons","5730522E02Rik"
"Nrg3",0,1.57285821214078,0.989,0.307,0,"Excitatory Neurons","Nrg3"
"Lrfn5",0,1.5655782172585,0.933,0.196,0,"Excitatory Neurons","Lrfn5"
"Tenm2",0,1.56457178678593,0.977,0.321,0,"Excitatory Neurons","Tenm2"
"Cacnb2",0,1.52782109459647,0.868,0.207,0,"Excitatory Neurons","Cacnb2"
"Csmd1",0,1.52277144900114,0.989,0.312,0,"Excitatory Neurons","Csmd1"
"Fam155a",0,1.52066150688772,0.972,0.252,0,"Excitatory Neurons","Fam155a"
"Gm26871",0,1.51988208231275,0.783,0.098,0,"Excitatory Neurons","Gm26871"
"Ppfia2",0,1.51030624683784,0.917,0.25,0,"Excitatory Neurons","Ppfia2"
"Egfem1",0,1.50653212617259,0.772,0.157,0,"Excitatory Neurons","Egfem1"
"Rbfox1",0,1.48636861131521,0.981,0.304,0,"Excitatory Neurons","Rbfox1"
"Cnksr2",0,1.46101481487305,0.858,0.153,0,"Excitatory Neurons","Cnksr2"
"Grin2b",0,1.44464915529217,0.968,0.275,0,"Excitatory Neurons","Grin2b"
"Sphkap",0,1.44282691911339,0.718,0.086,0,"Excitatory Neurons","Sphkap"
"Clstn2",0,1.43986726149087,0.842,0.129,0,"Excitatory Neurons","Clstn2"
"Gm20754",0,1.43417028752071,0.744,0.122,0,"Excitatory Neurons","Gm20754"
"Lrrtm4",0,1.42372669347943,0.796,0.265,0,"Excitatory Neurons","Lrrtm4"
"Dlgap2",0,1.38844922314343,0.943,0.175,0,"Excitatory Neurons","Dlgap2"
"Ak5",0,1.3878622841778,0.733,0.092,0,"Excitatory Neurons","Ak5"
"Ano3",0,1.38587528683913,0.672,0.062,0,"Excitatory Neurons","Ano3"
"Dpp10",0,1.38340768132322,0.351,0.202,0,"Excitatory Neurons","Dpp10"
"Fgf14",0,1.38143028200341,0.981,0.305,0,"Excitatory Neurons","Fgf14"
"Syt1",0,1.36551393570966,0.986,0.331,0,"Excitatory Neurons","Syt1"
"Nell2",0,1.36401052632374,0.845,0.136,0,"Excitatory Neurons","Nell2"
"Kcnj6",0,1.35451001324717,0.743,0.09,0,"Excitatory Neurons","Kcnj6"
"Brinp1",0,1.35271657632603,0.853,0.169,0,"Excitatory Neurons","Brinp1"
"Opcml",0,1.33633576430359,0.976,0.374,0,"Excitatory Neurons","Opcml"
"Stxbp5l",0,1.332366243043,0.845,0.172,0,"Excitatory Neurons","Stxbp5l"
"Cntnap5a",0,1.3260597294043,0.601,0.109,0,"Excitatory Neurons","Cntnap5a"
"Grm1",0,1.31225035847006,0.705,0.093,0,"Excitatory Neurons","Grm1"
"Dok6",0,1.30920479883324,0.819,0.168,0,"Excitatory Neurons","Dok6"
"Gm43670",0,1.30757760054006,0.618,0.031,0,"Excitatory Neurons","Gm43670"
"Gria1",0,1.30550819909102,0.916,0.273,0,"Excitatory Neurons","Gria1"
"Rbfox3",0,1.30403005650879,0.79,0.109,0,"Excitatory Neurons","Rbfox3"
"Dlgap1",0,1.29622409980662,0.984,0.363,0,"Excitatory Neurons","Dlgap1"
"Epha7",0,1.28968467180128,0.671,0.119,0,"Excitatory Neurons","Epha7"
"Nrg3os",0,1.28156651498742,0.872,0.161,0,"Excitatory Neurons","Nrg3os"
"Iqgap2",0,1.27957844988896,0.619,0.075,0,"Excitatory Neurons","Iqgap2"
"Khdrbs2",0,1.27446967501722,0.684,0.105,0,"Excitatory Neurons","Khdrbs2"
"Ralyl",0,1.27286212663283,0.876,0.238,0,"Excitatory Neurons","Ralyl"
"Grm5",0,1.27017577890255,0.969,0.321,0,"Excitatory Neurons","Grm5"
"Ppm1e",0,1.26441050729766,0.866,0.222,0,"Excitatory Neurons","Ppm1e"
"Shisa6",0,1.26196483591272,0.705,0.115,0,"Excitatory Neurons","Shisa6"
"Slc35f3",0,1.26042922465816,0.653,0.076,0,"Excitatory Neurons","Slc35f3"
"Myt1l",0,1.25918775768586,0.893,0.198,0,"Excitatory Neurons","Myt1l"
"Gm37340",0,1.25822461011124,0.63,0.027,0,"Excitatory Neurons","Gm37340"
"Pde1a",0,1.25542225741187,0.583,0.105,0,"Excitatory Neurons","Pde1a"
"Cacna1c",0,1.24549382521926,0.842,0.211,0,"Excitatory Neurons","Cacna1c"
"Tafa2",0,1.24210440032176,0.622,0.147,0,"Excitatory Neurons","Tafa2"
"Dgkg",0,1.23873834343988,0.729,0.119,0,"Excitatory Neurons","Dgkg"
"Fam135b",0,1.23558147703974,0.756,0.099,0,"Excitatory Neurons","Fam135b"
"Kcnq5",0,1.23540771667693,0.531,0.161,0,"Excitatory Neurons","Kcnq5"
"Plxna4",0,1.22986883322677,0.836,0.183,0,"Excitatory Neurons","Plxna4"
"Ntng1",0,1.2254829179053,0.522,0.053,0,"Excitatory Neurons","Ntng1"
"Pcsk2",0,1.20601931369569,0.758,0.124,0,"Excitatory Neurons","Pcsk2"
"Dgkh",0,1.20352185280167,0.618,0.104,0,"Excitatory Neurons","Dgkh"
"Prkce",0,1.1972565811517,0.904,0.256,0,"Excitatory Neurons","Prkce"
"Cdh9",0,1.19471908946537,0.503,0.079,0,"Excitatory Neurons","Cdh9"
"Pigk",0,1.19436089914811,0.814,0.16,0,"Excitatory Neurons","Pigk"
"Cdh12",0,1.19347684997985,0.628,0.078,0,"Excitatory Neurons","Cdh12"
"Rims1",0,1.19242189208329,0.932,0.229,0,"Excitatory Neurons","Rims1"
"Frmpd4",0,1.19033980510759,0.894,0.195,0,"Excitatory Neurons","Frmpd4"
"4930509J09Rik",0,1.18889412135385,0.6,0.069,0,"Excitatory Neurons","4930509J09Rik"
"Kcnj3",0,1.18712213223426,0.786,0.145,0,"Excitatory Neurons","Kcnj3"
"St6galnac5",0,1.18614046506917,0.808,0.156,0,"Excitatory Neurons","St6galnac5"
"Grm7",0,1.1845436310049,0.965,0.309,0,"Excitatory Neurons","Grm7"
"Rgs7",0,1.18177686639591,0.857,0.187,0,"Excitatory Neurons","Rgs7"
"Gm20642",0,1.18071505438878,0.823,0.152,0,"Excitatory Neurons","Gm20642"
"Rasgrf1",0,1.17937678257174,0.812,0.15,0,"Excitatory Neurons","Rasgrf1"
"Chrm3",0,1.17278504533087,0.466,0.115,0,"Excitatory Neurons","Chrm3"
"Gabra2",0,1.16513943282022,0.76,0.144,0,"Excitatory Neurons","Gabra2"
"Hivep2",0,1.16230311549399,0.899,0.268,0,"Excitatory Neurons","Hivep2"
"Ntrk3",0,1.15575729765071,0.838,0.187,0,"Excitatory Neurons","Ntrk3"
"Cdh8",0,1.14587788108345,0.689,0.102,0,"Excitatory Neurons","Cdh8"
"Fam189a1",0,1.14023272098206,0.684,0.109,0,"Excitatory Neurons","Fam189a1"
"Add2",0,1.13830823356931,0.683,0.088,0,"Excitatory Neurons","Add2"
