"","logFC","gene","FDR","-log10(p-value)","MG1_avg_UMI","MG2_avg_UMI","MG3_avg_UMI","up/down","logFC_DAM","cluster3","cluster8","norm_exp"
"20",1.35332543944261,"Gm20663",1.31045972991502e-188,NA,NA,NA,NA,NA,NA,0.270945346483616,0.94680493444779,NA
"25",1.36691311247698,"Gm15283",2.81991803491071e-176,NA,NA,NA,NA,NA,NA,0.170327847129888,0.760511343332729,NA
"29",1.22993172366943,"Gm26714",2.53413387217414e-143,NA,NA,NA,NA,NA,NA,0.0446462820464023,0.460077765149719,NA
"63",0.821541269446361,"C030034L19Rik",2.13162021941685e-69,NA,NA,NA,NA,NA,NA,0.0431980945548627,0.283039820479965,NA
"64",0.832770346208703,"F630206G17Rik",2.15193358717282e-69,NA,NA,NA,NA,NA,NA,0.0491896980154552,0.294468963619234,NA
"66",0.798398181826424,"Gm37168",3.89874035579581e-69,NA,NA,NA,NA,NA,NA,0.0343519080259586,0.260159538158632,NA
"71",0.785082319838375,"AU020206",4.94362453677806e-64,NA,NA,NA,NA,NA,NA,0.409474497136536,0.85691048339578,NA
"103",0.740103686973809,"Neat1",4.66184821600768e-48,NA,NA,NA,NA,NA,NA,0.159670159482035,0.445096199292889,NA
"111",0.518991503538536,"Gm13391",7.8593826024533e-46,NA,NA,NA,NA,NA,NA,0.00718455884467583,0.136504485023029,NA
"129",0.555886586326201,"Pvt1",1.99669123854563e-38,NA,NA,NA,NA,NA,NA,0.672197925221521,1.04755597981457,NA
"148",0.514167736501205,"A930007I19Rik",8.0629313719783e-30,NA,NA,NA,NA,NA,NA,0.0441981997354672,0.183642739024245,NA
"158",0.553519032147121,"2210408F21Rik",1.45921026935988e-26,NA,NA,NA,NA,NA,NA,0.174125319070144,0.383770118695081,NA
"175",-1.31970939475709,"Gm10790",9.50534550628724e-205,NA,NA,NA,NA,NA,NA,1.53618482547405,0.623548817916372,NA
"176",-1.406182327183,"8030442B05Rik",1.48445356447807e-192,NA,NA,NA,NA,NA,NA,0.90586563179948,0.237513111600554,NA
"203",-0.955021478714196,"A830008E24Rik",9.76294917760581e-82,NA,NA,NA,NA,NA,NA,0.570200906682682,0.210693809384354,NA
"204",-0.880654167275347,"Gm31243",4.64553759932678e-80,NA,NA,NA,NA,NA,NA,0.261282504380517,0.017204481169602,NA
"224",-0.691744154024694,"Gm46367",3.32718957439227e-55,NA,NA,NA,NA,NA,NA,0.995136824420684,0.578950034339993,NA
"229",-0.73446941335177,"Gm32036",6.97985053270835e-52,NA,NA,NA,NA,NA,NA,0.730863260038924,0.359105323802381,NA
"235",-0.575363523271202,"4933406I18Rik",9.85375877689739e-48,NA,NA,NA,NA,NA,NA,1.69651695349009,1.2571759453214,NA
"255",-0.564848155585212,"Gm43821",1.25546193863857e-40,NA,NA,NA,NA,NA,NA,0.150789018228286,0.0231676722605991,NA
"263",-0.597354666515601,"Gm47754",1.34792077034004e-38,NA,NA,NA,NA,NA,NA,0.201388258197663,0.0478304600702526,NA
"264",-0.578165292129904,"Trp53cor1",1.72050889646684e-38,NA,NA,NA,NA,NA,NA,0.178790850987336,0.0351519486491404,NA
"275",-0.576734366099077,"Adap2os",2.92929088173629e-32,NA,NA,NA,NA,NA,NA,0.684014903647496,0.403178742911251,NA
"299",-0.54038853702014,"B430010I23Rik",1.93704153281171e-25,NA,NA,NA,NA,NA,NA,0.484317470841872,0.257552216602065,NA
"300",-0.531313822772092,"Gm34408",1.34013004143979e-24,NA,NA,NA,NA,NA,NA,0.2969886414337,0.127740818872212,NA
