"Label" "Information"
"1" "R version:" "R version 3.6.0 (2019-04-26)"
"2" "Platform:" "x86_64-redhat-linux-gnu (64-bit)"
"3" "Running under:" "CentOS Linux 7 (Core)"
"4" "Locale:" "LC_CTYPE=en_US.UTF-8"
"5" "Locale:" "LC_NUMERIC=C"
"6" "Locale:" "LC_TIME=en_US.UTF-8"
"7" "Locale:" "LC_COLLATE=en_US.UTF-8"
"8" "Locale:" "LC_MONETARY=en_US.UTF-8"
"9" "Locale:" "LC_MESSAGES=en_US.UTF-8"
"10" "Locale:" "LC_PAPER=en_US.UTF-8"
"11" "Locale:" "LC_NAME=C"
"12" "Locale:" "LC_ADDRESS=C"
"13" "Locale:" "LC_TELEPHONE=C"
"14" "Locale:" "LC_MEASUREMENT=en_US.UTF-8"
"15" "Locale:" "LC_IDENTIFICATION=C"
"16" "Matrix:" "Matrix products: default
"
"17" "Attached base packages:" "stats"
"18" "Attached base packages:" "graphics"
"19" "Attached base packages:" "grDevices"
"20" "Attached base packages:" "utils"
"21" "Attached base packages:" "datasets"
"22" "Attached base packages:" "methods"
"23" "Attached base packages:" "base"
"24" "Other attached packages:" "ggpubr_0.4.0"
"25" "Other attached packages:" "biomaRt_2.42.1"
"26" "Other attached packages:" "fgsea_1.12.0"
"27" "Other attached packages:" "Rcpp_1.0.5"
"28" "Other attached packages:" "forcats_0.5.0"
"29" "Other attached packages:" "purrr_0.3.4"
"30" "Other attached packages:" "readr_1.4.0"
"31" "Other attached packages:" "tibble_3.0.4"
"32" "Other attached packages:" "tidyverse_1.3.0"
"33" "Other attached packages:" "stringr_1.4.0"
"34" "Other attached packages:" "DT_0.16"
"35" "Other attached packages:" "cowplot_1.1.0"
"36" "Other attached packages:" "viridis_0.5.1"
"37" "Other attached packages:" "viridisLite_0.3.0"
"38" "Other attached packages:" "SCORPIUS_1.0.7"
"39" "Other attached packages:" "destiny_3.0.1"
"40" "Other attached packages:" "Cairo_1.5-12.2"
"41" "Other attached packages:" "readxl_1.3.1"
"42" "Other attached packages:" "ggrepel_0.8.2"
"43" "Other attached packages:" "Seurat_3.2.2"
"44" "Other attached packages:" "tidyr_1.1.2"
"45" "Other attached packages:" "ggplot2_3.3.2"
"46" "Other attached packages:" "dplyr_1.0.2"
"47" "Other attached packages:" "gridExtra_2.3"
"48" "Loaded via a namespace (and not attached):" "rappdirs_0.3.1"
"49" "Loaded via a namespace (and not attached):" "ggthemes_4.2.0"
"50" "Loaded via a namespace (and not attached):" "princurve_2.1.5"
"51" "Loaded via a namespace (and not attached):" "bit64_4.0.5"
"52" "Loaded via a namespace (and not attached):" "knitr_1.30"
"53" "Loaded via a namespace (and not attached):" "irlba_2.3.3"
"54" "Loaded via a namespace (and not attached):" "DelayedArray_0.12.3"
"55" "Loaded via a namespace (and not attached):" "data.table_1.13.2"
"56" "Loaded via a namespace (and not attached):" "rpart_4.1-15"
"57" "Loaded via a namespace (and not attached):" "RCurl_1.98-1.2"
"58" "Loaded via a namespace (and not attached):" "generics_0.1.0"
"59" "Loaded via a namespace (and not attached):" "BiocGenerics_0.32.0"
"60" "Loaded via a namespace (and not attached):" "RSQLite_2.2.1"
"61" "Loaded via a namespace (and not attached):" "RANN_2.6.1"
"62" "Loaded via a namespace (and not attached):" "carrier_0.1.0"
"63" "Loaded via a namespace (and not attached):" "proxy_0.4-24"
"64" "Loaded via a namespace (and not attached):" "future_1.19.1"
"65" "Loaded via a namespace (and not attached):" "bit_4.0.4"
"66" "Loaded via a namespace (and not attached):" "spatstat.data_1.4-3"
"67" "Loaded via a namespace (and not attached):" "xml2_1.3.2"
"68" "Loaded via a namespace (and not attached):" "lubridate_1.7.9"
"69" "Loaded via a namespace (and not attached):" "httpuv_1.5.4"
"70" "Loaded via a namespace (and not attached):" "SummarizedExperiment_1.16.1"
"71" "Loaded via a namespace (and not attached):" "assertthat_0.2.1"
"72" "Loaded via a namespace (and not attached):" "xfun_0.19"
"73" "Loaded via a namespace (and not attached):" "hms_0.5.3"
"74" "Loaded via a namespace (and not attached):" "promises_1.1.1"
"75" "Loaded via a namespace (and not attached):" "TSP_1.1-10"
"76" "Loaded via a namespace (and not attached):" "progress_1.2.2"
"77" "Loaded via a namespace (and not attached):" "DEoptimR_1.0-8"
"78" "Loaded via a namespace (and not attached):" "fansi_0.4.1"
"79" "Loaded via a namespace (and not attached):" "dbplyr_1.4.4"
"80" "Loaded via a namespace (and not attached):" "igraph_1.2.6"
"81" "Loaded via a namespace (and not attached):" "DBI_1.1.0"
"82" "Loaded via a namespace (and not attached):" "htmlwidgets_1.5.2"
"83" "Loaded via a namespace (and not attached):" "stats4_3.6.0"
"84" "Loaded via a namespace (and not attached):" "ellipsis_0.3.1"
"85" "Loaded via a namespace (and not attached):" "RSpectra_0.16-0"
"86" "Loaded via a namespace (and not attached):" "backports_1.2.0"
