"","gene","-log10(p-value)","logFC_DAM","logFC_DroNc","FDR_DroNc"
"1","Cst7","Inf",6.05958762564691,0.510744759337085,4.04831561881107e-37
"2","Lpl","Inf",5.44395653952043,0.906025689903883,7.03214616897766e-95
"3","Clec7a","230.947329",4.59930432587926,1.28679760655853,7.43157649342444e-170
"4","Itgax","207.75376299999999",5.34581406310086,NA,NA
"5","Spp1","194.908683",6.29371338872987,NA,NA
"6","Igf1","182.50905700000001",6.06417483857497,1.76742608993633,6.05246105188229e-304
"7","Apoe","153.686511",5.40539817790021,0.838488075278786,9.03723316131558e-93
"8","Axl","142.347354",3.75197612868591,0.89030665161122,3.10161871333906e-87
"9","Ank","130.198961",3.63125564871927,2.43283133643672,0
"10","Ch25h","113.519659",5.83800830461232,0.288434425234053,4.5057864661207e-25
"11","Ctsd","106.63642",1.63483807272013,NA,NA
"12","Ccl3","105.600334",3.70102251679418,0.639841871935922,9.91953463858118e-54
"13","Baiap2l2","101.54606800000001",7.25931216944255,0.645629122707579,2.61323572424415e-58
"14","Csf1","101.379232",3.84284157853442,0.973959290367306,2.15837884321344e-95
"15","Fam20c","93.309511000000001",4.10733599689171,0.48924507196225,1.69480064762331e-34
"16","Gnas","85.451717000000002",2.29875949141791,0.650753203265475,2.15375275804485e-60
"17","Ctsb","82.565737999999996",1.78208850392628,0.785920524460793,2.07053851108875e-71
"18","5430435G22Rik","80.008636999999993",5.99899889313803,NA,NA
"19","Lyz2","79.916855999999996",1.76981262949641,0.309032868210492,3.82122238229353e-13
"20","Cd63","79.141559999999998",2.20894899307042,NA,NA
"21","Lgi2","78.856347",5.3747528885857,0.310050091088408,1.62585985197295e-15
"22","Tyrobp","78.522304000000005",1.7175890051023,NA,NA
"23","Hpse","76.497884999999997",6.65994613234173,0.452669675673733,1.20442485250269e-45
"24","Mamdc2","68.413199000000006",8.3017183636194,1.54810780691783,2.52865635847603e-256
"25","Cox6a2","63.257103999999998",3.66152674623727,NA,NA
"26","Cd63-ps","62.127305999999997",2.12269959021872,NA,NA
"27","Ccl6","61.733455999999997",2.76708329070082,0.321650781905741,3.97112689541727e-13
"28","Gm1673","53.995975000000001",5.25932682901176,NA,NA
"29","Cd9","53.891368999999997",1.61135173656096,0.869816186948168,5.70471850753564e-84
"30","Ccl4","53.677171999999999",3.32447500560142,1.06750288525146,1.10263608192407e-117
"31","Ctsz","51.148966999999999",1.49393846211392,0.525001253792692,8.87646406402908e-25
"32","Fth1","49.308123000000002",1.42778795033795,NA,NA
"33","B2m","48.876967999999998",1.04564206735393,0.261765922429584,6.10951077780729e-06
"34","Gusb","47.323723999999999",1.73734808360251,0.463309442231218,6.54992490089367e-19
"35","Fabp3","45.887653999999998",6.47454321120959,NA,NA
"36","H2-D1","44.407310000000003",1.76777684314768,NA,NA
"37","Ctsl","43.462083",1.28167111647863,0.265879914994091,2.87769589064276e-06
"38","Serpine2","42.585154000000003",1.58401267367091,1.10938896746834,3.7376437586716e-143
"39","mmu-mir-703","40.831733999999997",1.287334545325,NA,NA
"40","Lilrb4","40.562379999999997",4.3841232609678,NA,NA
"41","Cd52","39.243212999999997",1.89513388665811,NA,NA
"42","Lgals3bp","38.943860999999998",1.77373470726557,NA,NA
"43","Dkk2","38.868555000000001",5.58988348107589,0.874807054966848,1.69224622959629e-101
"44","Psat1","38.429889000000003",2.51280930213923,0.286284124708213,7.36691663054117e-11
"45","Gm10076","37.042025000000002",1.50034099095733,NA,NA
"46","Cxcl14","36.998252000000001",6.63147045934553,NA,NA
"47","Lox","36.030526999999999",4.45695644639419,NA,NA
"48","Flt1","36.006605",5.69790269263108,1.07904339710849,2.55824809500845e-129
"49","Capg","35.381113999999997",2.08567747061889,NA,NA
"50","Mif","34.561830999999998",1.73510968879982,NA,NA
"51","Nceh1","33.748010000000001",2.47233194854806,0.720450655800974,1.30805216275028e-46
"52","Sulf2","32.633861000000003",3.03638818207854,0.304188600606902,1.27367326840325e-13
"53","Lyz1","31.605063000000001",2.95117562701782,NA,NA
"54","Rps2","31.362717",1.98757719997751,NA,NA
"55","Gm5054","31.019974999999999",1.49373646758699,NA,NA
"56","Npc2","30.670455",1.12630791327533,NA,NA
"57","AC151602.1","30.663532",1.21860087548042,NA,NA
"58","Gm15500","30.532018000000001",1.25870600754964,NA,NA
"59","Etl4","30.343495000000001",4.92376314098446,2.26431510126867,0
"60","Gm11428","30.27619",4.60062047681747,NA,NA
"61","Cd68","30.081385999999998",1.29710365782015,0.291030159919969,5.4312335656346e-10
