"","gene","-log10(p-value)","logFC_DAM","logFC_DroNc","FDR_DroNc"
"1","Cst7","Inf",6.05958762564691,0.510744759337085,4.04831561881107e-37
"2","Lpl","Inf",5.44395653952043,0.906025689903883,7.03214616897766e-95
"3","Clec7a","230.947329",4.59930432587926,1.28679760655853,7.43157649342444e-170
"4","Igf1","182.50905700000001",6.06417483857497,1.76742608993633,6.05246105188229e-304
"5","Apoe","153.686511",5.40539817790021,0.838488075278786,9.03723316131558e-93
"6","Axl","142.347354",3.75197612868591,0.89030665161122,3.10161871333906e-87
"7","Ank","130.198961",3.63125564871927,2.43283133643672,0
"8","Ch25h","113.519659",5.83800830461232,0.288434425234053,4.5057864661207e-25
"9","Ccl3","105.600334",3.70102251679418,0.639841871935922,9.91953463858118e-54
"10","Baiap2l2","101.54606800000001",7.25931216944255,0.645629122707579,2.61323572424415e-58
"11","Csf1","101.379232",3.84284157853442,0.973959290367306,2.15837884321344e-95
"12","Fam20c","93.309511000000001",4.10733599689171,0.48924507196225,1.69480064762331e-34
"13","Gnas","85.451717000000002",2.29875949141791,0.650753203265475,2.15375275804485e-60
"14","Ctsb","82.565737999999996",1.78208850392628,0.785920524460793,2.07053851108875e-71
"15","Lyz2","79.916855999999996",1.76981262949641,0.309032868210492,3.82122238229353e-13
"16","Lgi2","78.856347",5.3747528885857,0.310050091088408,1.62585985197295e-15
"17","Hpse","76.497884999999997",6.65994613234173,0.452669675673733,1.20442485250269e-45
"18","Mamdc2","68.413199000000006",8.3017183636194,1.54810780691783,2.52865635847603e-256
"19","Ccl6","61.733455999999997",2.76708329070082,0.321650781905741,3.97112689541727e-13
"20","Cd9","53.891368999999997",1.61135173656096,0.869816186948168,5.70471850753564e-84
"21","Ccl4","53.677171999999999",3.32447500560142,1.06750288525146,1.10263608192407e-117
"22","Ctsz","51.148966999999999",1.49393846211392,0.525001253792692,8.87646406402908e-25
"23","B2m","48.876967999999998",1.04564206735393,0.261765922429584,6.10951077780729e-06
"24","Gusb","47.323723999999999",1.73734808360251,0.463309442231218,6.54992490089367e-19
"25","Ctsl","43.462083",1.28167111647863,0.265879914994091,2.87769589064276e-06
"26","Serpine2","42.585154000000003",1.58401267367091,1.10938896746834,3.7376437586716e-143
"27","Dkk2","38.868555000000001",5.58988348107589,0.874807054966848,1.69224622959629e-101
"28","Psat1","38.429889000000003",2.51280930213923,0.286284124708213,7.36691663054117e-11
"29","Flt1","36.006605",5.69790269263108,1.07904339710849,2.55824809500845e-129
"30","Nceh1","33.748010000000001",2.47233194854806,0.720450655800974,1.30805216275028e-46
"31","Sulf2","32.633861000000003",3.03638818207854,0.304188600606902,1.27367326840325e-13
"32","Etl4","30.343495000000001",4.92376314098446,2.26431510126867,0
"33","Cd68","30.081385999999998",1.29710365782015,0.291030159919969,5.4312335656346e-10
"34","Hif1a","28.357189000000002",1.80419312097968,1.4048386463926,3.28873079525616e-186
"35","Kcnj2","26.676586",1.92595651970448,0.645957474181301,6.96948959338429e-45
"36","Gpnmb","26.37998",5.78367976028219,0.327224889127387,8.6282505347631e-29
"37","Myo1e","25.797877",2.36171865847911,2.47169554053515,0
"38","Cadm1","25.495728",1.5924665701467,1.53089989123787,2.01272167119029e-309
"39","Tpi1","24.608771999999998",1.63906401676653,0.339876139136741,3.59036755872633e-10
"40","Tmem163","22.056021000000001",5.09794207484739,1.45292066376947,2.11605045741693e-202
"41","Trem2","21.718685000000001",0.968480289181436,0.275438846743021,1.22112126662048e-06
"42","Myo5a","21.152702999999999",3.26605109019371,1.50213567210216,1.54247472008195e-215
"43","Aplp2","19.914469",1.74232951930121,0.673563073411601,5.52134469325107e-40
"44","Plaur","19.467480999999999",2.41375689049871,0.697389849084031,4.7128594472919e-52
"45","Csf2ra","18.692464999999999",1.51018694213516,0.512897203362067,1.49331287261354e-23
"46","Sh3pxd2b","18.613474",4.04345922676225,0.292249425221492,4.06625298580046e-23
"47","Ctse","17.697535999999999",5.43321682453808,0.8180690742527,5.16709529670462e-78
"48","Cd83","17.132992999999999",1.24165204718144,0.591865204449377,7.97528976426379e-32
"49","Bhlhe40","15.509036",3.32724107940683,0.323791673156604,7.19629270837492e-17
"50","Ctsa","15.185622",0.89302461045126,0.464600293494184,6.91144525950032e-19
"51","Acaca","15.175190000000001",3.47796767927107,1.63986093691851,1.78020934589136e-268
"52","Atp1b3","15.149986999999999",1.02605163481167,0.261857077746302,2.84844067101067e-06
"53","Rftn1","14.860412",2.39777792774095,1.41389048306307,2.14182956601245e-184
