"","replicate","cell_type","count","sample_total","cell_prop"
"1","AD_3","Astrocytes",435,6298,0.0690695458875834
"2","AD_3","CA1",990,6298,0.157192759606224
"3","AD_3","CA2_3",363,6298,0.0576373451889489
"4","AD_3","Cajal",41,6298,0.00651000317561131
"5","AD_3","Dentate_Gyrus",1271,6298,0.20181009844395
"6","AD_3","Fibroblast",159,6298,0.0252461098761512
"7","AD_3","Inhibitory_Neurons",443,6298,0.0703397904096539
"8","AD_3","MFOL",786,6298,0.124801524293426
"9","AD_3","MOL",142,6298,0.0225468402667513
"10","AD_3","Macrophage",38,6298,0.00603366147983487
"11","AD_3","Microglia",542,6298,0.0860590663702763
"12","AD_3","NFOL",16,6298,0.002540489044141
"13","AD_3","OPC",175,6298,0.0277865989202922
"14","AD_3","Pericyte",23,6298,0.00365195300095268
"15","AD_3","Unidentified_Neurons",208,6298,0.033026357573833
"16","AD_3","VLMC",38,6298,0.00603366147983487
"17","AD_3","Vascular",40,6298,0.00635122261035249
"18","AD_3","subiculum",588,6298,0.0933629723721816
"19","AD_6","Astrocytes",570,9893,0.0576164965126857
"20","AD_6","CA1",1568,9893,0.1584959061963
"21","AD_6","CA2_3",686,9893,0.0693419589608814
"22","AD_6","Cajal",69,9893,0.00697462852521985
"23","AD_6","Choroid",182,9893,0.0183968462549277
"24","AD_6","Dentate_Gyrus",2544,9893,0.257151521277671
"25","AD_6","Fibroblast",53,9893,0.00535732335995148
"26","AD_6","Inhibitory_Neurons",632,9893,0.0638835540281007
"27","AD_6","MFOL",1466,9893,0.148185585767715
"28","AD_6","MOL",214,9893,0.0216314565854645
"29","AD_6","Macrophage",20,9893,0.00202163145658546
"30","AD_6","Microglia",1033,9893,0.104417264732639
"31","AD_6","NFOL",48,9893,0.00485191549580511
"32","AD_6","OPC",284,9893,0.0287071666835136
"33","AD_6","Pericyte",48,9893,0.00485191549580511
"34","AD_6","Unidentified_Neurons",34,9893,0.00343677347619529
"35","AD_6","VLMC",16,9893,0.00161730516526837
"36","AD_6","Vascular",54,9893,0.00545840493278075
"37","AD_6","subiculum",372,9893,0.0376023450924896
"38","AD_9","Astrocytes",445,11340,0.0392416225749559
"39","AD_9","CA1",1367,11340,0.120546737213404
"40","AD_9","CA2_3",518,11340,0.045679012345679
"41","AD_9","Cajal",56,11340,0.00493827160493827
"42","AD_9","Choroid",94,11340,0.00828924162257496
"43","AD_9","Dentate_Gyrus",1880,11340,0.165784832451499
"44","AD_9","Fibroblast",131,11340,0.0115520282186949
"45","AD_9","Inhibitory_Neurons",968,11340,0.0853615520282187
"46","AD_9","MFOL",1573,11340,0.138712522045855
"47","AD_9","MOL",392,11340,0.0345679012345679
"48","AD_9","Macrophage",24,11340,0.00211640211640212
"49","AD_9","Microglia",1064,11340,0.0938271604938272
"50","AD_9","NFOL",29,11340,0.00255731922398589
"51","AD_9","OPC",305,11340,0.0268959435626102
"52","AD_9","Pericyte",29,11340,0.00255731922398589
"53","AD_9","Unidentified_Neurons",213,11340,0.0187830687830688
"54","AD_9","VLMC",24,11340,0.00211640211640212
"55","AD_9","Vascular",23,11340,0.00202821869488536
"56","AD_9","subiculum",2205,11340,0.194444444444444
"57","ADp40KO_2","Astrocytes",242,8240,0.029368932038835
"58","ADp40KO_2","CA1",1453,8240,0.176334951456311
"59","ADp40KO_2","CA2_3",527,8240,0.0639563106796116
"60","ADp40KO_2","Cajal",50,8240,0.00606796116504854
"61","ADp40KO_2","Dentate_Gyrus",1385,8240,0.168082524271845
"62","ADp40KO_2","Fibroblast",24,8240,0.0029126213592233
"63","ADp40KO_2","Inhibitory_Neurons",627,8240,0.0760922330097087
"64","ADp40KO_2","MFOL",1385,8240,0.168082524271845
"65","ADp40KO_2","MOL",285,8240,0.0345873786407767
"66","ADp40KO_2","Macrophage",13,8240,0.00157766990291262
"67","ADp40KO_2","Microglia",1098,8240,0.133252427184466
"68","ADp40KO_2","NFOL",33,8240,0.00400485436893204
"69","ADp40KO_2","OPC",274,8240,0.033252427184466
"70","ADp40KO_2","Pericyte",35,8240,0.00424757281553398
"71","ADp40KO_2","Unidentified_Neurons",24,8240,0.0029126213592233
"72","ADp40KO_2","VLMC",3,8240,0.000364077669902913
"73","ADp40KO_2","Vascular",18,8240,0.00218446601941748
"74","ADp40KO_2","subiculum",764,8240,0.0927184466019417
"75","ADp40KO_5","Astrocytes",361,10380,0.0347784200385356
"76","ADp40KO_5","CA1",1590,10380,0.153179190751445
"77","ADp40KO_5","CA2_3",642,10380,0.061849710982659
"78","ADp40KO_5","Cajal",80,10380,0.00770712909441233
"79","ADp40KO_5","Choroid",4,10380,0.000385356454720617
"80","ADp40KO_5","Dentate_Gyrus",2953,10380,0.284489402697495
"81","ADp40KO_5","Fibroblast",73,10380,0.00703275529865125
"82","ADp40KO_5","Inhibitory_Neurons",517,10380,0.0498073217726397
"83","ADp40KO_5","MFOL",2088,10380,0.201156069364162
"84","ADp40KO_5","MOL",376,10380,0.036223506743738
"85","ADp40KO_5","Macrophage",17,10380,0.00163776493256262
"86","ADp40KO_5","Microglia",968,10380,0.0932562620423892
"87","ADp40KO_5","NFOL",34,10380,0.00327552986512524
"88","ADp40KO_5","OPC",315,10380,0.0303468208092486
"89","ADp40KO_5","Pericyte",29,10380,0.00279383429672447
"90","ADp40KO_5","Unidentified_Neurons",26,10380,0.00250481695568401
"91","ADp40KO_5","VLMC",4,10380,0.000385356454720617
"92","ADp40KO_5","Vascular",37,10380,0.0035645472061657
"93","ADp40KO_5","subiculum",266,10380,0.025626204238921
"94","ADp40KO_8","Astrocytes",330,10160,0.0324803149606299
"95","ADp40KO_8","CA1",1354,10160,0.133267716535433
"96","ADp40KO_8","CA2_3",497,10160,0.0489173228346457
"97","ADp40KO_8","Cajal",38,10160,0.00374015748031496
"98","ADp40KO_8","Choroid",86,10160,0.00846456692913386
"99","ADp40KO_8","Dentate_Gyrus",1826,10160,0.179724409448819
"100","ADp40KO_8","Fibroblast",88,10160,0.00866141732283465
"101","ADp40KO_8","Inhibitory_Neurons",695,10160,0.0684055118110236
"102","ADp40KO_8","MFOL",1912,10160,0.188188976377953
"103","ADp40KO_8","MOL",487,10160,0.0479330708661417
"104","ADp40KO_8","Macrophage",37,10160,0.00364173228346457
"105","ADp40KO_8","Microglia",880,10160,0.0866141732283465
"106","ADp40KO_8","NFOL",19,10160,0.00187007874015748
"107","ADp40KO_8","OPC",289,10160,0.0284448818897638
"108","ADp40KO_8","Pericyte",22,10160,0.00216535433070866
"109","ADp40KO_8","Unidentified_Neurons",128,10160,0.0125984251968504
"110","ADp40KO_8","VLMC",11,10160,0.00108267716535433
"111","ADp40KO_8","Vascular",29,10160,0.00285433070866142
"112","ADp40KO_8","subiculum",1432,10160,0.140944881889764
"113","Ctrl_1","Astrocytes",263,7841,0.0335416400969264
"114","Ctrl_1","CA1",927,7841,0.118224716235174
"115","Ctrl_1","CA2_3",337,7841,0.0429792118352251
"116","Ctrl_1","Cajal",46,7841,0.00586659864813162
"117","Ctrl_1","Choroid",1,7841,0.000127534753220253
"118","Ctrl_1","Dentate_Gyrus",1261,7841,0.160821323810738
"119","Ctrl_1","Fibroblast",12,7841,0.00153041703864303
"120","Ctrl_1","Inhibitory_Neurons",560,7841,0.0714194618033414
"121","Ctrl_1","MFOL",1685,7841,0.214896059176126
"122","Ctrl_1","MOL",427,7841,0.0544573396250478
"123","Ctrl_1","Macrophage",19,7841,0.0024231603111848
"124","Ctrl_1","Microglia",518,7841,0.0660630021680908
"125","Ctrl_1","NFOL",17,7841,0.00216809080474429
"126","Ctrl_1","OPC",178,7841,0.0227011860732049
"127","Ctrl_1","Pericyte",22,7841,0.00280576457084556
"128","Ctrl_1","Unidentified_Neurons",199,7841,0.0253794158908303
"129","Ctrl_1","VLMC",3,7841,0.000382604259660758
"130","Ctrl_1","Vascular",17,7841,0.00216809080474429
"131","Ctrl_1","subiculum",1349,7841,0.172044382094121
"132","Ctrl_4","Astrocytes",518,9434,0.0549077803688785
"133","Ctrl_4","CA1",1214,9434,0.128683485266059
"134","Ctrl_4","CA2_3",552,9434,0.0585117659529362
"135","Ctrl_4","Cajal",51,9434,0.0054059783760865
"136","Ctrl_4","Choroid",96,9434,0.0101759592961628
"137","Ctrl_4","Dentate_Gyrus",2070,9434,0.219419122323511
"138","Ctrl_4","Fibroblast",148,9434,0.015687937248251
"139","Ctrl_4","Inhibitory_Neurons",679,9434,0.0719737121051516
"140","Ctrl_4","MFOL",1524,9434,0.161543353826585
"141","Ctrl_4","MOL",371,9434,0.0393258426966292
"142","Ctrl_4","Macrophage",58,9434,0.00614797540809837
"143","Ctrl_4","Microglia",374,9434,0.0396438414246343
"144","Ctrl_4","NFOL",20,9434,0.00211999152003392
"145","Ctrl_4","OPC",239,9434,0.0253338986644053
"146","Ctrl_4","Pericyte",36,9434,0.00381598473606106
"147","Ctrl_4","Unidentified_Neurons",161,9434,0.0170659317362731
"148","Ctrl_4","VLMC",29,9434,0.00307398770404918
"149","Ctrl_4","Vascular",26,9434,0.0027559889760441
"150","Ctrl_4","subiculum",1268,9434,0.134407462370151
"151","Ctrl_7","Astrocytes",496,8712,0.0569329660238751
"152","Ctrl_7","CA1",1073,8712,0.123163452708907
"153","Ctrl_7","CA2_3",443,8712,0.0508494031221304
"154","Ctrl_7","Cajal",45,8712,0.00516528925619835
"155","Ctrl_7","Choroid",106,8712,0.0121671258034894
"156","Ctrl_7","Dentate_Gyrus",1657,8712,0.190197428833792
"157","Ctrl_7","Fibroblast",43,8712,0.00493572084481175
"158","Ctrl_7","Inhibitory_Neurons",641,8712,0.0735766758494031
"159","Ctrl_7","MFOL",1577,8712,0.181014692378329
"160","Ctrl_7","MOL",470,8712,0.0539485766758494
"161","Ctrl_7","Macrophage",23,8712,0.00264003673094582
"162","Ctrl_7","Microglia",379,8712,0.0435032139577594
"163","Ctrl_7","NFOL",15,8712,0.00172176308539945
"164","Ctrl_7","OPC",266,8712,0.0305325987144169
"165","Ctrl_7","Pericyte",30,8712,0.0034435261707989
"166","Ctrl_7","Unidentified_Neurons",161,8712,0.0184802571166208
"167","Ctrl_7","VLMC",9,8712,0.00103305785123967
"168","Ctrl_7","Vascular",25,8712,0.00286960514233241
"169","Ctrl_7","subiculum",1253,8712,0.143824609733701
