gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Microglia	Oligo
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0470723017	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.1286448077	0.0444668032
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0470723017	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.1286448077	0.0444668032
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.1286448077	0.0444668032
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.1286448077	0.0444668032
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.1286448077	0.0444668032
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.3508937428	0.2840392304
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	9.4059985333	3.2487246404
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.0980740586	0.3781026103
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.0	0.0186848134
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.1495887591	0.0359133508
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.3508937428	0.2840392304
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	9.4059985333	3.2487246404
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.0380340938	0.0090209069
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.3508937428	0.2840392304
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.3508937428	0.2840392304
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS00661A3A4	0.0980740586	0.3781026103
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	0.0980740586	0.3781026103
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.0	0.0186848134
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.0727925831	0.0012696995
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.0495147554	0.011210888
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.1567618513	0.0220337601
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	1.808853543	0.0
