gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Astrocytes	CA1	CA2_3	Cajal	Choroid	Dentate_Gyrus	Fibroblast	Inhibitory_Neurons	MFOL	MOL	Macrophage	Microglia	NFOL	OPC	Pericyte	Unidentified_Neurons	VLMC	Vascular	subiculum
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0011159547	0.000466642	0.0060707286	0.0	0.0	0.0008625649	0.0044326065	0.0009854551	0.0009562434	0.0033127921	0.0308088641	0.0014758505	0.0	0.0046031496	0.0	0.0	0.0273298465	0.0133598083	0.0017387114
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0011159547	0.000466642	0.0060707286	0.0	0.0	0.0008625649	0.0044326065	0.0009854551	0.0009562434	0.0033127921	0.0308088641	0.0014758505	0.0	0.0046031496	0.0	0.0	0.0273298465	0.0133598083	0.0017387114
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0024301983	0.0611129299	0.0655002002	0.0321161047	0.0410856062	0.0615260902	0.0200969107	0.0481090412	0.0168999182	0.0161425155	0.0	0.0378194296	0.034664729	0.0554573894	0.0	0.0255962071	0.0344420329	0.0551485578	0.0427259859
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0011159547	0.000466642	0.0060707286	0.0	0.0	0.0008625649	0.0044326065	0.0009854551	0.0009562434	0.0033127921	0.0308088641	0.0014758505	0.0	0.0046031496	0.0	0.0	0.0273298465	0.0133598083	0.0017387114
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.0	0.0	0.0	0.0	0.0007779913	0.0046829317	0.0013179594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0E70DD97F	0.0	0.0	0.0	0.0	0.0	0.0001014325	0.0	0.0	0.0	0.0	0.0	0.000764464	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0024301983	0.0611129299	0.0655002002	0.0321161047	0.0410856062	0.0615260902	0.0200969107	0.0481090412	0.0168999182	0.0161425155	0.0	0.0378194296	0.034664729	0.0554573894	0.0	0.0255962071	0.0344420329	0.0551485578	0.0427259859
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0024301983	0.0611129299	0.0655002002	0.0321161047	0.0410856062	0.0615260902	0.0200969107	0.0481090412	0.0168999182	0.0161425155	0.0	0.0378194296	0.034664729	0.0554573894	0.0	0.0255962071	0.0344420329	0.0551485578	0.0427259859
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0024301983	0.0611129299	0.0655002002	0.0321161047	0.0410856062	0.0615260902	0.0200969107	0.0481090412	0.0168999182	0.0161425155	0.0	0.0378194296	0.034664729	0.0554573894	0.0	0.0255962071	0.0344420329	0.0551485578	0.0427259859
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0024301983	0.0611129299	0.0655002002	0.0321161047	0.0410856062	0.0615260902	0.0200969107	0.0481090412	0.0168999182	0.0161425155	0.0	0.0378194296	0.034664729	0.0554573894	0.0	0.0255962071	0.0344420329	0.0551485578	0.0427259859
