"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"mir-7654",7.37523351753013e-43,0.162136394220792,0.346,0.29,2.78783826962639e-40
"mir-99b",4.37568805584301e-20,0.165841143782227,0.099,0.076,1.65401008510866e-17
"mir-138-2",1.06938386173476e-15,0.161425309369691,0.151,0.126,4.04227099735739e-13
"mir-5130",1.21298959451518e-13,0.51912677005949,0.021,0.012,4.58510066726737e-11
"mir-22",2.79923369841907e-13,0.126523516025976,0.068,0.053,1.05811033800241e-10
"mir-8112",4.07931323636513e-13,0.304136003146874,0.08,0.064,1.54198040334602e-10
"let-7d",8.88983150361138e-11,0.173160796562854,0.058,0.045,3.3603563083651e-08
"mir-23a",5.14907256499823e-10,0.369964346288071,0.025,0.018,1.94634942956933e-07
"mir-5136",1.55621042425864e-09,0.255088368160639,0.024,0.017,5.88247540369767e-07
"mir-7666",3.18901593656507e-07,0.444696848000124,0.015,0.01,0.00012054480240216
"mir-9-2",3.51620391411638e-07,0.145937948387773,0.062,0.052,0.000132912507953599
"mir-6990",3.888083058951e-07,0.233754442046513,0.073,0.062,0.000146969539628348
"mir-7646",4.91184236930517e-06,0.201621489510021,0.03,0.024,0.00185667641559735
"mir-671",5.27116647906124e-06,0.135623231067239,0.018,0.013,0.00199250092908515
"mir-1970",5.38119294660665e-06,-0.120177449462461,0.208,0.221,0.00203409093381731
"let-7i",1.24837163198019e-05,0.197933592080461,0.029,0.023,0.00471884476888513
"mir-3098",3.09629478921265e-05,0.295350012192702,0.015,0.011,0.0117039943032238
"mir-3068",8.37607506962076e-05,0.163632627706781,0.049,0.042,0.0316615637631665
"mir-6921",0.000205508610243324,0.269343404803271,0.014,0.01,0.0776822546719764
"mir-7674",0.000781588854689938,0.241544766539774,0.038,0.032,0.295440587072796
"mir-1949",0.000787825689350089,0.190271142678275,0.024,0.019,0.297798110574334
"mir-322",0.00107716162559761,0.137575951439277,0.013,0.01,0.407167094475895
"mir-467f",0.00147670721426619,-0.274328056582052,0.031,0.036,0.558195326992619
"mir-29a",0.00295778045294598,0.11950417715398,0.028,0.024,1
"mir-3064",0.00312478655538159,0.179721809891565,0.048,0.043,1
"mir-7220",0.00317724501098459,0.143139961858195,0.019,0.015,1
"mir-3069",0.00374320551392168,0.113749425056282,0.038,0.033,1
"mir-301a",0.00655959286962111,0.118705347371344,0.017,0.014,1
"mir-719",0.00986064593119971,0.242914148791763,0.032,0.028,1
"mir-6942",0.0141953592899542,0.144701425603369,0.076,0.07,1
"mir-804",0.0148123043339341,0.250073050446645,0.024,0.021,1
"mir-377",0.015878695914695,-0.101520900612809,0.084,0.09,1
"mir-8113",0.0174041175234836,0.218306383765628,0.026,0.023,1
"mir-1306",0.0308347878446928,0.203558580999985,0.032,0.029,1
"mir-8091",0.0313273604820295,0.174397261768152,0.012,0.01,1
"mir-8097",0.0733721779325797,0.21156563634942,0.013,0.012,1
"mir-7052",0.0870274187497309,-0.148069510133905,0.119,0.122,1
"mir-6340",0.0872016895403109,0.224497445479795,0.012,0.011,1
"mir-21a",0.127297068573139,-0.123748055221912,0.068,0.071,1
"mir-8116",0.172022398058649,0.170538768388837,0.023,0.021,1
"mir-5131",0.312785542528152,0.134575783625853,0.035,0.033,1
"mir-8109",0.50505228068083,-0.157426407541068,0.02,0.02,1
"mir-8104",0.564663798624283,0.204230563069658,0.011,0.01,1
"mir-546",0.606719981987978,-0.14769413926771,0.039,0.038,1
"mir-3474",0.839414300944811,0.122032979677189,0.022,0.022,1
"mir-6991",0.92430672421057,-0.137203561492519,0.024,0.024,1
"mir-3061",0.970292391413785,-0.11360188848598,0.091,0.09,1
"mir-384",0.99586054632744,-0.152735480938675,0.057,0.057,1
