"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"Ttr",0,0.576291752404289,0.461,0.203,0,"Ttr"
"Il12b",7.59929036649778e-282,0.132764280847284,0.044,0,2.41581440750964e-277,"Il12b"
"Hbb-bs",5.06182786089305e-210,0.240012824453763,0.092,0.029,1.6091550769779e-205,"Hbb-bs"
"Pttg1",3.80904625193734e-201,-0.146219928730009,0.001,0.034,1.21089580349088e-196,"Pttg1"
"Fth1",8.68810728024023e-153,-0.24204742137443,0.583,0.671,2.76194930438837e-148,"Fth1"
"Plp1",3.62329882169638e-116,-0.295734606966688,0.36,0.451,1.15184669541728e-111,"Plp1"
"Rnf220",1.75772925075572e-104,-0.495275270246928,0.219,0.289,5.58782128815245e-100,"Rnf220"
"St18",1.2818812910909e-98,-0.38129190665505,0.281,0.355,4.07510062437797e-94,"St18"
"A230004M16Rik",5.19383408753808e-90,0.151636699431041,0.221,0.155,1.65111985642836e-85,"A230004M16Rik"
"Asic2",5.25257999002987e-80,0.159666888542886,0.576,0.506,1.6697951788305e-75,"Asic2"
"Pdzd2",1.52844936778115e-70,0.229825383574372,0.293,0.234,4.85894054017628e-66,"Pdzd2"
"Slc24a2",1.70226628207906e-70,-0.2146841138371,0.707,0.752,5.41150451072932e-66,"Slc24a2"
"Wdr17",4.08924377488113e-59,0.311951540380669,0.344,0.286,1.29997059603471e-54,"Wdr17"
"Gm15577",9.84907147573708e-59,0.132233462901212,0.18,0.132,3.13101982213682e-54,"Gm15577"
"Frmd5",2.24636986821115e-58,-0.190542699114294,0.538,0.591,7.14120981104323e-54,"Frmd5"
"Ano4",2.82064104561284e-58,-0.290794133709969,0.346,0.399,8.96681788400321e-54,"Ano4"
"Plcb1",5.12213508138733e-57,0.165075034243347,0.656,0.605,1.62832674237303e-52,"Plcb1"
"Negr1",7.39665086614639e-57,0.151003608305792,0.664,0.619,2.35139531034794e-52,"Negr1"
"Rora",1.31871591227369e-56,0.235861048060078,0.61,0.559,4.19219788511807e-52,"Rora"
"Mbp",1.55199762842628e-56,-0.267944700767798,0.35,0.405,4.93380046076714e-52,"Mbp"
