"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"Thy1",0,0.42134077582679,0.308,0.153,0,"Thy1"
"Il12b",5.49642788566542e-255,0.132764280847284,0.044,0,1.74731442485304e-250,"Il12b"
"Pttg1",2.20703298766176e-213,-0.155094844264125,0.001,0.036,7.01615786777674e-209,"Pttg1"
"Pcdh9",1.11726319708221e-146,-0.18699508437952,0.86,0.912,3.55177970352434e-142,"Pcdh9"
"Cryab",6.50639326637014e-142,-0.287999143535003,0.105,0.182,2.06838241937907e-137,"Cryab"
"Rsrp1",4.02107376342841e-118,0.197025080751685,0.546,0.457,1.27829934939389e-113,"Rsrp1"
"Olfr111",1.21915343618843e-106,0.247518924825101,0.023,0.002,3.87568877364303e-102,"Olfr111"
"Hbb-bs",2.27605295983846e-105,0.172690318864193,0.092,0.043,7.23557235932647e-101,"Hbb-bs"
"Pde4b",6.22630455139602e-102,-0.28299658631632,0.471,0.549,1.9793422168888e-97,"Pde4b"
"Rnf220",9.70475953487458e-95,-0.4610329443007,0.219,0.287,3.08514305613663e-90,"Rnf220"
"Frmd5",5.76768327817858e-94,-0.202348438921101,0.538,0.611,1.83354651413297e-89,"Frmd5"
"C4b",4.18950296726342e-92,0.177028679264483,0.032,0.007,1.33184299329304e-87,"C4b"
"Lrrc4c",1.69636769403302e-85,-0.152349301853679,0.69,0.747,5.39275289933097e-81,"Lrrc4c"
"Ly86",4.13709405119982e-85,0.452158543392819,0.078,0.039,1.31518219887642e-80,"Ly86"
"Hecw2",5.45991482967946e-84,-0.189352635087366,0.471,0.538,1.7357069243551e-79,"Hecw2"
"Pacrg",5.66133391996252e-84,-0.322221812549283,0.331,0.398,1.79973805315609e-79,"Pacrg"
"Tmeff2",2.22688203265735e-83,-0.210125532845534,0.655,0.72,7.07925798181772e-79,"Tmeff2"
"Tgfbr2",2.24828276953569e-83,0.406641907158601,0.076,0.038,7.14729092435397e-79,"Tgfbr2"
"E230029C05Rik",1.60570505989401e-79,0.241791142397818,0.181,0.122,5.10453638540306e-75,"E230029C05Rik"
"Inpp5d",4.60973155142833e-79,0.369765236720856,0.092,0.05,1.46543366019907e-74,"Inpp5d"
