,0
0,mir-103-2
1,mir-1191a
2,mir-1199
3,mir-1224
4,mir-1258
5,mir-125a
6,mir-1291
7,mir-1306
8,mir-130a
9,mir-130b
10,mir-133a-1
11,mir-133c
12,mir-146b
13,mir-147
14,mir-1668
15,mir-181d
16,mir-186
17,mir-1892
18,mir-1893
19,mir-1898
20,mir-1900
21,mir-1902
22,mir-1903
23,mir-1907
24,mir-1934
25,mir-194-1
26,mir-1945
27,mir-1949
28,mir-1956
29,mir-195a
30,mir-1966
31,mir-1968
32,mir-196a-2
33,mir-196b
34,mir-1970
35,mir-1982
36,mir-199a-1
37,mir-199a-2
38,mir-199b
39,mir-2139
40,mir-214
41,mir-219a-1
42,mir-21a
43,mir-22
44,mir-224
45,mir-23b
46,mir-26b
47,mir-2861
48,mir-28b
49,mir-290a
50,mir-291a
51,mir-291b
52,mir-293
53,mir-294
54,mir-29b-2
55,mir-301a
56,mir-302a
57,mir-302b
58,mir-302c
59,mir-3057
60,mir-3060
61,mir-3061
62,mir-3062
63,mir-3063
64,mir-3064
65,mir-3068
66,mir-3070-2
67,mir-3071
68,mir-3074-1
69,mir-3076
70,mir-3079
71,mir-3082
72,mir-3091
73,mir-3098
74,mir-3100
75,mir-3101
76,mir-3103
77,mir-3104
78,mir-3112
79,mir-3113
80,mir-324
81,mir-328
82,mir-330
83,mir-331
84,mir-343
85,mir-345
86,mir-3470b
87,mir-3473e
88,mir-3474
89,mir-3569
90,mir-3572
91,mir-378b
92,mir-423
93,mir-429
94,mir-433
95,mir-452
96,mir-466i
97,mir-467f
98,mir-484
99,mir-499
100,mir-5046
101,mir-5101
102,mir-5107
103,mir-5110
104,mir-5113
105,mir-5114
106,mir-5116
107,mir-5119
108,mir-5121
109,mir-5122
110,mir-5129
111,mir-5130
112,mir-5131
113,mir-5133
114,mir-5134
115,mir-5135
116,mir-5136
117,mir-546
118,mir-5617
119,mir-5620
120,mir-5625
121,mir-568
122,mir-574
123,mir-6340
124,mir-6357
125,mir-6359
126,mir-6369
127,mir-6381
128,mir-6385
129,mir-6386
130,mir-6395
131,mir-6396
132,mir-6405
133,mir-6409
134,mir-6415
135,mir-6416
136,mir-6418
137,mir-6481
138,mir-669n
139,mir-671
140,mir-674
141,mir-6769b
142,mir-678
143,mir-684-1
144,mir-686
145,mir-688
146,mir-6898
147,mir-6901
148,mir-6903
149,mir-6904
150,mir-6909
151,mir-6912
152,mir-6913
153,mir-6914
154,mir-6917
155,mir-692-2
156,mir-692-3
157,mir-6921
158,mir-6924
159,mir-6925
160,mir-6928
161,mir-6929
162,mir-6936
163,mir-6941
164,mir-6942
165,mir-6945
166,mir-695
167,mir-6950
168,mir-6954
169,mir-6958
170,mir-6960
171,mir-6966
172,mir-6970
173,mir-6972
174,mir-6973b
175,mir-698
176,mir-6990
177,mir-6991
178,mir-6996
179,mir-6999
180,mir-700
181,mir-7005
182,mir-7010
183,mir-7011
184,mir-7013
185,mir-7018
186,mir-702
187,mir-7023
188,mir-7024
189,mir-7025
190,mir-7027
191,mir-7029
192,mir-7031
193,mir-7036a
194,mir-7037
195,mir-704
196,mir-7040
197,mir-7045
198,mir-7047
199,mir-7048
200,mir-705
201,mir-7051
202,mir-7052
203,mir-7054
204,mir-7058
205,mir-7059
206,mir-7068
207,mir-7069
208,mir-707
209,mir-7072
210,mir-7075
211,mir-708
212,mir-7080
213,mir-7082
214,mir-7083
215,mir-7084
216,mir-7091
217,mir-711
218,mir-7115
219,mir-718
220,mir-719
221,mir-7211
222,mir-7219
223,mir-7220
224,mir-7223
225,mir-7225
226,mir-7231
227,mir-7237
228,mir-7240
229,mir-7578
230,mir-761
231,mir-762
232,mir-7646
233,mir-7648
234,mir-7649
235,mir-7650
236,mir-7652
237,mir-7653
238,mir-7654
239,mir-7657
240,mir-7658
241,mir-7666
242,mir-7668
243,mir-7670
244,mir-7672
245,mir-7673
246,mir-7674
247,mir-7676-2
248,mir-7677
249,mir-7678
250,mir-7682
251,mir-804
252,mir-8090
253,mir-8091
254,mir-8092
255,mir-8093
256,mir-8094
257,mir-8097
258,mir-8098
259,mir-8101
260,mir-8104
261,mir-8107
262,mir-8108
263,mir-8109
264,mir-8112
265,mir-8113
266,mir-8114
267,mir-8115
268,mir-8116
269,mir-8119
270,mir-92b
271,mir-99b
