,0
0,let-7a-1
1,let-7b
2,let-7c-2
3,let-7d
4,let-7i
5,mir-101a
6,mir-103-2
7,mir-1191a
8,mir-1195
9,mir-1199
10,mir-1224
11,mir-124-1
12,mir-124-2
13,mir-1247
14,mir-1258
15,mir-125a
16,mir-125b-2
17,mir-129-1
18,mir-129-2
19,mir-1291
20,mir-1306
21,mir-130a
22,mir-130b
23,mir-132
24,mir-133a-1
25,mir-133a-2
26,mir-133b
27,mir-133c
28,mir-134
29,mir-135a-2
30,mir-137
31,mir-138-1
32,mir-138-2
33,mir-142b
34,mir-144
35,mir-145a
36,mir-146a
37,mir-146b
38,mir-147
39,mir-148a
40,mir-150
41,mir-155
42,mir-16-1
43,mir-1668
44,mir-17
45,mir-181d
46,mir-1839
47,mir-186
48,mir-1892
49,mir-1893
50,mir-1897
51,mir-1898
52,mir-1900
53,mir-1902
54,mir-1903
55,mir-1906-1
56,mir-1907
57,mir-191
58,mir-192
59,mir-1932
60,mir-1934
61,mir-193a
62,mir-193b
63,mir-194-1
64,mir-194-2
65,mir-1945
66,mir-1946b
67,mir-1949
68,mir-1956
69,mir-195a
70,mir-195b
71,mir-1966
72,mir-1968
73,mir-1969
74,mir-196a-1
75,mir-196a-2
76,mir-196b
77,mir-1970
78,mir-1982
79,mir-199a-1
80,mir-199a-2
81,mir-199b
82,mir-19b-1
83,mir-205
84,mir-20a
85,mir-210
86,mir-212
87,mir-2139
88,mir-214
89,mir-219a-1
90,mir-21a
91,mir-22
92,mir-221
93,mir-224
94,mir-23a
95,mir-23b
96,mir-24-2
97,mir-26b
98,mir-2861
99,mir-28b
100,mir-290a
101,mir-291a
102,mir-291b
103,mir-293
104,mir-294
105,mir-296
106,mir-29a
107,mir-29b-2
108,mir-301a
109,mir-302a
110,mir-302b
111,mir-302c
112,mir-3057
113,mir-3060
114,mir-3061
115,mir-3062
116,mir-3063
117,mir-3064
118,mir-3068
119,mir-3069
120,mir-3070-1
121,mir-3070-2
122,mir-3071
123,mir-3074-1
124,mir-3076
125,mir-3079
126,mir-3082
