,Atf2(+),Atf3(+),Bach1(+),Bach2(+),Batf(+),Bcl3(+),Cebpb(+),Cebpg(+),Dlx1(+),Dlx5(+),Dlx6(+),E2f1(+),E2f4(+),Egr1(+),Elf1(+),Elf4(+),Elk3(+),Ep300(+),Erg(+),Esrrg(+),Ets1(+),Ets2(+),Etv6(+),Ezh2(+),Fli1(+),Fos(+),Fosb(+),Fosl1(+),Fosl2(+),Foxo3(+),Gata2(+),Gata3(+),Gli1(+),Gm6871(+),Hdac2(+),Hoxb4(+),Ikzf1(+),Irf1(+),Irf2(+),Irf4(+),Irf5(+),Irf7(+),Jun(+),Junb(+),Jund(+),Kdm5a(+),Kdm5b(+),Klf3(+),Klf4(+),Klf6(+),Lhx6(+),Mafa(+),Mafb(+),Mef2c(+),Mef2d(+),Msx1(+),Mybl1(+),Myc(+),Neurod2(+),Nfic(+),Nfil3(+),Nkx2-2(+),Nr1d1(+),Nr1h3(+),Otx2(+),Pax3(+),Pax5(+),Pou2f1(+),Pou3f1(+),Pou3f2(+),Ppargc1a(+),Prdm1(+),Rad21(+),Rcor1(+),Rel(+),Relb(+),Rest(+),Rfx1(+),Rfx2(+),Rfx3(+),Runx1(+),Setdb1(+),Smarca4(+),Sox10(+),Sox13(+),Sox17(+),Sox30(+),Sox4(+),Sox9(+),Sp1(+),Spi1(+),Srebf1(+),Srf(+),Stat1(+),Stat2(+),Stat3(+),Stat6(+),Taf1(+),Tal1(+),Tbx3(+),Tbx6(+),Tcf7(+),Tcf7l1(+),Tcf7l2(+),Tgif1(+),Trp53(+),Usf1(+),Vsx2(+),Yy1(+),Zeb1(+),Zfp143(+),Zfp217(+),Zfp652(+),Zic1(+),Zmiz1(+)
Astrocytes_Ctrl,0.18665977719147697,0.21012911348518404,0.18703096817298936,0.19154805932371244,0.20362975849407672,0.18957927110823436,0.19821526586258154,0.19473169586586092,0.18287020243997731,0.18433261641800924,0.18858362710335874,0.19363937801768372,0.1931527771228091,0.1924362194746897,0.1916932444947428,0.1889455651307117,0.1942277683793262,0.19202750835620674,0.19605101765617194,0.17345269444327482,0.19308486339875897,0.1940596152347699,0.19111890485639815,0.19190922548101308,0.19463534544888716,0.1910020730392631,0.19163540494595876,0.1838173683599582,0.18738536229255853,0.20840394156521758,0.20182046343913795,0.19162739108644966,0.2469627093410427,0.18770397164787134,0.18208606277662853,0.20079499477245555,0.18999575878325903,0.19302932312797272,0.17599370435856165,0.1961276782879109,0.18971015686514725,0.20077609193193402,0.20645533269723848,0.192407793137787,0.19528879971301816,0.1920854926565878,0.18991134831838807,0.19325280360708308,0.19490344842807905,0.20028422489187148,0.18224993418968294,0.19550391220891528,0.17018684216421442,0.1893682911745297,0.19599196168637667,0.20031351962907418,0.19518888783331545,0.18236693231133427,0.18548310418585912,0.1954219686280919,0.19037323388129046,0.19513714692616924,0.1906533113415253,0.19616871537805902,0.20440240983546576,0.18803748778997276,0.18657832432437693,0.20004789738740247,0.2015903115647517,0.26358140717961764,0.19357227264268406,0.1870936561202996,0.179579554396739,0.1860489411734595,0.1984219860940586,0.20145024989086535,0.20795916908143863,0.18659669815909663,0.20600286883941488,0.18697875272993936,0.1892764202986934,0.1905215210376009,0.18915528221827027,0.19033978799691043,0.22467229678115253,0.20084443346507452,0.18902636703681153,0.19652545781009823,0.24201536215087416,0.18921887552523686,0.1893105941889377,0.19877477174018932,0.19019884304238244,0.20171177437186072,0.19567644377467397,0.20181554491770037,0.19343643149124246,0.19125826786209266,0.18995111048795832,0.18695140476858918,0.20729944528888733,0.19431030826602647,0.21209795035972878,0.19630518416471598,0.1889935977959245,0.20076655216336692,0.1938232410257611,0.18535207009237342,0.1980158661084206,0.19303528912489643,0.18489347555870617,0.21004594911016272,0.1803805951932832,0.22235226730535906,0.1804230497502325
subiculum_Ctrl,0.2353489500975483,0.20535870239012888,0.24062770457856608,0.23092967589533508,0.1839588894872538,0.19146331196452426,0.2159665764357801,0.2220848268231378,0.18948651090352409,0.22678041735844157,0.2266519939155185,0.23843840262315097,0.2208557954433953,0.22850515803054805,0.1974699952818999,0.2086502406983437,0.20858111150917746,0.22417724182155696,0.22341062589195082,0.25280729943106606,0.22156249833396202,0.21147368911839237,0.2243264343133613,0.21613016487971493,0.2128884391027116,0.2310683797729174,0.2323134739890279,0.19069604980035226,0.23734483297573983,0.19771073501268466,0.20350250714755735,0.2088715128989822,0.19018118044867693,0.20264252293984297,0.20286386230209064,0.17572999847333515,0.21950683738783128,0.20823109376726068,0.2188563811767772,0.19975105113520164,0.20822506259617313,0.20786748680661138,0.19850394661341142,0.2295983934290483,0.2190865665459376,0.22321805660238225,0.23247193949938516,0.21850569100338335,0.17894899209469906,0.2189185362732149,0.22663595836151573,0.23264440338887105,0.17084318134207865,0.25018898241375587,0.22403686998133165,0.20627874212024133,0.1906854530348686,0.23297437042102953,0.2238378053893888,0.21165406853631996,0.23118532200453756,0.196270711321883,0.18120913059816068,0.1946547730377839,0.2235105711785358,0.19957856449345923,0.21186542013826715,0.23342013172220455,0.2227001934868309,0.21118009105648172,0.24037665947629316,0.2003584703243525,0.20917518306372151,0.23104736776999846,0.20472606748132238,0.19606598901715244,0.20802668081177678,0.21064577295437548,0.21956447143748115,0.2310377762975271,0.21705989826456584,0.2295793973260707,0.23083722235841386,0.21960695446960943,0.21773871176999104,0.1733728159712875,0.19349915609487034,0.22091274183236997,0.21859110881248955,0.21001022859215646,0.21023188961473438,0.22108836324743142,0.23156461602832523,0.17891847654795012,0.22297516541976814,0.21836249905539484,0.23150594277046743,0.23222074394839887,0.19404520692877647,0.17573932560924943,0.21165725268667002,0.20915788425719684,0.2216126462264666,0.21907252025002188,0.1953118575244578,0.2153679193736261,0.22038848110379283,0.22765933347023837,0.21617274368088502,0.22983475161490052,0.2109934837712364,0.19293508056392017,0.23152344910176603,0.19577787346140207,0.25678545510157935
MFOL_Ctrl,0.22789595521373862,0.24379316455631994,0.22434507666295955,0.23530726191312668,0.24881496615956167,0.3066513143848466,0.2422957184376061,0.2419434075797986,0.2592565277418013,0.23457371276802397,0.23469671192939012,0.2263552974743227,0.24287220311396007,0.243422175399981,0.2861669972877422,0.22270015191634585,0.2479263988074889,0.23823872427001258,0.25529101525571796,0.20937782388314652,0.2430342636251981,0.25402852079699134,0.24192671060686366,0.27525174127803065,0.24923841743703934,0.23487859357783314,0.2308949996109697,0.19968956620598388,0.22398377242672396,0.22046422301584834,0.268851442444037,0.26430799808577055,0.22837215327378613,0.24986923953351758,0.20883930298685405,0.20395606269350675,0.24444584323017027,0.2585492820216021,0.22966419044535824,0.24761000628876895,0.23492005917165293,0.26145986782655617,0.22413320451992214,0.23419176299396094,0.25514766023537383,0.24522847045032103,0.22422624997619056,0.24609666277748132,0.20448051805933332,0.2560001211485462,0.224743639231466,0.25091625785611027,0.17189869283868986,0.21341108956306631,0.24121958956319256,0.24083715958447982,0.27401905582817887,0.1887241263116194,0.20830720513065348,0.1887338836331296,0.23378296995610715,0.263607014472956,0.17488369358398603,0.28126562227702967,0.2351895326999598,0.2064143671430958,0.2200815835593043,0.2245145058546102,0.24356746049408529,0.2488051130552943,0.21315490994462694,0.23315361567213733,0.27071108278538203,0.22008406198897923,0.22492100406174775,0.2646346324236568,0.25152106539497643,0.218104478339341,0.2483348073836723,0.21515538861701666,0.24108420463354552,0.22899961986847173,0.22813941112969716,0.2652280757261204,0.2601898372301621,0.17667310476142362,0.22019447677360515,0.24701479675373073,0.23952304008558356,0.25131568567525553,0.23513134751455345,0.28973844575229746,0.2343428729820216,0.3040506030625272,0.23786997097388085,0.24132975894235087,0.23332584356048003,0.2352790808466768,0.23184856699679357,0.20021819235328064,0.25328022913362636,0.24548963950188118,0.25033358271895645,0.24732783726735597,0.2465585456450542,0.25740299828262236,0.24461321220515886,0.22028381767817173,0.2527365799053528,0.23341625500208285,0.2391174559817547,0.23851142289576777,0.19216833779953235,0.22723733079429553,0.1842042891483664
Unidentified_Neurons_Ctrl,0.17991571657594896,0.1756565227312169,0.1773139308070948,0.17935356664015534,0.17581776792734138,0.1717988229140175,0.18120937944344484,0.17824859877035582,0.171991876254163,0.17576516882113602,0.178923398502293,0.1786752905662572,0.17688115527775716,0.17879591481237445,0.1730128847710931,0.17500724003609303,0.17578623305213603,0.17798769446630913,0.17786300421556167,0.1759425864521117,0.1769967373907132,0.1776134336895272,0.1773650841168246,0.1762134812341305,0.17597036543813394,0.1793930127007014,0.1793301716771638,0.17567988698721615,0.18033966513594246,0.17076344823889278,0.17645755796116358,0.17657216426655797,0.17325737992998635,0.1741333972146375,0.17322530234642464,0.1690383619915442,0.17658419130041103,0.17615848710961712,0.17531923892266343,0.1745644389447315,0.17385036673384713,0.17651364526992686,0.17395550049327946,0.1792121742133862,0.17774420453581397,0.177990151549275,0.1792590355491226,0.17704803607343567,0.17078480136205254,0.17831499846960697,0.1778973996386144,0.17932186904173952,0.16813894720294442,0.18514438610668293,0.1786681894106329,0.17325499676279477,0.1756023022112957,0.18435203840667358,0.17823916088065073,0.17345383140460202,0.17976058710610532,0.17285049950869136,0.1692684497384298,0.17796440533380076,0.17663424232625702,0.17196146072319696,0.1764191488196576,0.17863047296239953,0.1800335153035839,0.17804321962215075,0.180800382019077,0.17371683525247072,0.16987108480483493,0.1788847850388633,0.17202475093075398,0.17605193400914043,0.17465466968398435,0.17966520941957942,0.1773255205713764,0.17861524848287136,0.17672254256840492,0.17889463136341177,0.17906891719530438,0.17658427410731325,0.17607503215263454,0.16960479530739658,0.1728767306015716,0.17590805045846436,0.17781959623261423,0.17449882070217793,0.17554954295391312,0.17478454053727965,0.176081373386059,0.1761174122267669,0.17705868718595474,0.17674754050982233,0.1793238544385417,0.17959797817890755,0.17222802693315387,0.17216018382528953,0.17474754398032055,0.1772304623696458,0.1771843766824479,0.17567705416147195,0.1739437088771395,0.1755606954219685,0.17809936262370052,0.17569215679488115,0.1778053042412463,0.17841302014292748,0.17638962801289582,0.17581083767030814,0.17729995660581221,0.17111954647600525,0.17772258203597013
CA1_Ctrl,0.2230449866806733,0.1884949893919795,0.21402809858872163,0.220512007512074,0.18604293111490766,0.18386361242563642,0.20524455123877727,0.20050841164798894,0.18142346851503321,0.21311765755076129,0.2149556821064198,0.21585306136379667,0.20822350898485387,0.2179790489188539,0.18502637384537846,0.1969150231969965,0.1979323492920827,0.21528682382168896,0.2079193752963142,0.21194590018760517,0.2080439225994386,0.19851750441638338,0.20906962565784026,0.20210373003936433,0.20295051650191553,0.22157261507500203,0.2237574226126282,0.18594645007745836,0.23020493072021941,0.18458005999634153,0.1939916974411442,0.19713089329748712,0.18357694635665167,0.19138818008418235,0.2098335411185025,0.17355676989657864,0.2107742518340725,0.19305741953582978,0.23543350514478256,0.20269554594864592,0.1970321283272204,0.19935984179809074,0.2016334096541219,0.22250673295315226,0.20860219018559367,0.21415640070532338,0.22579147874004613,0.21414752773309242,0.17424008723152917,0.20348866190616466,0.21427319104892306,0.20607888462556412,0.16977829333028238,0.21203528905663993,0.21065315674116414,0.18512488031450947,0.18377847164040406,0.19978098130793498,0.2277500245576246,0.18823730862255594,0.2235026978663348,0.20198355894203068,0.17439581455125897,0.1825306964655241,0.2102986931061276,0.18791681531916538,0.20564920320202762,0.2163693833556004,0.21063514518823545,0.187785080969338,0.22818450374257127,0.19550843480320224,0.1755464664217442,0.22789610133970095,0.18814847451090033,0.18697305508286166,0.194260426841656,0.20340747403813675,0.2051777849434544,0.2251681153843038,0.20898404922619462,0.22120184662153086,0.22503394476336014,0.21068919509025608,0.1816991572385751,0.17385504942823138,0.18414012428934745,0.20731860816245018,0.20453571390444214,0.1968190281941502,0.20032485328540628,0.19951714074418558,0.21142248703764122,0.17437705272204462,0.21429439720916632,0.2145440442423613,0.2037155653871573,0.22018736062381683,0.18512482954050236,0.1717110386836871,0.19029831279734521,0.20182127481692003,0.208139502519608,0.21161128587903277,0.18387549526580327,0.2052105584758045,0.21000880496200125,0.2170942659340771,0.205504949285365,0.2194343688527849,0.21021788138112807,0.18530231340923042,0.21467414035428867,0.1796327363548419,0.21113275581483004
Dentate_Gyrus_Ctrl,0.24666696529544863,0.24247033254196593,0.23595907798386762,0.2379112457397765,0.21128630491177114,0.1904418561935587,0.23147707480132618,0.2293025354593986,0.24234116450609178,0.2321658115136529,0.23786402778295557,0.24771434429296657,0.23764900802127087,0.23278679938181013,0.19372031111680166,0.21464122170889122,0.2189586104575244,0.23564416225276674,0.22649471527361587,0.23965868701831605,0.22895293792195537,0.2245859803841409,0.22713993375884156,0.22538288978689258,0.22437735230912192,0.23497140540350558,0.2394347481113368,0.1984959270538591,0.24017134010544616,0.20106653451475054,0.2177650584611348,0.22123599487698664,0.19843454312125475,0.21157688240689687,0.21345643196512842,0.17897129649892285,0.23168346573877496,0.23154043406291624,0.2511080673754299,0.20834102517517306,0.2168027132094722,0.21839814117156986,0.23558491482133437,0.23778716035624703,0.23130634427643437,0.23809163076994533,0.2434860708427362,0.23519896483117497,0.18367774349575072,0.22669279792989805,0.23032009624308358,0.21819573542430026,0.1700030837241986,0.24834810098211946,0.23561029887466545,0.26097452639006324,0.20069462185504594,0.24561739939396277,0.26866874874905255,0.19557164527199322,0.23594722700940896,0.22708371953140005,0.17890430662677737,0.1993169777799284,0.23667105535700483,0.18725920920124217,0.22469968955249364,0.24789681577016642,0.22188265874333557,0.20060674431233505,0.24209404003054402,0.20657705213335176,0.1836121926228721,0.2549361252688567,0.19485333678446293,0.21240639216427915,0.2418563781768086,0.21066919003428097,0.23243366541011246,0.2660141292243704,0.2287783135629421,0.24373055875181526,0.24455143863100304,0.23012460143767577,0.19667169261536022,0.18322242890050766,0.19371740940300353,0.228959689138856,0.21786438546968656,0.21823177563592033,0.22196700049715246,0.2097873055980065,0.2316509981399102,0.1929517217818636,0.22505415322347355,0.22794515057306286,0.22261873401245924,0.234421998032033,0.1957506988740616,0.17886954632048135,0.18781195961547192,0.21936077132639964,0.2268547436674314,0.23253351364010388,0.19843119550045007,0.2265907167238842,0.23528963433872763,0.2573680150997639,0.22642357838766947,0.2418775489822096,0.24084297719158576,0.20014605363178872,0.23552748373291688,0.17892627277502815,0.26656537130504254
Inhibitory_Neurons_Ctrl,0.20410695520232636,0.1870488990520186,0.22046086372749474,0.20366836710612324,0.18047111702872876,0.18304679925047374,0.19236936942731275,0.19763559912520712,0.2534135566701665,0.23629413559219925,0.22096611030600088,0.20043790285895202,0.20294631086545134,0.19742549640044027,0.1840081505372957,0.19163218984742258,0.1912132876413728,0.20030317208304582,0.19600520312157788,0.2268667442706902,0.2069696355070686,0.19032357622592222,0.2019304994406268,0.19723104240456502,0.1942607680106152,0.2038217077603719,0.20184562815283347,0.183002130361687,0.20417487841164228,0.1897631785178503,0.18721489139334901,0.1871308543221637,0.1794239707429236,0.18503175091190205,0.18806440916991218,0.17319887945164048,0.19667732247709502,0.1919939998171839,0.19713859281958068,0.1900319579459011,0.19442768342669658,0.19024788246590352,0.18164380763826204,0.20106298467466177,0.1972972107963451,0.19991276807556446,0.2023575606626521,0.19916193853632136,0.17399541781477434,0.19500171719877324,0.2557175987765099,0.19470623056565795,0.1737540435650663,0.22188489633658848,0.2005865125518077,0.18724168106541905,0.18510591325573456,0.21474744738694074,0.1933707267180096,0.18732551234000416,0.20232793445931352,0.19284189705657506,0.17179060136658064,0.18383453302793828,0.19671470099554955,0.18283023741938753,0.19408002560801496,0.20673890841617326,0.19285796641420228,0.18318273627069648,0.2144805698374056,0.18645455842117853,0.1801809361288238,0.19814021718943675,0.18530509004944873,0.18916077862835368,0.19120654704588114,0.18438729011689226,0.19652653861658087,0.1995195714596918,0.19608136450644265,0.2047440555091682,0.20182389657200273,0.19711720897892016,0.21273779510824709,0.16972508686924914,0.1874714817274835,0.19893685417368945,0.19684814693202057,0.18894603542008714,0.19578451490600113,0.19661399540446045,0.20355627038547108,0.17496534626821791,0.19918158397211938,0.1969123748744398,0.20209235087590793,0.206754715305295,0.18276407176284593,0.17565933899361064,0.18400268037296552,0.19256066936485683,0.19655346450747435,0.19930985826453262,0.18947299993490951,0.19358847930082956,0.20040685235038036,0.20836458265997249,0.19646433340173453,0.20113430499324547,0.1964112901685935,0.18429885305211102,0.20285543712471332,0.18452323841588747,0.20468193820132763
Microglia_Ctrl,0.18630309175052517,0.1960735261147306,0.18469845930768314,0.18809252713648206,0.20848436697897765,0.19840708914751926,0.2042714962652169,0.20558748721808706,0.1850535960898334,0.1839068701576917,0.18622793269828908,0.18188301182304734,0.19309693678670503,0.19366919704002938,0.2029639403350466,0.24701934796468628,0.22548920246190884,0.19835896534742692,0.19682542904232847,0.17634908826841877,0.20154902746880077,0.20502164703994252,0.2061298545408956,0.1915577575783015,0.21461893013056077,0.19126347071785932,0.18914108834830956,0.18190633676788348,0.18636811156999122,0.18554062740202748,0.20563059454309562,0.19756378964611232,0.18885612251977524,0.1879658404611958,0.18607454811851765,0.2330737304790763,0.20737247254774138,0.2128089960513201,0.18324943897154744,0.22308673439162752,0.24013465372642984,0.20676721512054885,0.18946101796746406,0.19039077531680093,0.19593336988430765,0.19290934735598542,0.18763800702999567,0.1933536871078857,0.1935268748151494,0.19874048384761045,0.1764075579305978,0.1952662022227748,0.3031669407677061,0.18002455932627437,0.1915959883851287,0.18935596534605337,0.2037871358181772,0.20654074672284162,0.18340362323970538,0.1849349013576821,0.18978075660740024,0.1803997614548014,0.17667478248471358,0.2087837968821875,0.18507095490945102,0.1991531925085951,0.207041825104622,0.17987022555125942,0.18568010616108832,0.19856638871043775,0.18337599236063995,0.2518245327119557,0.1735925379807085,0.1864294544711791,0.24455018157095731,0.21275262746125168,0.19393871074241664,0.18386325085036992,0.1958053093441584,0.18244472103889686,0.21532632530067208,0.18941796255254173,0.18897563571112042,0.18597613361907261,0.17205001242307327,0.17344679892907355,0.17492817069574185,0.19578339375431808,0.18494015150965493,0.19389750686859752,0.2339423258914891,0.18255456180998764,0.18953333985070175,0.21186504187699118,0.20009700024253219,0.19468402095639847,0.2056046468387409,0.1900405229382679,0.2625170349237016,0.19065069945161628,0.19701275176882982,0.1980127712663563,0.1890634317497767,0.1851715357554894,0.2471390021423897,0.19538252528766553,0.19697875415518162,0.1850961290643548,0.2003183539028044,0.18869907632048155,0.1945615420007326,0.23831328359796955,0.22375645160067037,0.17979756518451706,0.17540073241745857
MOL_Ctrl,0.19006970381017174,0.19299644305355534,0.18798561491145227,0.1924682895046529,0.18687237104425303,0.22736536425567755,0.19266122110696093,0.19464611221724304,0.19640237313628428,0.19029031428157817,0.1909592353654721,0.19221537161109392,0.19690665695043408,0.19431696283538968,0.21448465813281037,0.1902331621772222,0.1968802731337086,0.19432681996806445,0.19830502341011935,0.18975852203842192,0.19493275486069983,0.19708619192183052,0.1958357100799113,0.20805190675498453,0.1984637750160385,0.19107222622974507,0.19066920133045495,0.1845631448932359,0.18833633182191545,0.1958360909783301,0.2018414348756603,0.20417867793545907,0.18814563589764088,0.20555109261987115,0.1883795502311041,0.18494155590139827,0.19726968578045911,0.19922442704084442,0.19061115210715662,0.19653707734073966,0.19337878575642098,0.20041946621462736,0.187580942852008,0.1914972800616348,0.19777417987856172,0.19612069680276767,0.18858156791194247,0.19681336724374943,0.18070696976563838,0.19749515584304567,0.1853522560868065,0.19562258777657238,0.16950019066682365,0.18423831856307593,0.1943942750791584,0.19348132045793498,0.20321269981360424,0.17671757282811762,0.18162246048316588,0.17829072578564564,0.19117540488063334,0.20489434665153017,0.17442226015851958,0.19995213846719917,0.19295422363703207,0.18968348465333695,0.1919941352341381,0.18812498222119278,0.20216559042405902,0.19488759552372692,0.18388926776011572,0.19184299175043595,0.20920225051437058,0.18662538490905622,0.1935066389333363,0.19928889662194937,0.19787338499216156,0.18140849426970707,0.19675474303452467,0.18487553033002824,0.19530814878191827,0.19056847227405127,0.1897561949982013,0.20557101484676732,0.2043682486058065,0.1699441669036741,0.19460646829585182,0.19823968425780036,0.1961458308360985,0.20534844116396078,0.19301268198767707,0.2149818753573508,0.1950107541258541,0.20416915826358195,0.1930619290807013,0.19599507192702126,0.1943462231046006,0.19231370079492638,0.19409539660975128,0.18231017578195996,0.20699362520184628,0.19438342875916326,0.19957029579454943,0.20224866524987006,0.20147005449486222,0.20269753106479926,0.1960132507075274,0.18619618601668853,0.19724894908516355,0.19253802537049158,0.19435557647333734,0.19397390422853356,0.1771824558471592,0.20310653631649112,0.1749712413616844
CA2_3_Ctrl,0.19548213249457813,0.17627528132920656,0.18853715660493775,0.19530214967750703,0.1971826709536142,0.17320130527695332,0.18567807539942405,0.18548259208465534,0.17416935614059514,0.1888523481374078,0.19077090481684977,0.18804582957124227,0.1921170665752273,0.18905791050639043,0.17348143913530778,0.18161066033539852,0.18129534439557815,0.1905919530122796,0.18430197268523085,0.18058637217763884,0.1880997229920297,0.18139519958702643,0.18757590371972754,0.18306053194207716,0.18451772810538702,0.19185810166704687,0.19321196912153205,0.17656690264887787,0.19608480607190393,0.17268864027133246,0.18004640547223882,0.187300179752817,0.17438394246718414,0.17812253313316118,0.18616813174948443,0.16981782024323056,0.18842166960475426,0.1818114721933668,0.20480035103897576,0.18096501843919977,0.18307356121269958,0.18343831827846357,0.1807003283215607,0.19295354690766187,0.1867027045916304,0.18977450577681565,0.19933325570499705,0.19435475022336346,0.1704090198216175,0.18334237488783744,0.1867096108426607,0.1838716066702869,0.16791514974980692,0.1850801580502378,0.19030484602336595,0.18500242794635713,0.1739353885052788,0.18289454268595806,0.20753675176866104,0.18008441647252815,0.1949200958539009,0.18487812281146798,0.17103375628733175,0.17450192324934044,0.18794955506497613,0.1770301724298443,0.18404963807432506,0.19089422249725652,0.18455002229210704,0.17884142083728094,0.19669330813525832,0.18007862239316497,0.17018888291470047,0.19945154859598413,0.177541402885106,0.17680823799935474,0.1839490850850427,0.18137119918281652,0.18525557702010242,0.19633197610675268,0.18714849061395478,0.19458240015379524,0.1954407553149845,0.18910510112149082,0.18513142816175554,0.16934455743339494,0.1784420220774574,0.18794209863981703,0.18553071571739743,0.18440175839914374,0.18270265757909432,0.18215111750376323,0.18524414216399643,0.17003032257471962,0.19094003012182215,0.1906160183265836,0.18435316770245824,0.1924837337811539,0.1749501891178289,0.169521920707846,0.17798639898496071,0.18110994663872737,0.1869023631400798,0.19137011707664175,0.1762335424571735,0.1889404304319433,0.18992013760017057,0.19393756721508348,0.18530975707392272,0.19386401981978152,0.1962595098001838,0.1758020186590643,0.19172601917623522,0.17312792285696743,0.19383045524585518
