,Atf2(+),Atf3(+),Bach1(+),Bach2(+),Batf(+),Bcl3(+),Cebpb(+),Cebpg(+),Dlx1(+),Dlx5(+),Dlx6(+),E2f1(+),E2f4(+),Egr1(+),Elf1(+),Elf4(+),Elk3(+),Ep300(+),Erg(+),Esrrg(+),Ets1(+),Ets2(+),Etv6(+),Ezh2(+),Fli1(+),Fos(+),Fosb(+),Fosl1(+),Fosl2(+),Foxo3(+),Gata2(+),Gata3(+),Gli1(+),Gm6871(+),Hdac2(+),Hoxb4(+),Ikzf1(+),Irf1(+),Irf2(+),Irf4(+),Irf5(+),Irf7(+),Jun(+),Junb(+),Jund(+),Kdm5a(+),Kdm5b(+),Klf3(+),Klf4(+),Klf6(+),Lhx6(+),Mafa(+),Mafb(+),Mef2c(+),Mef2d(+),Msx1(+),Mybl1(+),Myc(+),Neurod2(+),Nfic(+),Nfil3(+),Nkx2-2(+),Nr1d1(+),Nr1h3(+),Otx2(+),Pax3(+),Pax5(+),Pou2f1(+),Pou3f1(+),Pou3f2(+),Ppargc1a(+),Prdm1(+),Rad21(+),Rcor1(+),Rel(+),Relb(+),Rest(+),Rfx1(+),Rfx2(+),Rfx3(+),Runx1(+),Setdb1(+),Smarca4(+),Sox10(+),Sox13(+),Sox17(+),Sox30(+),Sox4(+),Sox9(+),Sp1(+),Spi1(+),Srebf1(+),Srf(+),Stat1(+),Stat2(+),Stat3(+),Stat6(+),Taf1(+),Tal1(+),Tbx3(+),Tbx6(+),Tcf7(+),Tcf7l1(+),Tcf7l2(+),Tgif1(+),Trp53(+),Usf1(+),Vsx2(+),Yy1(+),Zeb1(+),Zfp143(+),Zfp217(+),Zfp652(+),Zic1(+),Zmiz1(+)
Astrocytes_Ctrl_1,0.17259712654975023,0.17884249750027814,0.17280150106471615,0.17399540087611987,0.17687675599739616,0.17387177991157787,0.17520473804675707,0.17470838058607763,0.1714180427222579,0.1718063106115847,0.17294389826769474,0.17487403870816454,0.17437655517625827,0.17402319661439636,0.17491756723170093,0.17326472324602582,0.17460864394759656,0.17417072249922216,0.1750667001505446,0.16912200711917824,0.17430699325181154,0.17435765489700827,0.17389064154747025,0.17393090521490717,0.174894518852601,0.17385802023924368,0.17414998418367234,0.17275424708802534,0.1728984364642887,0.1804921161206574,0.1763947354741171,0.17152289337925486,0.18991928281006454,0.173514971778869,0.1708847812273695,0.17825184744552935,0.1736264259551833,0.17411751652883833,0.16968613728197646,0.17526182253107947,0.17345238832821996,0.17636568736377556,0.17806888370498275,0.17424000318474497,0.17479296247919163,0.174137465425506,0.17368549903290809,0.17443479290117547,0.17588595813091845,0.176130619966143,0.17133371084735727,0.17521201469603975,0.16828609961940788,0.1734935412221853,0.17492585472283984,0.17630139107040188,0.17431379889102605,0.17179404295311473,0.17213642482478175,0.1783464161344812,0.17367107151087002,0.17540757450833488,0.17566149246727636,0.1742119359590416,0.17701079811399756,0.17436291433192086,0.17288849631906145,0.17639376078821178,0.17805715714452686,0.19573011439679633,0.1748313018326333,0.17269725786410373,0.170461194694839,0.17242100914477443,0.17614396229783813,0.1762485755636749,0.17875526727929725,0.1734477482618394,0.1781107713501926,0.17275805126844246,0.17335265718487813,0.17382908432297484,0.1733512232713894,0.1737535591888263,0.18332397454705918,0.18008486878546226,0.17562679056750663,0.17564635086682912,0.1894306081312228,0.17360366239256653,0.1734231536200419,0.17609292351088934,0.1738059449575119,0.1753068527032473,0.17522093766571922,0.17696230107924016,0.17502665473371937,0.17388385847669585,0.1742652127935609,0.17276587702630164,0.1801199897430159,0.1742634196306806,0.18019361179137472,0.17572946993603833,0.17395607797474533,0.17647646974822107,0.1744495710710886,0.17192974523825688,0.17557249075821613,0.17457453686503743,0.17219722844567076,0.17899499888933834,0.1711137208765443,0.18303482877565813,0.17096533057855368
subiculum_Ctrl_1,0.19709345511032805,0.18351626131565868,0.19987588434393633,0.1949745482674493,0.17376916580208346,0.17680624124459965,0.18745077388451892,0.19121959642210207,0.1740010550374732,0.19181410048851155,0.19265797911168692,0.19965415956097343,0.18993731439973394,0.19367251467801072,0.18029856941038003,0.18497785900014752,0.184394742696108,0.19178856166435054,0.19118638821753475,0.2056133044324614,0.19015144224829172,0.1855921304683742,0.19217399124599155,0.18763020264751307,0.18657785563269014,0.1945468083125239,0.19535565811122257,0.1781542285985973,0.1984380520248038,0.17954731623272746,0.18148840247322517,0.18084240850780875,0.17465054344469655,0.18201850286392496,0.18233792955751693,0.1709667256447308,0.18989952452345027,0.18428041712394294,0.19045148486627017,0.18121427641237708,0.18456549048073922,0.18376061969904112,0.1798551471643608,0.19419319677184665,0.1886540743268662,0.19118255389326044,0.1958491496306043,0.18917334262732854,0.17172714860382132,0.18864064067660358,0.19165759009172167,0.1958681134730007,0.16894407304407055,0.20560786694471989,0.19155978411855423,0.18357587059808933,0.17569591479055535,0.19988050418655412,0.19239783967641677,0.18986090781048148,0.1954129964703173,0.1809076855441033,0.17588374658582018,0.17736476161219894,0.18972894229262016,0.18050675163128393,0.18646438960825895,0.1958343450480886,0.19440448188866077,0.1863718741163296,0.19937780414075268,0.18082118877409503,0.18611548794053778,0.19541411337501602,0.18191142198612786,0.1780335174548151,0.18411835041169244,0.1879322359191915,0.18868688776168674,0.19541217046402115,0.1888626533343637,0.1942324544047832,0.19506621704820015,0.1899894221530889,0.18987880197729445,0.16999880564892966,0.1790003301094053,0.1899542578324681,0.18915725006963513,0.1856877541140639,0.18557319923680105,0.19032447893988735,0.19458957738603888,0.17084914091074554,0.19112478451256698,0.18940956973866696,0.19628763443589547,0.19537062852584686,0.1785832333733568,0.17104701145150658,0.18856171708245595,0.1837127266781159,0.19053972999712343,0.1899039645647811,0.17949671532917488,0.18750870835044975,0.18908274053545815,0.19306688873856992,0.1876239984935929,0.19464037612994234,0.1854375571523309,0.1786540531208206,0.1965896874005909,0.1751317168965839,0.20908725646056836
MFOL_Ctrl_1,0.19437416408314478,0.20024560853901496,0.19325177239286273,0.1977157211162972,0.19924310153171687,0.23278720620971605,0.19961693630231825,0.19952289629020248,0.20900694016233134,0.1978890940592095,0.1971676259852302,0.19461721342646565,0.20212892724602982,0.2014024768404692,0.22480603649082287,0.19228074544513374,0.20303290144710873,0.19935405861103528,0.2062887231107785,0.18601971626245395,0.20089238019403655,0.20511154959863198,0.20109116526106452,0.2161861827207021,0.20430350406117603,0.1968802554629423,0.19580786021019414,0.18746301738275561,0.1928231068896984,0.19800430171042682,0.21126121895353767,0.2016100815630869,0.19237674372891744,0.20619531263825885,0.18849571439010981,0.18517726966883086,0.20268921279898056,0.20784696664091795,0.19597378902349105,0.20236381012742966,0.1978217195939449,0.20858605128282237,0.1941666220913143,0.1967739306598676,0.20621631051165978,0.20245330193152533,0.19294788513080496,0.20266622762820785,0.18541742971619146,0.20589079060436788,0.19297479755936287,0.20514543452221823,0.17002110814730453,0.18872265772294117,0.1992667337251025,0.1985877111143719,0.21334736022156575,0.17750872049748534,0.1846571139055101,0.17881012263644513,0.1968999485325159,0.21089252885269216,0.17036586415071397,0.2153662151187561,0.19481807116942484,0.18966588508540616,0.19252190565832772,0.19238265591790682,0.20226183265905517,0.20248372883251187,0.18760720539880826,0.19665901636474759,0.21846455044150392,0.19077500829975835,0.1947844739331397,0.20808289543266045,0.20470494489196045,0.1870182104112741,0.2026718981718546,0.18832866467454012,0.20081277095022232,0.19504618027881004,0.19457489594344446,0.2126577820070702,0.2089787154253785,0.17107255694242973,0.1990552221275541,0.20386520226970006,0.20056549528087064,0.21045943611751228,0.19790584957440427,0.22402462208986773,0.19807357368982959,0.22396471497929094,0.19883694377986771,0.20087094666912386,0.19852196948646073,0.19773991997642348,0.19755836857764708,0.1835997629432713,0.21201226940604312,0.2003867858826408,0.20502880922451794,0.20505178956617276,0.20454634070245448,0.20755673447173617,0.20172425607513156,0.190327824048523,0.20476146959418207,0.19738921647802998,0.1996771581152671,0.1975365504247878,0.17937662458561265,0.19545124376372192,0.17498506476880715
Unidentified_Neurons_Ctrl_1,0.17324200816724233,0.1703829691471198,0.17215648943855044,0.17294252800228138,0.170316805177673,0.169250560587491,0.17362112475941438,0.1721939484049323,0.1690670005402366,0.17129653793222743,0.17270787372476282,0.17296347001231183,0.17153158829597415,0.17249952679874736,0.1700559079284858,0.17087503793799308,0.170883347693234,0.1721522755010797,0.1718259996577125,0.1716445106176654,0.17157013344622396,0.17138793187048396,0.17210565828828117,0.17122924407077045,0.17115382971686133,0.17278082237370362,0.17289175275982838,0.17041559251563165,0.1735765647963946,0.16900209462399052,0.1706689035206379,0.17041584904670193,0.16929538732919913,0.16981386905509643,0.17039150318298724,0.16823856072159493,0.17164446837959235,0.170973708255591,0.1712279594645284,0.1703077739510439,0.17011297675593873,0.170916139320356,0.1698018582701697,0.17269323923077773,0.17162043853197806,0.17207802225228752,0.17296812138973372,0.17168503710932737,0.168691514224666,0.17191552129557486,0.1725851468320836,0.17273917730245947,0.16752290231024036,0.17673348440739445,0.1724381527144041,0.1695642668874302,0.16983400830597561,0.17650841412883933,0.17226483818005134,0.17028654907371066,0.17317047796198792,0.16992075217602787,0.16837847103947023,0.1714276467769602,0.1711641639749505,0.16958556634148125,0.17154697957430132,0.17272247140114227,0.17343462673839527,0.17220175350671785,0.1738121322391637,0.16968562592860148,0.16865870896474622,0.17273919110696234,0.16919922562325584,0.17073454656668818,0.17009757682706728,0.17263619713024148,0.17153885071977026,0.1725900721983602,0.17171575348076817,0.1726774032307884,0.17273304726315764,0.17172134242534753,0.17223684693984354,0.16834415951413662,0.16955048380151505,0.17130702625596106,0.17225946451995144,0.170265374032474,0.17099947304079,0.17067661342580154,0.17113567652083317,0.1697268141090872,0.17157643801781453,0.17167398715498805,0.1731032006630686,0.1730613422857573,0.16943336672045572,0.1693945463958143,0.17095680055345308,0.17122743698488585,0.17193841812035038,0.17138030382202474,0.17039539313071228,0.17097039047465956,0.1718922531201338,0.1707093637372904,0.1716755582104511,0.17258294842934185,0.17146018923066042,0.1705906246592218,0.1723641426210729,0.168665029462304,0.17280803408048573
CA1_Ctrl_1,0.18807384195053034,0.1737103426379597,0.1844285616330068,0.18725506256940072,0.1731156897677446,0.17369659146177074,0.18001245415614953,0.1785473743802023,0.17182740391468876,0.1842253862492642,0.18492095498806893,0.18518417517413577,0.18163645968026254,0.18570816771935417,0.17420456032525122,0.1776920039172396,0.17784893356279474,0.18493137725034592,0.18170643798640695,0.18330480731053278,0.1817915567749505,0.1771966671677695,0.18257120236153257,0.17960027408820822,0.18012140871046456,0.18709951848001916,0.1881791888764519,0.17456022314715625,0.19120125959592738,0.17318728214704004,0.17597066849348808,0.1747908894960476,0.17148437013936924,0.17466229824020296,0.18545945651325224,0.1707308956927468,0.18333646623584665,0.17574608964509308,0.19339606888378869,0.18137166821154738,0.17798956175060987,0.17817858039618295,0.18001800826255066,0.1877419248423976,0.18161334747973823,0.18427806552401504,0.189455293053997,0.1845777282481601,0.16980074215134067,0.1795878550579023,0.1845524858975569,0.18111980187043053,0.16843086378375471,0.18387532856524402,0.18296356697791427,0.17299081993262466,0.17148539903840077,0.17836025120821253,0.19067257511468583,0.17400587944033397,0.18846306219559827,0.1815230717320404,0.1704566564217822,0.1723648709170683,0.18220442658337288,0.17495658402419312,0.18055651945560136,0.18525399702885204,0.18385725862590774,0.17457914014911424,0.18993842383924364,0.17719690758400441,0.17044199475921584,0.19012933222899153,0.17425957195560737,0.17322177307735043,0.17613827128542925,0.18176086336872432,0.180230316116898,0.18899873130063594,0.18272995862389818,0.18728186353395593,0.18899035732441227,0.18339756411055474,0.17205860375345505,0.16855171154201598,0.17254147727448543,0.18223430630711845,0.1808910274525164,0.17774508818542945,0.17898392763399995,0.17882388446224473,0.1828726043673118,0.1686168466800887,0.18432007461388267,0.18492114080554867,0.18059934560348323,0.1869742190269842,0.17356257364242555,0.16838406156411734,0.17574330121136084,0.17932742316091232,0.18228176033989818,0.18418064382580934,0.1728672423402663,0.18049567781863796,0.18202008973243744,0.18550282780091276,0.1805986542425324,0.18665300826349018,0.182967073251733,0.1731959355853585,0.18554300335844287,0.17028123058231004,0.18288665052548359
Dentate_Gyrus_Ctrl_1,0.19447534217136286,0.1934727704063065,0.19060977769838816,0.1913750592903477,0.18176134244797149,0.17465581908665706,0.1874276606211568,0.18744562365308937,0.19285446907087367,0.18920986559642095,0.19144527792539223,0.1945859299819167,0.19076553555966713,0.18873005730259174,0.17644842073423184,0.18291309279796852,0.18352157085203413,0.1901946120587531,0.18605898486415395,0.19343318657232744,0.18753175630976582,0.18546553840515945,0.18747421089998106,0.18614021556810267,0.1860472377508835,0.1896627020580891,0.19164996456648198,0.1810168957735766,0.19232673714913995,0.1797227516998644,0.1821459483398815,0.18009149639672573,0.17513225017192202,0.18167199760882036,0.18502504646421114,0.17136563561992757,0.1891917345192342,0.1880127205476757,0.19702130434007914,0.18051138947936318,0.18370040836789037,0.18259140819955888,0.19055179282498846,0.1908153415309316,0.1876795779723155,0.19108440406000682,0.1936067427026511,0.19006138896485147,0.1724004689608396,0.1857260288071072,0.18887144061931582,0.18354455232693245,0.1681337198982905,0.19601606278577566,0.1896370477973368,0.1993008772870586,0.17563678834465624,0.19619012376054645,0.20313770646452056,0.17803896412141806,0.19036302047987397,0.18942028552149137,0.1723905612365515,0.1753236011752055,0.18969665410632297,0.17489370346562483,0.18800573284739353,0.19475718081517235,0.1863154918714065,0.17678347841142317,0.19280314471588766,0.1792489574548417,0.17254708694681997,0.1977332884245544,0.1759266333421421,0.18068399920321332,0.19171525260494515,0.18592781005811565,0.18817922494986417,0.20198049843534416,0.18802879609404965,0.1933195016698498,0.1937557305277685,0.18884319761624613,0.1768210005664771,0.1737957532529325,0.17852486300521664,0.18835351275895085,0.18437613089587102,0.18368731076040368,0.18506330803976678,0.18090617637512496,0.18875828670511063,0.17235653490415026,0.18594584706065598,0.18771405371677585,0.18610370836843482,0.1897983832356519,0.1764426170972283,0.17072287072765535,0.17493384222017705,0.18384626838765727,0.1873433798262567,0.1905689603469598,0.17744992232687962,0.18699120494316734,0.18928672061329488,0.1976447409422697,0.1859725023616925,0.19280444125789198,0.19236498038863148,0.17653667374608895,0.19115182950180443,0.17038346417757788,0.20317212737857548
Inhibitory_Neurons_Ctrl_1,0.18118144988207707,0.17423169119046777,0.1884719889259291,0.18111003618933508,0.17207643332106148,0.17318033897833807,0.17599280848632548,0.1784326109437493,0.2008259919899933,0.19428994298656255,0.18783485987396642,0.17951089591649283,0.18061601714948883,0.1782420666740241,0.17323261016759717,0.17644406929517897,0.17588823184044233,0.17972098441001483,0.17769391916927368,0.1907102841390016,0.1822029516684026,0.1750887719159453,0.18042774472937984,0.17837565006532308,0.17723558080423218,0.18088671160591308,0.1802607027563079,0.1742302730905213,0.1813626852885597,0.1759508489011612,0.17393826924693812,0.17241918285665103,0.17052184147357263,0.17313070440022738,0.17560599051432024,0.1694955228660241,0.1783491186728865,0.17612344437968208,0.17911216489782156,0.17594297897980382,0.1775440477005955,0.17535603091577867,0.17229908533039895,0.17988405853178424,0.1780785127912674,0.17951956224414722,0.18057993983165077,0.17922868184537133,0.16908631407701125,0.1771008550030203,0.20210904937469287,0.17728343943667502,0.17010670260441618,0.18864496156542365,0.17954555406220463,0.1746534775090931,0.17307743794516828,0.18622651267779722,0.17703467235398274,0.1758107232623244,0.18050168923486642,0.1779548455691402,0.16917042826008366,0.17360304625633116,0.1774907453943828,0.17308913125180703,0.1768467114739567,0.18200181308018326,0.17694234269433162,0.17270586287487677,0.18565401381538638,0.1740148133593914,0.17342841456706415,0.1788545931881107,0.17385952599728505,0.1750855138282491,0.1756633836743744,0.17440365093765398,0.17787487999195029,0.1794335920935889,0.17806952562189227,0.18140579949888502,0.1802306430995303,0.1786183082680297,0.18425175027536544,0.16813153369288036,0.17518026542874132,0.179464455097343,0.17839006776451993,0.17548243353683202,0.17794858236354327,0.17816765698725034,0.18073350299924507,0.16919488708409647,0.1791650028143742,0.17838528678153953,0.18048999081922434,0.18229930323280008,0.1729883876346916,0.17041811627561132,0.17327759716730184,0.17551756820455577,0.1782386299745532,0.17956773252963176,0.17610699562885102,0.1766509697105998,0.17963348424195724,0.18280040608475145,0.1778647622691294,0.1800610784045158,0.17747189541086428,0.1732514617914953,0.18136138500195298,0.1738930131269787,0.18246352657761356
Microglia_Ctrl_1,0.17651349603717525,0.18106240105381188,0.1760755418984108,0.17738634904342043,0.18671438480704305,0.1834295616392142,0.1857348666787546,0.18633778260632006,0.17559588494521472,0.1752381882457793,0.17624202430992986,0.17475067016085732,0.17975617585653625,0.1801248662470739,0.18666075591032194,0.20919862843069736,0.19721560525918913,0.18289720425026612,0.1815694806484357,0.17200210284609874,0.18440884193309415,0.1858155443736943,0.1872048047168564,0.1790846727999833,0.19151786247459668,0.178807652713446,0.1778702218232998,0.17746968305835353,0.1766106715600898,0.1776120776953053,0.18558023122551182,0.17841756294995914,0.17604757928853587,0.17799464597738468,0.1763391144120975,0.20711150730993821,0.18786124787196912,0.18995462222928294,0.1751792814308003,0.1957242963407375,0.20561974548664907,0.18650170692674795,0.1786560513857387,0.1784727143015289,0.18114154853317987,0.1798634530867278,0.1773526787948626,0.1801648964852578,0.18031066652828032,0.18231989421212813,0.1714685464574377,0.18101768407595176,0.24257041841952764,0.17349523172485093,0.1787817535544799,0.17807677208747819,0.18417892648785072,0.18743371274661214,0.1750045988336466,0.1782463548645402,0.17822668765370442,0.17411630551572155,0.17202370381034449,0.18639426526343983,0.17481414608217927,0.1866334465843057,0.18883193150698752,0.1731723730496958,0.17646801637572362,0.1822316696263795,0.17507189700996428,0.21173718577601075,0.17031306750133202,0.17663646328238247,0.20708187624905983,0.18958415959675223,0.17972502879617636,0.1750306802669923,0.18105837550207582,0.1746198891388363,0.1919907249297771,0.17829799283825798,0.17787020701310108,0.17651935520601514,0.1697858182138111,0.17174088735674764,0.1718648473219856,0.18166085494291095,0.17575861074361365,0.18036903646686409,0.20217980762785548,0.17454702262499777,0.17860394435017923,0.18709820970861435,0.18343973327133534,0.18086522585555198,0.18700929451076098,0.1783188813558273,0.2180812497101693,0.17940577405167124,0.18330093469856257,0.18171029578590014,0.17802091006686005,0.1763726987047699,0.2102655864221873,0.18100859819604764,0.18224605402476812,0.17562886601698258,0.18334272175772626,0.17789994697917433,0.18129363142193333,0.20503966922067385,0.19653654965683331,0.17318677974691554,0.17141319962562296
MOL_Ctrl_1,0.1769744910783022,0.17829260857462303,0.17614278117582938,0.17781590170757877,0.17354678185401107,0.19336281044506431,0.1775096127887742,0.17855190139721044,0.1794123115311692,0.17690805740774473,0.17708775720173708,0.17791689596493887,0.18012689059159603,0.17858755620529487,0.18861706608001994,0.1769110986509207,0.1795418583667231,0.17877732198689922,0.18010879322540008,0.17657021489023284,0.17868536608747887,0.17960941035091893,0.17936779698519456,0.18445190129010058,0.18043945685195983,0.1771418226775917,0.17717979801310357,0.1781247351174975,0.17612507744193628,0.1804296817217358,0.1811187243761404,0.17956264708264902,0.17501160952807693,0.18323165121295204,0.1777470195162264,0.1746180403873252,0.18009300190500754,0.18041204425038582,0.177212854390983,0.17902085656336053,0.17816206379611788,0.1810663523158047,0.1761640712754332,0.17728780547012368,0.17991083556225895,0.1795033061882777,0.17632391257523083,0.17969026219301854,0.17350254776741958,0.1795625646305533,0.17484429194713846,0.17904300297302034,0.1684003654858316,0.17444563493036847,0.17804948994375436,0.17739570187844433,0.18155522389570944,0.1710893158538307,0.1729998068189419,0.17345774223908583,0.17727187285244705,0.18275881662858562,0.17205068521161138,0.17938252905108854,0.17702138146323,0.1794887147371501,0.1780695712660264,0.17577375434597875,0.18226477363530313,0.17863283318352807,0.17415331714820137,0.1774133846493927,0.18685847239481457,0.17542101455843828,0.17875982449952255,0.1793127170714649,0.17969518896843106,0.17396461857267953,0.17918005922778069,0.17450853388821463,0.17914180090522025,0.17715676219611953,0.1767912600074223,0.18381761533381413,0.1828849028774061,0.16880237473195536,0.1802682742228492,0.1805288533417233,0.17960628112398958,0.1848234679771258,0.17818385319916596,0.18786824267308366,0.1789964060486705,0.18047686649242123,0.17811189794455695,0.1795101375442788,0.1789890045602608,0.17779591151323926,0.1790853410334785,0.17355415551684972,0.18581071759883605,0.1776936737384276,0.18090795272055615,0.18239615758275174,0.1821933978281267,0.18220697846039935,0.1795267168097796,0.17479257455679054,0.17945756557633918,0.17803773287472058,0.17897786770769342,0.17784397454357204,0.17207521284065141,0.18161368625556684,0.17034376381926042
CA2_3_Ctrl_1,0.1765117356595286,0.1696764235942626,0.17405597484818303,0.17652470928638753,0.17648843428960326,0.16902412453073024,0.17263546384189443,0.17287652411369892,0.16918888597271242,0.17420930060911,0.17484707002044697,0.17378980893635,0.17538428773899406,0.17415906241452828,0.169213817149658,0.17174060494208798,0.1715453865330484,0.17487027074725803,0.17250260792264938,0.17103954420793377,0.17383000897118772,0.17136166085982563,0.17381288107119364,0.17214014553167334,0.1727389521573598,0.17511934537664509,0.17564881747122585,0.17036618869082765,0.17671605014764746,0.16856617184542355,0.1709838050379645,0.17278589566358438,0.16888913022922636,0.17021746053040598,0.17316166579599834,0.16819440039869826,0.17409820153582722,0.1717676258149663,0.1798301301977686,0.17170527749284437,0.1722452064503327,0.17221280932512428,0.17146649398100033,0.17560627922747374,0.17330771502160802,0.17445560856015907,0.17798976274151546,0.1762232135413292,0.16808486408491163,0.17206347644117226,0.17335206761728006,0.17258658439249952,0.16753871251223362,0.17285794161392765,0.1744733149605231,0.1725505100739403,0.16922199751023292,0.1719974635066317,0.181051034918136,0.17204543321446442,0.17634769212856893,0.17351666502065954,0.16940267289468258,0.16923472224186298,0.17358138877463136,0.1707645447667202,0.17249510061481266,0.17477646317968543,0.17295600461703575,0.17079213999851905,0.176795287175036,0.17111212221776329,0.16796767928109968,0.17795596742354503,0.17005012005203957,0.16993512405301037,0.17197666990686755,0.17175605492565926,0.17271622641827444,0.1768647686441691,0.17368444170330577,0.17621763520471556,0.17658306279029834,0.17442310230332492,0.17339498473531156,0.16748933304966174,0.1715577662940314,0.17399919374473538,0.1731507914172764,0.17312549835878377,0.17202623942185524,0.17194426198391033,0.17303485156797582,0.1682020530697098,0.1748673209456315,0.1749096047471851,0.17245009943210132,0.17548518433296023,0.16972915377619124,0.1678230376547729,0.17116083483144529,0.1711551811895089,0.17353525341431986,0.17537184137545492,0.1699730183273933,0.17384529986316477,0.17439965895043563,0.17581685967865257,0.17275675187886685,0.17594876163334838,0.17689819495184622,0.1697587917688249,0.17558160845880233,0.1685110807662631,0.17608671491855854
