,Atf2(+),Atf3(+),Bach1(+),Bach2(+),Batf(+),Bcl3(+),Cebpb(+),Cebpg(+),Dlx1(+),Dlx5(+),Dlx6(+),E2f1(+),E2f4(+),Egr1(+),Elf1(+),Elf4(+),Elk3(+),Ep300(+),Erg(+),Esrrg(+),Ets1(+),Ets2(+),Etv6(+),Ezh2(+),Fli1(+),Fos(+),Fosb(+),Fosl1(+),Fosl2(+),Foxo3(+),Gata2(+),Gata3(+),Gli1(+),Gm6871(+),Hdac2(+),Hoxb4(+),Ikzf1(+),Irf1(+),Irf2(+),Irf4(+),Irf5(+),Irf7(+),Jun(+),Junb(+),Jund(+),Kdm5a(+),Kdm5b(+),Klf3(+),Klf4(+),Klf6(+),Lhx6(+),Mafa(+),Mafb(+),Mef2c(+),Mef2d(+),Msx1(+),Mybl1(+),Myc(+),Neurod2(+),Nfic(+),Nfil3(+),Nkx2-2(+),Nr1d1(+),Nr1h3(+),Otx2(+),Pax3(+),Pax5(+),Pou2f1(+),Pou3f1(+),Pou3f2(+),Ppargc1a(+),Prdm1(+),Rad21(+),Rcor1(+),Rel(+),Relb(+),Rest(+),Rfx1(+),Rfx2(+),Rfx3(+),Runx1(+),Setdb1(+),Smarca4(+),Sox10(+),Sox13(+),Sox17(+),Sox30(+),Sox4(+),Sox9(+),Sp1(+),Spi1(+),Srebf1(+),Srf(+),Stat1(+),Stat2(+),Stat3(+),Stat6(+),Taf1(+),Tal1(+),Tbx3(+),Tbx6(+),Tcf7(+),Tcf7l1(+),Tcf7l2(+),Tgif1(+),Trp53(+),Usf1(+),Vsx2(+),Yy1(+),Zeb1(+),Zfp143(+),Zfp217(+),Zfp652(+),Zic1(+),Zmiz1(+)
Astrocytes_Ctrl_1,0.17259712654975023,0.17884249750027814,0.17280150106471615,0.17399540087611987,0.17687675599739616,0.17387177991157787,0.17520473804675707,0.17470838058607763,0.1714180427222579,0.1718063106115847,0.17294389826769474,0.17487403870816454,0.17437655517625827,0.17402319661439636,0.17491756723170093,0.17326472324602582,0.17460864394759656,0.17417072249922216,0.1750667001505446,0.16912200711917824,0.17430699325181154,0.17435765489700827,0.17389064154747025,0.17393090521490717,0.174894518852601,0.17385802023924368,0.17414998418367234,0.17275424708802534,0.1728984364642887,0.1804921161206574,0.1763947354741171,0.17152289337925486,0.18991928281006454,0.173514971778869,0.1708847812273695,0.17825184744552935,0.1736264259551833,0.17411751652883833,0.16968613728197646,0.17526182253107947,0.17345238832821996,0.17636568736377556,0.17806888370498275,0.17424000318474497,0.17479296247919163,0.174137465425506,0.17368549903290809,0.17443479290117547,0.17588595813091845,0.176130619966143,0.17133371084735727,0.17521201469603975,0.16828609961940788,0.1734935412221853,0.17492585472283984,0.17630139107040188,0.17431379889102605,0.17179404295311473,0.17213642482478175,0.1783464161344812,0.17367107151087002,0.17540757450833488,0.17566149246727636,0.1742119359590416,0.17701079811399756,0.17436291433192086,0.17288849631906145,0.17639376078821178,0.17805715714452686,0.19573011439679633,0.1748313018326333,0.17269725786410373,0.170461194694839,0.17242100914477443,0.17614396229783813,0.1762485755636749,0.17875526727929725,0.1734477482618394,0.1781107713501926,0.17275805126844246,0.17335265718487813,0.17382908432297484,0.1733512232713894,0.1737535591888263,0.18332397454705918,0.18008486878546226,0.17562679056750663,0.17564635086682912,0.1894306081312228,0.17360366239256653,0.1734231536200419,0.17609292351088934,0.1738059449575119,0.1753068527032473,0.17522093766571922,0.17696230107924016,0.17502665473371937,0.17388385847669585,0.1742652127935609,0.17276587702630164,0.1801199897430159,0.1742634196306806,0.18019361179137472,0.17572946993603833,0.17395607797474533,0.17647646974822107,0.1744495710710886,0.17192974523825688,0.17557249075821613,0.17457453686503743,0.17219722844567076,0.17899499888933834,0.1711137208765443,0.18303482877565813,0.17096533057855368
Excitatory Neurons_Ctrl_1,0.23720251900015377,0.20814789725025273,0.2314865152299751,0.2324721964093539,0.1941511598770429,0.1873678759373706,0.21603227499106337,0.21735496214982208,0.19801789864917552,0.2237568343012606,0.2278848358312353,0.2348859173097978,0.22241868370920725,0.22663714740457053,0.19220031693478723,0.20704785493280886,0.20713695811267108,0.22602994082774264,0.21835570065671162,0.23414345832628336,0.21948252658490663,0.2082498489077962,0.22184890937812607,0.2135508838707334,0.21342484720282373,0.22975728513407367,0.23303268969370472,0.190606418928137,0.239086546600648,0.1904123106119482,0.20171356202081359,0.198845985918348,0.18372805482451138,0.19711350981006903,0.20816263330678353,0.17557548498577846,0.22189619667018967,0.20900362151469265,0.2380988972355199,0.20387162010261817,0.2074662607496972,0.20642651784643717,0.20788931648687303,0.23110184485996077,0.21792170529129007,0.22546649546312036,0.23728400185238407,0.22416476644833072,0.1765584344869897,0.21431375589152346,0.22363146786755916,0.21907319136705172,0.16985495056603872,0.2409873878842752,0.2236331600480509,0.21343475480121055,0.18555216465498392,0.2300078671248298,0.24378315573837872,0.19824656830350185,0.23285500332852382,0.21123519910059774,0.17760383837019933,0.18771278116485457,0.2204606199549105,0.1903036430068209,0.21305523980196273,0.2329832628571441,0.22233377171353563,0.200582518394817,0.23944446382686035,0.19904545231861748,0.187635932297464,0.2404059817484272,0.19346145660394376,0.19426303725228333,0.2111802996166967,0.20918374797440153,0.21695445065644647,0.24204355085783347,0.21952949723759196,0.2330870996257961,0.23552741514124753,0.2219690297345116,0.20193936547620905,0.17379768069492307,0.18925378304891438,0.22013119464117958,0.21545488625512466,0.20737753732537234,0.21047292546098817,0.21040910785741118,0.2232284230924435,0.1763818829660908,0.22139238613411572,0.22193630043352974,0.2217905134181486,0.23080990090635556,0.191337841489844,0.17346867393668708,0.19962850258775622,0.2065603719466096,0.21999673119594365,0.2238655719371524,0.19267064891542152,0.21550194112319043,0.22040697067278014,0.23249182085568343,0.2147488134646064,0.2323545890037667,0.22134428734953082,0.19096259900585721,0.230595585311952,0.1786947779164928,0.24720541684712327
Oligodendrocytes_Ctrl_1,0.20073040642022344,0.20713063948228616,0.19905275393466237,0.20454855070141187,0.2024741267030037,0.24851326898449866,0.20605125073305997,0.2067208762693965,0.21639455633144178,0.20399013287859913,0.2034623471583351,0.2014638847656236,0.21041177637301156,0.2086133734091179,0.23779165780581502,0.19868267350589852,0.21086204019923382,0.20684490227267793,0.21435566949254647,0.19228551858034493,0.20818585113037358,0.21264667672423765,0.20899280259936703,0.22691262907849685,0.21272314166346318,0.20321981902725095,0.20224966503745945,0.19213534732406856,0.1986187154777681,0.20497705456604864,0.2197234119497672,0.20936455642136775,0.19662670719123898,0.21513465618424343,0.19418274441507288,0.18932058228357096,0.21096012906601758,0.2160538433869834,0.20227278108135327,0.2097020542108301,0.20491485219998995,0.2171795733065558,0.20009496404269111,0.20325113026688368,0.21412970332174797,0.21030546565718544,0.19892280647194183,0.2106071707533469,0.18825790749529614,0.21352532419490433,0.1978130191384505,0.21216605172361658,0.17058844859765043,0.19343157478828865,0.20613951037971034,0.20487777705729315,0.22159887051403548,0.17977837035190647,0.18846801862671447,0.18180335464868758,0.20333501584503522,0.22104251167911615,0.1724123883095493,0.22200402758792404,0.2011928515224798,0.19674487823908882,0.1990357394869987,0.197928936426916,0.21180372729133634,0.209577618057174,0.19221216794309892,0.20323037819596657,0.22863061296019926,0.19615716120890547,0.2024449146496029,0.21523791985123475,0.21245169156644061,0.1901911024690962,0.2102586323238067,0.19314210990053782,0.208458159468366,0.2015507353714867,0.20082080251403556,0.22316287982747252,0.21880730440295193,0.17149373562304182,0.2052243412715774,0.21276578625220044,0.20856531985289473,0.22118165315068194,0.20501521778700627,0.2366755437920185,0.20557459932637878,0.23101287102867996,0.20585333496634473,0.208757076348978,0.20606668759699143,0.20455011834411385,0.20527456124204713,0.18595021749412355,0.22305000170052935,0.2066616668284299,0.21388859474848043,0.21531015606886694,0.21392972969437707,0.21703046817126526,0.20953633417971074,0.19511803011713258,0.212401654383791,0.2044204658088037,0.20713281624990765,0.2042076164501596,0.18255297478969645,0.20402637410303714,0.17706051277742385
Inhibitory Neurons_Ctrl_1,0.18118144988207707,0.17423169119046777,0.1884719889259291,0.18111003618933508,0.17207643332106148,0.17318033897833807,0.17599280848632548,0.1784326109437493,0.2008259919899933,0.19428994298656255,0.18783485987396642,0.17951089591649283,0.18061601714948883,0.1782420666740241,0.17323261016759717,0.17644406929517897,0.17588823184044233,0.17972098441001483,0.17769391916927368,0.1907102841390016,0.1822029516684026,0.1750887719159453,0.18042774472937984,0.17837565006532308,0.17723558080423218,0.18088671160591308,0.1802607027563079,0.1742302730905213,0.1813626852885597,0.1759508489011612,0.17393826924693812,0.17241918285665103,0.17052184147357263,0.17313070440022738,0.17560599051432024,0.1694955228660241,0.1783491186728865,0.17612344437968208,0.17911216489782156,0.17594297897980382,0.1775440477005955,0.17535603091577867,0.17229908533039895,0.17988405853178424,0.1780785127912674,0.17951956224414722,0.18057993983165077,0.17922868184537133,0.16908631407701125,0.1771008550030203,0.20210904937469287,0.17728343943667502,0.17010670260441618,0.18864496156542365,0.17954555406220463,0.1746534775090931,0.17307743794516828,0.18622651267779722,0.17703467235398274,0.1758107232623244,0.18050168923486642,0.1779548455691402,0.16917042826008366,0.17360304625633116,0.1774907453943828,0.17308913125180703,0.1768467114739567,0.18200181308018326,0.17694234269433162,0.17270586287487677,0.18565401381538638,0.1740148133593914,0.17342841456706415,0.1788545931881107,0.17385952599728505,0.1750855138282491,0.1756633836743744,0.17440365093765398,0.17787487999195029,0.1794335920935889,0.17806952562189227,0.18140579949888502,0.1802306430995303,0.1786183082680297,0.18425175027536544,0.16813153369288036,0.17518026542874132,0.179464455097343,0.17839006776451993,0.17548243353683202,0.17794858236354327,0.17816765698725034,0.18073350299924507,0.16919488708409647,0.1791650028143742,0.17838528678153953,0.18048999081922434,0.18229930323280008,0.1729883876346916,0.17041811627561132,0.17327759716730184,0.17551756820455577,0.1782386299745532,0.17956773252963176,0.17610699562885102,0.1766509697105998,0.17963348424195724,0.18280040608475145,0.1778647622691294,0.1800610784045158,0.17747189541086428,0.1732514617914953,0.18136138500195298,0.1738930131269787,0.18246352657761356
Microglia_Ctrl_1,0.17651349603717525,0.18106240105381188,0.1760755418984108,0.17738634904342043,0.18671438480704305,0.1834295616392142,0.1857348666787546,0.18633778260632006,0.17559588494521472,0.1752381882457793,0.17624202430992986,0.17475067016085732,0.17975617585653625,0.1801248662470739,0.18666075591032194,0.20919862843069736,0.19721560525918913,0.18289720425026612,0.1815694806484357,0.17200210284609874,0.18440884193309415,0.1858155443736943,0.1872048047168564,0.1790846727999833,0.19151786247459668,0.178807652713446,0.1778702218232998,0.17746968305835353,0.1766106715600898,0.1776120776953053,0.18558023122551182,0.17841756294995914,0.17604757928853587,0.17799464597738468,0.1763391144120975,0.20711150730993821,0.18786124787196912,0.18995462222928294,0.1751792814308003,0.1957242963407375,0.20561974548664907,0.18650170692674795,0.1786560513857387,0.1784727143015289,0.18114154853317987,0.1798634530867278,0.1773526787948626,0.1801648964852578,0.18031066652828032,0.18231989421212813,0.1714685464574377,0.18101768407595176,0.24257041841952764,0.17349523172485093,0.1787817535544799,0.17807677208747819,0.18417892648785072,0.18743371274661214,0.1750045988336466,0.1782463548645402,0.17822668765370442,0.17411630551572155,0.17202370381034449,0.18639426526343983,0.17481414608217927,0.1866334465843057,0.18883193150698752,0.1731723730496958,0.17646801637572362,0.1822316696263795,0.17507189700996428,0.21173718577601075,0.17031306750133202,0.17663646328238247,0.20708187624905983,0.18958415959675223,0.17972502879617636,0.1750306802669923,0.18105837550207582,0.1746198891388363,0.1919907249297771,0.17829799283825798,0.17787020701310108,0.17651935520601514,0.1697858182138111,0.17174088735674764,0.1718648473219856,0.18166085494291095,0.17575861074361365,0.18036903646686409,0.20217980762785548,0.17454702262499777,0.17860394435017923,0.18709820970861435,0.18343973327133534,0.18086522585555198,0.18700929451076098,0.1783188813558273,0.2180812497101693,0.17940577405167124,0.18330093469856257,0.18171029578590014,0.17802091006686005,0.1763726987047699,0.2102655864221873,0.18100859819604764,0.18224605402476812,0.17562886601698258,0.18334272175772626,0.17789994697917433,0.18129363142193333,0.20503966922067385,0.19653654965683331,0.17318677974691554,0.17141319962562296
OPC_Ctrl_1,0.17186605568291324,0.17210602694245647,0.17366882824375607,0.1724780140645653,0.17167900209199882,0.17346447983824143,0.17239484248023684,0.17146270264884111,0.17499338740992543,0.17456132587922368,0.17364122587363673,0.17340546714983673,0.1727575619004238,0.17273134540750912,0.17313673736719692,0.17155025369527466,0.1720835161783003,0.1722863671159025,0.1731355063993013,0.17555273339503596,0.17277489196309948,0.1725601292642227,0.1735735635907636,0.17350275989149055,0.17254663911870338,0.17224087910120467,0.17213014918614444,0.1711698719831395,0.1719186478524638,0.1722783627738279,0.1727223434025733,0.17286211270211238,0.17349401840437173,0.17343318935856655,0.17225122804785598,0.17305737531054688,0.17246785184925562,0.17216813703855072,0.16983737518067976,0.17319562261899013,0.1721655723373251,0.17216813489235583,0.17867542435449846,0.1721609528846868,0.17239026742699648,0.17246295346668217,0.17192852549500548,0.1722463931399697,0.17093892439167435,0.1731282382770266,0.17354642482959814,0.17225103717353796,0.16802733520689117,0.17348746085377542,0.1728848602927764,0.17162022088446205,0.17854611369032758,0.16981229799265907,0.17091314676074698,0.17081512270378696,0.17188119337321972,0.17937222307711198,0.17181079985403036,0.17105077223886422,0.17277945291289865,0.17208663924564427,0.17162676479366334,0.17457134635653038,0.17362291649525685,0.17585568122566764,0.17308526685089143,0.1719051433597485,0.1788081408570118,0.17157013859273695,0.1748560543046016,0.17222413261167457,0.17394499584196677,0.17021406926675853,0.17313971720701182,0.17175992888659386,0.1719396181465207,0.17235252946736934,0.17217001954628075,0.17438497362716043,0.17838011775618678,0.1736343913112124,0.17354790118864916,0.17679006671298436,0.17501992489054397,0.17476849732143218,0.17203770737932766,0.1716180020746082,0.17381498077028334,0.1704239697028892,0.17331162145116874,0.17424455152151308,0.1740476360448212,0.17221107583881712,0.17085362833974216,0.1700892265807754,0.17601562420403716,0.17427997235281956,0.1745499028845382,0.17693517612383247,0.17087246587008242,0.17322886483786426,0.1721237912544339,0.17246142266005815,0.17252209778262073,0.1731075287001096,0.17185079607777642,0.17263951854797166,0.17310681174492926,0.1739429370029536,0.17436451621991889
Rest_Ctrl_1,0.170407804311285,0.17258152257859682,0.17069248113963686,0.17061518650155594,0.17369419217538218,0.17063972111075942,0.17210742778901544,0.17223291543269192,0.17002537654405758,0.16963321855591462,0.17027882211208512,0.1697538203091642,0.17103153362925994,0.17095059163523185,0.17236846767738323,0.17163794957173562,0.17240988720122574,0.17108528423982905,0.17230727382110012,0.1699040956639013,0.17163898374972886,0.17222841527760113,0.17099709888401116,0.1706394810362838,0.1719908042732542,0.1706542450360642,0.1705821400621661,0.16988311518763477,0.17031612329774692,0.17355536131019977,0.1741089289024147,0.17031638428342366,0.17480998793462743,0.1701446949238693,0.17158888897787028,0.17281637536858896,0.17089700466434232,0.17181665675448354,0.1692908230383534,0.17365255203876928,0.17153865726829864,0.17280875613746538,0.17271409084387912,0.17069858069741706,0.17182761086215315,0.17097066098231095,0.17043605056893707,0.17132606920231264,0.1803822791649703,0.17255638429957754,0.16928633242426783,0.17113572994493131,0.17214130402646333,0.17022420802659766,0.1709536844162488,0.170397898123142,0.17247935899540656,0.17121313332947974,0.16994933437654458,0.17163451684611664,0.1705513121286425,0.16929019822987346,0.1716617260619805,0.17322312223909508,0.17131123830675876,0.17087877692741138,0.17099150171047728,0.16999580399713676,0.17010315244631602,0.17076149928651752,0.1702855989307408,0.17195539484619582,0.17342615256970761,0.1701660214264178,0.17304601460265345,0.17398902791274418,0.17145800761577024,0.1703450244504603,0.17174706277696317,0.16994118993918794,0.1710397601839483,0.17054802814883496,0.17055065563957006,0.17004986780344122,0.17111734663284572,0.1880265376943182,0.1701530728304591,0.17046919225314872,0.17089788804237493,0.17140980992118016,0.17149108236288801,0.17007248652949147,0.17112957619104574,0.17321569803201897,0.17156717781084985,0.17134328471022386,0.17199894250049264,0.1707680688677986,0.17255473127588283,0.1767645966506557,0.17081363972579966,0.17303506098986443,0.17111001576876128,0.1697680796337976,0.1708668736796598,0.17053704262729874,0.17142458922731585,0.17028577120625443,0.1724232609851597,0.1705662518828822,0.17049943109379073,0.17258999443813905,0.1704673107744269,0.17606332703467875,0.16939490949316371
Excitatory Neurons_ADp40KO_2,0.23856774236327494,0.20193416931049146,0.2331541958836706,0.23503232503246363,0.19942781956898414,0.18442630091050638,0.21430187855629768,0.21821505095321447,0.20046631870956744,0.226812588270501,0.22952864526802297,0.2343848835098411,0.2214548981099792,0.2298193666156303,0.1883974789459768,0.20680589850442022,0.20713679419878073,0.22725105729288797,0.21724333149466768,0.23139957140886036,0.21999630402252768,0.20597298293555077,0.22180855484979278,0.21314555188826867,0.21440486748537557,0.23353580006856478,0.23695794060960584,0.18572517852436166,0.24285074429855802,0.18945975529493642,0.20197658652881634,0.1966037134419002,0.18186282813369103,0.19306752278628536,0.20594325216907028,0.1733546080594408,0.2235853526838989,0.20745013734694973,0.2460857963127686,0.20565061509106142,0.2081936165366609,0.20739205122666582,0.21567807438718267,0.23524145844978062,0.22011267616448604,0.22603563251037428,0.24079184028872958,0.2275525001437657,0.1765727472717613,0.21356043702822702,0.22686777163706007,0.21541555097605447,0.17124500113485996,0.23351000995959026,0.2247384836870825,0.2119431624353828,0.1831664697479889,0.21498303740951263,0.24991802820887565,0.19251070724279273,0.2360592683469911,0.21387374727533714,0.17785075405227857,0.18676869781981276,0.219948567899385,0.18977170667395626,0.21078924129710952,0.23615429015724942,0.2202499355608809,0.19442194123634415,0.23952523655098457,0.1989578977166777,0.18340782698979596,0.245033174086837,0.19287513362429065,0.19282721212242704,0.21035384123876155,0.20591982639395445,0.21613542252208295,0.24600059462565904,0.22105977221714201,0.23494255659735008,0.23734551723362685,0.22377719234676086,0.1965437803659873,0.17444835537452563,0.18469935965396544,0.2224958924285989,0.21417341816838142,0.20617135655489116,0.21089511422708207,0.2092389053751239,0.2252771360843806,0.17322614067626652,0.2250393626956242,0.22612340084018878,0.21684869705099397,0.2331321182161178,0.1915141562683098,0.17574203811249733,0.19316790023388009,0.21089239418718286,0.21944682611821587,0.2281828933624389,0.18966748124113708,0.21575381927994997,0.21944880634875585,0.23718938146317903,0.21527081029853412,0.23469697353804642,0.22555182476796864,0.18911684649060634,0.23377531842851074,0.17488536094160811,0.2499833225316741
Oligodendrocytes_ADp40KO_2,0.1960379061203812,0.20170112217794256,0.1953119715612459,0.1988760675461867,0.19505648213505455,0.2353224828555368,0.20016165734890146,0.20178868434900388,0.20743522075471,0.19771444941137195,0.1976532347623443,0.19888183823135874,0.2031207108111448,0.20255122134674874,0.22804985969451352,0.19382573108541623,0.20419647916355732,0.20169168203320753,0.20746599532705856,0.19095191421757218,0.20233844699646175,0.2052015159571382,0.20363887575760764,0.21901891046811006,0.20635333473941064,0.19779253419151832,0.1968697303395155,0.18726543513298655,0.19379819422353528,0.1968959998746751,0.21148629115039908,0.20305132956651917,0.19613427768937652,0.2110226312612834,0.19321364276980535,0.1911661793127316,0.20489492668266196,0.20811438220374734,0.19662725088221256,0.20391657433828414,0.19996805173582077,0.21020588286119268,0.19941797514050674,0.19806401366523874,0.207159857011863,0.20425935308568632,0.19488747092204506,0.2044976711902673,0.19501956384705998,0.2065921308071601,0.1931103186640778,0.20310806129323467,0.16989945315244903,0.1899818471273904,0.20148572449306967,0.20092677889504662,0.21220784606533516,0.17792680766406144,0.1857029256931314,0.17974166385441548,0.19765894587288946,0.2169689393582379,0.17611713711769805,0.21066041068919106,0.19718663124073843,0.19211475258028166,0.19709357375070757,0.19483544535644648,0.2070792905448221,0.20158053265381726,0.18865250309496584,0.19821760507812403,0.21256704349375455,0.19217654445985666,0.1980283594566642,0.20463942731223184,0.2049142700450911,0.18147130008161794,0.2037275692277487,0.18948245858153434,0.20244229114140933,0.196582531618533,0.19592119995140567,0.21598176538011005,0.21013732751005476,0.17203873898875244,0.2042710740728193,0.20827172283273798,0.2029392289033587,0.21439337244317402,0.19995030062752883,0.2286606494459309,0.20245670481980216,0.2176936786333573,0.2005688546503771,0.2041911877963013,0.1985472825128507,0.19877760832044378,0.1979644056264852,0.19336303009854228,0.2162247587469981,0.20119507698775074,0.20827306598787376,0.20924519593688884,0.20725490256312828,0.21162080760227642,0.20254733707053496,0.19072038405161507,0.2059271423165192,0.19958752286645465,0.20328681640118929,0.19771447750595728,0.18047172355134822,0.20065964242676382,0.17602455228190328
Inhibitory Neurons_ADp40KO_2,0.18299663249511933,0.17393343997356536,0.18998519990931573,0.18299686911217716,0.1725438565918036,0.1732962349562308,0.17684789713636118,0.18000074891520923,0.20382474999736344,0.19769482570214747,0.19053094162466744,0.18097137630665205,0.18181936784194208,0.17988869701451804,0.1742268319381406,0.17732116467503423,0.17674701512934987,0.18107728916382204,0.178587798330345,0.19223030377135175,0.18379300252568975,0.1757725513842059,0.1817842937574431,0.1793603071247699,0.17830947583370238,0.18331644729405872,0.18238683561241764,0.17647529269557094,0.1834678185436237,0.17769936378894224,0.17463968835721932,0.17183172297766258,0.17032863157926204,0.17359857728852746,0.17682250733478577,0.1701797498971167,0.17949809824692786,0.17683913500951542,0.18051010169102288,0.17683556794894706,0.17873847413832833,0.17656912145928016,0.17375857447930154,0.1818332534800925,0.17951457400568427,0.18057638659469943,0.1823288547938049,0.1805943193050521,0.17021515173959878,0.17832500856303946,0.2057272217842424,0.17845073294252922,0.170416560990583,0.19057927381293327,0.18115719497114435,0.17608927998043578,0.17255783340923858,0.1864335505371819,0.17812031231772485,0.17454030504277596,0.18252756782552582,0.17846120823385558,0.16992724404945803,0.17369597152794214,0.17839816736342928,0.17461316914286484,0.17764380074349018,0.18424227398957205,0.1773724898284249,0.17280872329594232,0.18724976841466645,0.17470444081958136,0.17193730800788853,0.1802642683279102,0.17405252238837288,0.1758899986340594,0.17731117821354658,0.17551451249613714,0.17868808560909122,0.18093908623967192,0.17933727788998777,0.1829760290351149,0.18179545579859235,0.1797789503958529,0.18581207846045888,0.16867718329765513,0.17371465887286253,0.18064797355007434,0.1795065086171388,0.17589526129840638,0.17886017895957806,0.17955144072089801,0.1827043132706625,0.1682655256847876,0.18039518836109403,0.17991748458369305,0.18161203568274698,0.1843826837230056,0.17409605736348888,0.17042371491576336,0.1737156374858717,0.17710058450440924,0.17940379846221366,0.18133770408704075,0.17711917657843068,0.17748972917852757,0.18000444039638042,0.1853674509496822,0.17906364164103616,0.18165719463251162,0.17999654312414848,0.17397458856797976,0.18301646207919753,0.17399401433469652,0.18293740270756553
