Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Cox7a2l	ENSMUST00000167741.2	cytochrome c oxidase subunit VIIa polypeptide 2-like 	3681	2	2	0	0	0	mmu-miR-146b-3p	-1.03	-1.03	< 0.1
Tnfrsf22	ENSMUST00000075588.7	tumor necrosis factor receptor superfamily, member 22 	126	11	3	8	0	2	mmu-miR-146b-3p	-0.95	-1.34	< 0.1
Tnfrsf23	ENSMUST00000152703.1	tumor necrosis factor receptor superfamily, member 23 	68	9	1	8	0	5	mmu-miR-146b-3p	-0.93	-1.04	< 0.1
C730034F03Rik	ENSMUST00000168646.1	RIKEN cDNA C730034F03 gene 	5	3	1	0	2	0	mmu-miR-146b-3p	-0.80	-0.80	< 0.1
2010109I03Rik	ENSMUST00000077004.5	RIKEN cDNA 2010109I03 gene 	6	2	2	0	0	0	mmu-miR-146b-3p	-0.68	-0.68	< 0.1
Gm5493	ENSMUST00000182063.1	predicted gene 5493 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.68	-0.68	< 0.1
Upk3bl	ENSMUST00000006303.5	uroplakin 3B-like 	11	1	1	0	0	0	mmu-miR-146b-3p	-0.67	-0.67	< 0.1
Cdc20b	ENSMUST00000181568.2	cell division cycle 20B 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.66	-0.66	< 0.1
Ntmt1	ENSMUST00000041830.4	N-terminal Xaa-Pro-Lys N-methyltransferase 1 	936	2	1	1	0	0	mmu-miR-146b-3p	-0.65	-0.65	< 0.1
Gstt4	ENSMUST00000160211.1	glutathione S-transferase, theta 4 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.63	-0.63	< 0.1
S100a3	ENSMUST00000001047.7	S100 calcium binding protein A3 	9	1	1	0	0	0	mmu-miR-146b-3p	-0.61	-0.61	< 0.1
Pramel7	ENSMUST00000026957.3	preferentially expressed antigen in melanoma like 7 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.59	-0.59	< 0.1
Il17a	ENSMUST00000027061.4	interleukin 17A 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.59	-0.59	< 0.1
Gm13128	ENSMUST00000105751.1	predicted gene 13128 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.59	-0.59	< 0.1
Pramef17	ENSMUST00000105762.1	XPRAME family member 17 	5	1	1	0	0	0	mmu-miR-146b-3p	-0.59	-0.59	< 0.1
Ikbkg	ENSMUST00000114133.3	inhibitor of kappaB kinase gamma 	630	2	2	0	0	2	mmu-miR-146b-3p	-0.59	-0.65	< 0.1
