gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Astrocytes	CA1	CA2_3	Cajal	Choroid	Dentate_Gyrus	Fibroblast	Inhibitory_Neurons	MFOL	MOL	Macrophage	Microglia	NFOL	OPC	Pericyte	Unidentified_Neurons	VLMC	Vascular	subiculum
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0020352703	0.0003675978	0.0050871952	0.0	0.0259339028	0.0004296717	0.0	0.0035823106	0.0004903518	0.0020777563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002799749
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0020352703	0.0003675978	0.0050871952	0.0	0.0259339028	0.0004296717	0.0	0.0035823106	0.0004903518	0.0020777563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002799749
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0043510994	0.0637400389	0.0536940187	0.0109843911	0.1296623514	0.0547597567	0.0133836254	0.0412246827	0.0141567255	0.0169080962	0.0810154882	0.0353805815	0.0359992989	0.0410340358	0.0	0.0259839651	0.0	0.0292992359	0.0540772412
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0020352703	0.0003675978	0.0050871952	0.0	0.0259339028	0.0004296717	0.0	0.0035823106	0.0004903518	0.0020777563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002799749
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.0001870084	0.0	0.0	0.0	0.000215199	0.0	0.0003812069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0E70DD97F	0.0	0.0004294	0.0	0.0	0.0	0.0	0.0	0.0005363697	0.0	0.0	0.0	0.0	0.0	0.0023949894	0.0	0.0	0.0	0.0	0.0003819708
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0043510994	0.0637400389	0.0536940187	0.0109843911	0.1296623514	0.0547597567	0.0133836254	0.0412246827	0.0141567255	0.0169080962	0.0810154882	0.0353805815	0.0359992989	0.0410340358	0.0	0.0259839651	0.0	0.0292992359	0.0540772412
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0043510994	0.0637400389	0.0536940187	0.0109843911	0.1296623514	0.0547597567	0.0133836254	0.0412246827	0.0141567255	0.0169080962	0.0810154882	0.0353805815	0.0359992989	0.0410340358	0.0	0.0259839651	0.0	0.0292992359	0.0540772412
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0043510994	0.0637400389	0.0536940187	0.0109843911	0.1296623514	0.0547597567	0.0133836254	0.0412246827	0.0141567255	0.0169080962	0.0810154882	0.0353805815	0.0359992989	0.0410340358	0.0	0.0259839651	0.0	0.0292992359	0.0540772412
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0043510994	0.0637400389	0.0536940187	0.0109843911	0.1296623514	0.0547597567	0.0133836254	0.0412246827	0.0141567255	0.0169080962	0.0810154882	0.0353805815	0.0359992989	0.0410340358	0.0	0.0259839651	0.0	0.0292992359	0.0540772412
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.0416913124	0.2238727909	0.326706075	0.2556627978	0.0269325997	0.1793841028	0.0834502836	0.2188150716	0.0771329474	0.0744781186	0.0993375783	0.0610633182	0.0791638554	0.157568944	0.1941823411	0.2845579792	0.0657018531	0.1315217685	0.3044441411
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	2.0775881974	1.6075729682	1.4528403824	0.1944234096	0.4844931291	1.5385326641	0.1607453695	1.8286981345	0.7005761321	0.6608804495	0.4171228111	1.4478553534	1.2515628833	1.2912459379	0.4997859916	1.6145056385	0.4317680789	0.6426577463	1.9330125805
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.021029205	0.0783246298	0.2318168203	0.2280801063	0.0985933133	0.1113202913	0.0899154387	0.111499133	0.0973605681	0.1286884615	0.0	0.020565511	0.0314810258	0.1057694439	0.078863659	0.0651035416	0.0949693384	0.0188206949	0.0893435126
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.0	0.0040061205	0.0082255853	0.0125962355	0.0	0.0066536725	0.0	0.0004306496	0.0014231884	0.0021404386	0.0	0.0008942699	0.0	0.0041546479	0.014737422	0.0	0.0	0.0	0.0
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.0143568191	0.0042128362	0.0018895306	0.0292575825	0.0	0.0017743823	0.0371672351	0.0725208433	0.0023308245	0.0017326888	0.0	0.0323000471	0.0	0.0581984132	0.0300771687	0.0069690404	0.0	0.0	0.0150817546
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0D03910A0	0.0	0.0001870084	0.0	0.0	0.0	0.000215199	0.0	0.0003812069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0FEAC3352	0.0	0.0004294	0.0	0.0	0.0	0.0	0.0	0.0005363697	0.0	0.0	0.0	0.0	0.0	0.0023949894	0.0	0.0	0.0	0.0	0.0003819708
GALR1	P47211	False	GALR1_HUMAN		CPI-SS0B0E74BC0	0.0	0.0043004935	0.0	0.0	0.0	0.002540048	0.0	0.0077708997	0.0	0.0	0.0	0.0021174955	0.0182138048	0.0	0.0	0.0	0.0	0.0	0.0063469513
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.0416913124	0.2238727909	0.326706075	0.2556627978	0.0269325997	0.1793841028	0.0834502836	0.2188150716	0.0771329474	0.0744781186	0.0993375783	0.0610633182	0.0791638554	0.157568944	0.1941823411	0.2845579792	0.0657018531	0.1315217685	0.3044441411
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	2.0775881974	1.6075729682	1.4528403824	0.1944234096	0.4844931291	1.5385326641	0.1607453695	1.8286981345	0.7005761321	0.6608804495	0.4171228111	1.4478553534	1.2515628833	1.2912459379	0.4997859916	1.6145056385	0.4317680789	0.6426577463	1.9330125805
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.0	0.0	0.0006112022	0.0	0.0	0.0016060334	0.0	0.0114532516	0.0018561323	0.0	0.0	0.0024319223	0.0	0.0	0.0199400463	0.0073080708	0.0	0.0	0.0011415891
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.0416913124	0.2238727909	0.326706075	0.2556627978	0.0269325997	0.1793841028	0.0834502836	0.2188150716	0.0771329474	0.0744781186	0.0993375783	0.0610633182	0.0791638554	0.157568944	0.1941823411	0.2845579792	0.0657018531	0.1315217685	0.3044441411
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.0416913124	0.2238727909	0.326706075	0.2556627978	0.0269325997	0.1793841028	0.0834502836	0.2188150716	0.0771329474	0.0744781186	0.0993375783	0.0610633182	0.0791638554	0.157568944	0.1941823411	0.2845579792	0.0657018531	0.1315217685	0.3044441411
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS00661A3A4	0.021029205	0.0783246298	0.2318168203	0.2280801063	0.0985933133	0.1113202913	0.0899154387	0.111499133	0.0973605681	0.1286884615	0.0	0.020565511	0.0314810258	0.1057694439	0.078863659	0.0651035416	0.0949693384	0.0188206949	0.0893435126
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	0.021029205	0.0783246298	0.2318168203	0.2280801063	0.0985933133	0.1113202913	0.0899154387	0.111499133	0.0973605681	0.1286884615	0.0	0.020565511	0.0314810258	0.1057694439	0.078863659	0.0651035416	0.0949693384	0.0188206949	0.0893435126
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.0	0.0040061205	0.0082255853	0.0125962355	0.0	0.0066536725	0.0	0.0004306496	0.0014231884	0.0021404386	0.0	0.0008942699	0.0	0.0041546479	0.014737422	0.0	0.0	0.0	0.0
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.0047633398	0.0551371359	0.0674834456	0.0177076458	0.0	0.0589911616	0.0059154797	0.0281217303	0.0015051786	0.0040834007	0.0	0.0103981799	0.0	0.0182267023	0.0	0.0322492453	0.0	0.0190127796	0.0227567834
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.0	0.0008698073	0.0010796108	0.0	0.0	0.0011266444	0.0305364906	0.0009715974	0.0	0.0	0.0	0.0018185475	0.0	0.0	0.0	0.0	0.7990650057	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.0167932917	0.0048971868	0.0019333402	0.0	0.0380936013	0.0004785327	0.0	0.0026156372	0.0008335358	0.0030178062	0.0	0.0079609	0.0	0.0019712003	0.0313424198	0.0	0.0	0.0	0.0018024825
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.0070904786	0.0037893699	0.0020958201	0.0	0.0	0.0015267534	0.126038751	0.0013869781	0.0019459839	0.0039262248	0.0	0.0024232625	0.0	0.0023687832	0.0530332681	0.0	0.4247118987	0.0658794198	0.0035730472
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.0446651726	0.0047219738	0.0695271622	0.0	0.0	0.0003023291	0.0113336406	0.0014586192	0.0010809439	0.0	0.0431215645	0.0154451936	0.0141841483	0.0090588598	0.0	0.0264875175	0.0	0.0	0.002248524
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.0167932917	0.0048971868	0.0019333402	0.0	0.0380936013	0.0004785327	0.0	0.0026156372	0.0008335358	0.0030178062	0.0	0.0079609	0.0	0.0019712003	0.0313424198	0.0	0.0	0.0	0.0018024825
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.430848528	0.1257383966	0.1438958974	0.0319881296	0.1526716793	0.0054967248	0.0681350174	0.6798983429	0.1692097712	0.3112478357	0.0319841646	0.0763039123	0.0463760974	0.2306401055	0.0751100521	0.0765735058	0.0	0.0072823644	0.2737905968
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.0	0.0012043697	0.0	0.0	0.0	0.0010072709	0.0	0.000830146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003566192
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.0025198914	0.0030773354	0.0140955138	0.0	0.1090835108	0.0036670207	0.0	0.0180161204	0.0014869459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0985365521	0.0	0.0052667053
FGF4	P08620	False	FGF4_HUMAN		CPI-SS02896561C	0.0038063789	0.00081409	0.0018050354	0.0	0.0	0.0009113932	0.0	0.0006551079	0.0	0.0	0.0	0.000964798	0.0	0.0	0.0	0.0	0.0	0.0	0.000428511
FGF3	P11487	False	FGF3_HUMAN		CPI-SS05ECF1933	0.0	0.0001713459	0.0	0.0	0.0	0.0002402864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018905811	0.0	0.0	0.0	0.0	0.0014489854
FGF5	P12034	False	FGF5_HUMAN		CPI-SS066347638	0.0023868419	0.0118844509	0.1072847557	0.0	0.0156537323	0.0776965309	0.0	0.0086467175	0.0031221299	0.0	0.0	0.0009260879	0.0	0.0	0.0101532186	0.0057274968	0.0	0.0	0.0444490241
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	0.0	0.0125809121	0.007444062	0.0	0.0	0.0029015002	0.0217406363	0.014712114	0.0013701149	0.0020324129	0.0	0.0	0.0218915197	0.002193565	0.0	0.0097946118	0.1242333667	0.0	0.008843265
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.0167932917	0.0048971868	0.0019333402	0.0	0.0380936013	0.0004785327	0.0	0.0026156372	0.0008335358	0.0030178062	0.0	0.0079609	0.0	0.0019712003	0.0313424198	0.0	0.0	0.0	0.0018024825
