gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Astrocytes	CA1 Neurons	CA2/CA3 Neuron	Cajal Retzius	Choroid Plexus	Dentate Gyrus	Fibroblast	Inhibitory Interneurons	Microglia	Neurons	OPC	Oligo	Pericytes	Subiculum	VLMC	Vascular Endothelial
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0269898316	0.0013691645	0.0044234101	0.0	0.0	0.0002395808	0.0	0.00250815	0.0096865135	0.0022273398	0.0	0.0017609812	0.0	0.0017091725	0.0	0.0
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0269898316	0.0013691645	0.0044234101	0.0	0.0	0.0002395808	0.0	0.00250815	0.0096865135	0.0022273398	0.0	0.0017609812	0.0	0.0017091725	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0159740838	0.0900712629	0.1047277032	0.0	0.0452739606	0.1541282183	0.1122897635	0.0909751773	0.1219658177	0.0561632499	0.0895901592	0.0659644827	0.2016490568	0.0854328332	0.0	0.0715475603
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0269898316	0.0013691645	0.0044234101	0.0	0.0	0.0002395808	0.0	0.00250815	0.0096865135	0.0022273398	0.0	0.0017609812	0.0	0.0017091725	0.0	0.0
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.0	0.0	0.0	0.0275201585	0.000684236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0159740838	0.0900712629	0.1047277032	0.0	0.0452739606	0.1541282183	0.1122897635	0.0909751773	0.1219658177	0.0561632499	0.0895901592	0.0659644827	0.2016490568	0.0854328332	0.0	0.0715475603
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0159740838	0.0900712629	0.1047277032	0.0	0.0452739606	0.1541282183	0.1122897635	0.0909751773	0.1219658177	0.0561632499	0.0895901592	0.0659644827	0.2016490568	0.0854328332	0.0	0.0715475603
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0159740838	0.0900712629	0.1047277032	0.0	0.0452739606	0.1541282183	0.1122897635	0.0909751773	0.1219658177	0.0561632499	0.0895901592	0.0659644827	0.2016490568	0.0854328332	0.0	0.0715475603
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0159740838	0.0900712629	0.1047277032	0.0	0.0452739606	0.1541282183	0.1122897635	0.0909751773	0.1219658177	0.0561632499	0.0895901592	0.0659644827	0.2016490568	0.0854328332	0.0	0.0715475603
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.2000552975	0.4658476449	0.6114365086	1.0825495887	0.2014415562	0.4427771197	0.201235523	0.4755940315	0.254613715	0.7134485247	0.4988001235	0.3140730144	0.0	0.6066010849	0.0194670316	0.5774406035
