gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Astrocytes	CA1 Neurons	CA2/CA3 Neuron	Cajal Retzius	Choroid Plexus	Dentate Gyrus	Fibroblast	Inhibitory Interneurons	Microglia	Neurons	OPC	Oligo	Pericytes	Subiculum	VLMC	Vascular Endothelial
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0060863794	0.0005692489	0.0091702648	0.0	0.1035518222	0.0008969546	0.0	0.0070646754	0.0	0.0	0.0	0.0035026424	0.0	0.0053535645	0.0	0.0
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0060863794	0.0005692489	0.0091702648	0.0	0.1035518222	0.0008969546	0.0	0.0070646754	0.0	0.0	0.0	0.0035026424	0.0	0.0053535645	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0150378821	0.1161725386	0.0903060642	0.0317291071	0.3622726222	0.1235350715	0.0588824324	0.0783148493	0.1544754298	0.1189749188	0.1165128351	0.0594309519	0.0	0.110062307	0.0	0.1275965476
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0060863794	0.0005692489	0.0091702648	0.0	0.1035518222	0.0008969546	0.0	0.0070646754	0.0	0.0	0.0	0.0035026424	0.0	0.0053535645	0.0	0.0
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.0002917825	0.0	0.0	0.0	0.0004490238	0.0	0.0005523911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0E70DD97F	0.0	0.0007347123	0.0	0.0	0.0	0.0	0.0	0.0009143665	0.0	0.0	0.0074575446	0.0	0.0	0.0006340524	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0150378821	0.1161725386	0.0903060642	0.0317291071	0.3622726222	0.1235350715	0.0588824324	0.0783148493	0.1544754298	0.1189749188	0.1165128351	0.0594309519	0.0	0.110062307	0.0	0.1275965476
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0150378821	0.1161725386	0.0903060642	0.0317291071	0.3622726222	0.1235350715	0.0588824324	0.0783148493	0.1544754298	0.1189749188	0.1165128351	0.0594309519	0.0	0.110062307	0.0	0.1275965476
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0150378821	0.1161725386	0.0903060642	0.0317291071	0.3622726222	0.1235350715	0.0588824324	0.0783148493	0.1544754298	0.1189749188	0.1165128351	0.0594309519	0.0	0.110062307	0.0	0.1275965476
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0150378821	0.1161725386	0.0903060642	0.0317291071	0.3622726222	0.1235350715	0.0588824324	0.0783148493	0.1544754298	0.1189749188	0.1165128351	0.0594309519	0.0	0.110062307	0.0	0.1275965476
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.1470896963	0.4322847842	0.6104316322	0.9444113625	0.0538980456	0.4198321746	0.3447875126	0.471615274	0.2670171377	0.6708491076	0.4726845437	0.3323746339	0.8669045119	0.666173599	0.1257197455	0.7299558277
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	13.0043775016	6.4640400241	4.7028427185	0.880253631	1.7859669333	5.7434552226	0.5612189297	8.3658176382	10.0034390501	7.1034464421	5.4573837697	3.4729389398	2.312353186	8.7154001549	2.0950283333	3.310748381
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.0673280236	0.1541376575	0.4470709385	0.8291083155	0.3290292556	0.2569642695	0.3586778432	0.2322607762	0.0850489067	0.1751752835	0.2943231566	0.4589383679	0.3644712907	0.1893180579	0.2514395	0.0459465952
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.0	0.0079753662	0.014957287	0.0434480357	0.0	0.0146047683	0.0	0.0006567314	0.0042935977	0.0	0.0107977407	0.0072506196	0.029670593	0.0	0.0	0.0
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.0771646677	0.0071221258	0.0035925327	0.0757366786	0.0	0.0043050003	0.1613501838	0.1545621628	0.137817991	0.0132989547	0.1487676763	0.009118759	0.1428489535	0.0306230994	0.0	0.0
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0D03910A0	0.0	0.0002917825	0.0	0.0	0.0	0.0004490238	0.0	0.0005523911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
