gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Astrocytes	CA1	CA2_3	Cajal	Choroid	Dentate_Gyrus	Fibroblast	Inhibitory_Neurons	MFOL	MOL	Macrophage	Microglia	NFOL	OPC	Pericyte	Unidentified_Neurons	VLMC	Vascular	subiculum
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0077979757	0.0007084328	0.0025435971	0.0	0.0	0.0001576173	0.0	0.0015019539	0.0005132152	0.0	0.0	0.0020919552	0.0	0.0	0.0	0.0017545226	0.0	0.0	0.0009763908
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0077979757	0.0007084328	0.0025435971	0.0	0.0	0.0001576173	0.0	0.0015019539	0.0005132152	0.0	0.0	0.0020919552	0.0	0.0	0.0	0.0017545226	0.0	0.0	0.0009763908
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0048129914	0.0490251433	0.0585962431	0.0	0.0159238818	0.0659205019	0.0308598768	0.0439701421	0.0143204438	0.0245332153	0.05052866	0.0252149583	0.0322033269	0.0247117174	0.0502979659	0.0218139931	0.0	0.0300702897	0.042160869
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0077979757	0.0007084328	0.0025435971	0.0	0.0	0.0001576173	0.0	0.0015019539	0.0005132152	0.0	0.0	0.0020919552	0.0	0.0	0.0	0.0017545226	0.0	0.0	0.0009763908
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.0	0.0	0.0	0.0092858921	0.0002976239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0048129914	0.0490251433	0.0585962431	0.0	0.0159238818	0.0659205019	0.0308598768	0.0439701421	0.0143204438	0.0245332153	0.05052866	0.0252149583	0.0322033269	0.0247117174	0.0502979659	0.0218139931	0.0	0.0300702897	0.042160869
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0048129914	0.0490251433	0.0585962431	0.0	0.0159238818	0.0659205019	0.0308598768	0.0439701421	0.0143204438	0.0245332153	0.05052866	0.0252149583	0.0322033269	0.0247117174	0.0502979659	0.0218139931	0.0	0.0300702897	0.042160869
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0048129914	0.0490251433	0.0585962431	0.0	0.0159238818	0.0659205019	0.0308598768	0.0439701421	0.0143204438	0.0245332153	0.05052866	0.0252149583	0.0322033269	0.0247117174	0.0502979659	0.0218139931	0.0	0.0300702897	0.042160869
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0048129914	0.0490251433	0.0585962431	0.0	0.0159238818	0.0659205019	0.0308598768	0.0439701421	0.0143204438	0.0245332153	0.05052866	0.0252149583	0.0322033269	0.0247117174	0.0502979659	0.0218139931	0.0	0.0300702897	0.042160869
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.0566143735	0.2338594498	0.3225008985	0.2986790676	0.0877094318	0.1849589181	0.0510393265	0.2282612726	0.0662650042	0.1041930686	0.0722423314	0.0617833843	0.2654246685	0.1539447815	0.0	0.3097787192	0.0143111564	0.1144978728	0.277708188
